task,cases,best_L_mode,best_L_success,best_L_decision,best_L_score_calls,best_LG_mode,best_LG_success,best_LG_decision,best_LG_forced,best_LG_score_calls,Q_difficulty,M_usefulness_of_G,E_efficiency,benefit_B,relative_cost_C,success_gain,decision_gain,T_strategy_sequence
Latin Square,10,greedy_L,0.9,23.8,803.1,greedy_LG,1.0,1.5,22.5,74.0,0.09999999999999998,1.6649999999999998,2.106451612903226,2.106451612903226,0.0,0.09999999999999998,22.3,greedy_LG -> lookahead_LG_2 -> greedy_L -> lookahead_L_2
N-Queens,9,lookahead_L_3,0.2222222222222222,8.777777777777779,1833.3333333333333,lookahead_LG_3,0.6666666666666666,7.111111111111111,3.888888888888889,1821.3333333333333,0.7777777777777778,0.6055555555555556,1.9015151515151516,1.9015151515151516,0.0,0.4444444444444444,1.6666666666666679,lookahead_LG_3 -> lookahead_LG_2 -> lookahead_L_3 -> greedy_LG
SAT,40,lookahead_L_3,0.55,14.1,29774.775,lookahead_LG_3,0.775,6.275,8.3,16162.3,0.44999999999999996,0.78225,1.7428807947019864,1.7428807947019864,0.0,0.22499999999999998,7.824999999999999,lookahead_LG_3 -> greedy_LG -> greedy_L -> lookahead_L_3
Exact Cover,30,lookahead_L_3,0.9,6.033333333333333,4239.866666666667,greedy_LG,1.0,1.0,5.033333333333333,42.0,0.09999999999999998,0.4523333333333333,1.7312796208530805,1.7312796208530805,0.0,0.09999999999999998,5.033333333333333,greedy_LG -> lookahead_LG_2 -> lookahead_LG_3 -> lookahead_L_3
Graph Coloring,60,lookahead_L_3,0.7333333333333333,17.133333333333333,67324.28333333334,lookahead_LG_2,0.9,7.116666666666666,10.516666666666667,7685.983333333334,0.2666666666666667,0.8778333333333335,1.632352941176471,1.632352941176471,0.0,0.16666666666666674,10.016666666666666,greedy_LG -> lookahead_LG_2 -> greedy_L -> lookahead_LG_3
Clique,60,lookahead_L_3,0.9666666666666667,5.95,854.1666666666666,lookahead_LG_2,1.0,2.8,3.2,221.81666666666666,0.033333333333333326,0.25483333333333336,1.0136690647482014,1.0136690647482014,0.0,0.033333333333333326,3.1500000000000004,lookahead_LG_2 -> lookahead_LG_3 -> lookahead_L_3 -> lookahead_L_2
Hamiltonian Path,30,greedy_L,0.7333333333333333,22.866666666666667,52.8,greedy_LG,0.6333333333333333,7.266666666666667,14.233333333333333,37.86666666666667,0.2666666666666667,0.9646666666666668,0.9500000000000001,0.9500000000000001,0.0,-0.09999999999999998,15.600000000000001,greedy_L -> greedy_LG -> lookahead_LG_2 -> lookahead_LG_3
Set Cover,30,lookahead_L_2,0.9,5.9,0.0,lookahead_LG_2,0.9333333333333333,4.9,0.9333333333333333,0.0,0.09999999999999998,0.102,0.38019323671497585,0.38019323671497585,0.0,0.033333333333333326,1.0,lookahead_LG_2 -> lookahead_L_2 -> lookahead_LG_3 -> greedy_LG
Independent Set,60,lookahead_L_3,0.9833333333333333,5.983333333333333,2640.016666666667,lookahead_LG_2,1.0,5.216666666666667,0.7833333333333333,709.8666666666667,0.01666666666666672,0.07066666666666671,0.2719570405727925,0.2719570405727925,0.0,0.01666666666666672,0.7666666666666666,lookahead_LG_2 -> lookahead_LG_3 -> lookahead_L_3 -> lookahead_L_2
Subset Sum,40,lookahead_L_3,1.0,18.0,41901.9,lookahead_LG_3,1.0,16.0,2.0,41634.925,0.0,0.14,0.21052631578947367,0.21052631578947367,0.0,0.0,2.0,lookahead_LG_2 -> lookahead_L_2 -> lookahead_LG_3 -> lookahead_L_3
Vertex Cover,30,greedy_L,0.9666666666666667,6.066666666666666,181.06666666666666,lookahead_LG_2,1.0,9.8,4.966666666666667,4858.566666666667,0.033333333333333326,-0.05400000000000006,0.010285372391953053,0.27452830188679234,25.69113877700476,0.033333333333333326,-3.7333333333333343,lookahead_LG_2 -> greedy_L -> lookahead_L_2 -> lookahead_LG_3
