task,mode,success_rate,avg_decision,avg_forced,avg_score_calls,strategy_value
SAT,lookahead_LG_3,0.775,6.275,8.3,16162.3,0.630827
SAT,greedy_LG,0.55,5.475,8.925,108.375,0.5679662500000001
SAT,greedy_L,0.45,13.425,0.0,251.4,0.420636
SAT,lookahead_L_3,0.55,14.1,0.0,29774.775,0.22405225
Graph Coloring,greedy_LG,0.8833333333333333,6.516666666666667,11.133333333333333,202.13333333333333,0.8982786666666667
Graph Coloring,lookahead_LG_2,0.9,7.116666666666666,10.516666666666667,7685.983333333334,0.8389068333333334
Graph Coloring,greedy_L,0.6166666666666667,17.35,0.0,445.31666666666666,0.5775135
Graph Coloring,lookahead_LG_3,0.9,8.083333333333334,9.483333333333333,35492.95,0.5589038333333334
Graph Coloring,lookahead_L_2,0.6,17.1,0.0,15163.366666666667,0.4141663333333333
Graph Coloring,lookahead_L_3,0.7333333333333333,17.133333333333333,0.0,67324.28333333334,0.025823833333333157
Clique,lookahead_LG_2,1.0,2.8,3.2,221.81666666666666,1.0221818333333332
Clique,lookahead_LG_3,1.0,2.8,3.2,604.4833333333333,1.0183551666666666
Clique,lookahead_L_3,0.9666666666666667,5.95,0.0,854.1666666666666,0.946225
Clique,lookahead_L_2,0.8,5.5,0.0,322.73333333333335,0.7857726666666667
Clique,greedy_LG,0.25,2.7666666666666666,1.1,27.116666666666667,0.27419550000000004
Clique,greedy_L,0.05,2.55,0.0,25.933333333333334,0.04464066666666667
Independent Set,lookahead_LG_2,1.0,5.216666666666667,0.7833333333333333,709.8666666666667,1.012468
Independent Set,lookahead_LG_3,0.9833333333333333,5.566666666666666,0.4166666666666667,2644.1833333333334,0.9757581666666666
Independent Set,lookahead_L_3,0.9833333333333333,5.983333333333333,0.0,2640.016666666667,0.9449664999999999
Independent Set,lookahead_L_2,0.95,5.95,0.0,717.25,0.9309274999999999
Independent Set,greedy_LG,0.8,4.133333333333334,1.65,40.3,0.8213303333333334
Independent Set,greedy_L,0.65,5.566666666666666,0.0,42.416666666666664,0.6384425
Vertex Cover,lookahead_LG_2,1.0,9.8,4.966666666666667,4858.566666666667,0.9618143333333333
Vertex Cover,greedy_L,0.9666666666666667,6.066666666666666,0.0,181.06666666666666,0.9527226666666667
Vertex Cover,lookahead_L_2,0.9666666666666667,18.0,0.0,9105.7,0.8396096666666666
Vertex Cover,lookahead_LG_3,1.0,9.933333333333334,4.766666666666667,24097.333333333332,0.7691600000000001
