task,pair,L_success,LG_success,Q_difficulty,T_simple_success_gain,T_full,QT_product,decision_gain,LG_forced_steps
N-Queens,depth2,0.0,0.5555555555555556,1.0,0.5555555555555556,0.69,0.69,1.4444444444444446,3.111111111111111
N-Queens,depth3,0.2222222222222222,0.6666666666666666,0.7777777777777778,0.4444444444444444,0.6055555555555556,0.4709876543209877,1.6666666666666679,3.888888888888889
Graph Coloring,depth2,0.6,0.9,0.4,0.30000000000000004,1.0095,0.40380000000000005,9.983333333333334,10.516666666666667
Graph Coloring,greedy,0.6166666666666667,0.8833333333333333,0.3833333333333333,0.2666666666666666,1.0310000000000001,0.3952166666666667,10.833333333333336,11.133333333333333
SAT,greedy,0.45,0.55,0.55,0.10000000000000003,0.6760000000000002,0.37180000000000013,7.950000000000001,8.925
SAT,depth3,0.55,0.775,0.44999999999999996,0.22499999999999998,0.78225,0.35201249999999995,7.824999999999999,8.3
Graph Coloring,depth3,0.7333333333333333,0.9,0.2666666666666667,0.16666666666666674,0.8088333333333333,0.21568888888888893,9.049999999999999,9.483333333333333
N-Queens,greedy,0.0,0.1111111111111111,1.0,0.1111111111111111,0.21444444444444447,0.21444444444444447,1.666666666666667,1.0
Clique,greedy,0.05,0.25,0.95,0.2,0.21116666666666667,0.20060833333333333,-0.21666666666666679,1.1
Independent Set,greedy,0.65,0.8,0.35,0.15000000000000002,0.2546666666666667,0.08913333333333334,1.4333333333333327,1.65
Clique,depth2,0.8,1.0,0.19999999999999996,0.19999999999999996,0.39899999999999997,0.07979999999999998,2.7,3.2
Subset Sum,greedy,0.525,0.525,0.475,0.0,0.14300000000000002,0.067925,0.0,7.15
Vertex Cover,depth2,0.9666666666666667,1.0,0.033333333333333326,0.033333333333333326,0.5426666666666666,0.018088888888888884,8.2,4.966666666666667
Vertex Cover,depth3,0.9666666666666667,1.0,0.033333333333333326,0.033333333333333326,0.532,0.01773333333333333,8.066666666666666,4.766666666666667
Clique,depth3,0.9666666666666667,1.0,0.033333333333333326,0.033333333333333326,0.25483333333333336,0.008494444444444443,3.1500000000000004,3.2
Independent Set,depth2,0.95,1.0,0.050000000000000044,0.050000000000000044,0.10233333333333339,0.005116666666666674,0.7333333333333334,0.7833333333333333
Subset Sum,depth2,0.95,0.975,0.050000000000000044,0.025000000000000022,0.09850000000000007,0.004925000000000008,1.0500000000000007,1.05
Independent Set,depth3,0.9833333333333333,0.9833333333333333,0.01666666666666672,0.0,0.02916666666666668,0.0004861111111111129,0.41666666666666696,0.4166666666666667
Subset Sum,depth3,1.0,1.0,0.0,0.0,0.14,0.0,2.0,2.0
Vertex Cover,greedy,0.9666666666666667,0.6,0.033333333333333326,-0.3666666666666667,-0.183,-0.006099999999999999,1.5,5.433333333333334
