dataset,pair,mode_l,mode_lg,l_success_rate,lg_success_rate,success_gain,l_avg_decision,lg_avg_decision,decision_gain,lg_avg_forced,T_score,paired_compared,paired_lg_only,paired_l_only,paired_both,paired_neither
sat16x40,greedy,greedy_L,greedy_LG,0.45,0.55,0.10000000000000003,13.425,5.475,7.950000000000001,8.925,0.6760000000000002,40,9,5,13,13
sat16x40,depth3,lookahead_L_3,lookahead_LG_3,0.55,0.775,0.22499999999999998,14.1,6.275,7.824999999999999,8.3,0.78225,40,9,0,22,9
graph_coloring,greedy,greedy_L,greedy_LG,0.6166666666666667,0.8833333333333333,0.2666666666666666,17.35,6.516666666666667,10.833333333333336,11.133333333333333,1.0310000000000001,60,16,0,37,7
graph_coloring,depth2,lookahead_L_2,lookahead_LG_2,0.6,0.9,0.30000000000000004,17.1,7.116666666666666,9.983333333333334,10.516666666666667,1.0095,60,18,0,36,6
graph_coloring,depth3,lookahead_L_3,lookahead_LG_3,0.7333333333333333,0.9,0.16666666666666674,17.133333333333333,8.083333333333334,9.049999999999999,9.483333333333333,0.8088333333333333,60,10,0,44,6
is_clique,greedy,greedy_L,greedy_LG,0.35,0.525,0.17500000000000004,4.058333333333334,3.45,0.6083333333333334,1.375,0.23291666666666672,120,21,0,42,57
is_clique,depth2,lookahead_L_2,lookahead_LG_2,0.875,1.0,0.125,5.725,4.008333333333334,1.716666666666666,1.9916666666666667,0.25066666666666665,120,15,0,105,0
is_clique,depth3,lookahead_L_3,lookahead_LG_3,0.975,0.9916666666666667,0.01666666666666672,5.966666666666667,4.183333333333334,1.7833333333333332,1.8083333333333333,0.14200000000000007,120,2,0,117,1
vertex_cover,greedy,greedy_L,greedy_LG,0.9666666666666667,0.6,-0.3666666666666667,6.066666666666666,4.566666666666666,1.5,5.433333333333334,-0.183,30,1,12,17,0
vertex_cover,depth2,lookahead_L_2,lookahead_LG_2,0.9666666666666667,1.0,0.033333333333333326,18.0,9.8,8.2,4.966666666666667,0.5426666666666666,30,1,0,29,0
vertex_cover,depth3,lookahead_L_3,lookahead_LG_3,0.9666666666666667,1.0,0.033333333333333326,18.0,9.933333333333334,8.066666666666666,4.766666666666667,0.532,30,1,0,29,0
subset_sum,greedy,greedy_L,greedy_LG,0.525,0.525,0.0,10.85,10.85,0.0,7.15,0.14300000000000002,40,0,0,21,19
subset_sum,depth2,lookahead_L_2,lookahead_LG_2,0.95,0.975,0.025000000000000022,18.0,16.95,1.0500000000000007,1.05,0.09850000000000007,40,1,0,38,1
subset_sum,depth3,lookahead_L_3,lookahead_LG_3,1.0,1.0,0.0,18.0,16.0,2.0,2.0,0.14,40,0,0,40,0
n_queens,greedy,greedy_L,greedy_LG,0.0,0.1111111111111111,0.1111111111111111,8.88888888888889,7.222222222222222,1.666666666666667,1.0,0.21444444444444447,9,1,0,0,8
n_queens,depth2,lookahead_L_2,lookahead_LG_2,0.0,0.5555555555555556,0.5555555555555556,8.555555555555555,7.111111111111111,1.4444444444444446,3.111111111111111,0.69,9,5,0,0,4
n_queens,depth3,lookahead_L_3,lookahead_LG_3,0.2222222222222222,0.6666666666666666,0.4444444444444444,8.777777777777779,7.111111111111111,1.6666666666666679,3.888888888888889,0.6055555555555556,9,5,1,1,2
