case_id,map_seed,mode,success,steps,path_len
map_42_trial_0,42,random,False,3,4
map_42_trial_1,42,random,False,7,8
map_42_trial_2,42,random,False,7,8
map_43_trial_0,43,random,False,58,59
map_43_trial_1,43,random,False,37,38
map_43_trial_2,43,random,False,27,28
map_44_trial_0,44,random,False,36,37
map_44_trial_1,44,random,False,30,31
map_44_trial_2,44,random,True,54,55
map_45_trial_0,45,random,True,78,79
map_45_trial_1,45,random,False,10,11
map_45_trial_2,45,random,True,48,49
map_46_trial_0,46,random,False,73,74
map_46_trial_1,46,random,False,66,67
map_46_trial_2,46,random,False,6,7
map_47_trial_0,47,random,False,48,49
map_47_trial_1,47,random,True,104,105
map_47_trial_2,47,random,True,70,71
map_48_trial_0,48,random,False,37,38
map_48_trial_1,48,random,False,18,19
map_48_trial_2,48,random,False,46,47
map_49_trial_0,49,random,False,29,30
map_49_trial_1,49,random,False,49,50
map_49_trial_2,49,random,True,78,79
map_50_trial_0,50,random,False,47,48
map_50_trial_1,50,random,False,7,8
map_50_trial_2,50,random,False,24,25
map_51_trial_0,51,random,False,41,42
map_51_trial_1,51,random,False,39,40
map_51_trial_2,51,random,True,68,69
map_42_guided_1,42,guided_1,False,3,4
map_43_guided_1,43,guided_1,False,16,17
map_44_guided_1,44,guided_1,False,4,5
map_45_guided_1,45,guided_1,False,15,16
map_46_guided_1,46,guided_1,False,15,16
map_47_guided_1,47,guided_1,True,28,29
map_48_guided_1,48,guided_1,False,25,26
map_49_guided_1,49,guided_1,False,11,12
map_50_guided_1,50,guided_1,False,13,14
map_51_guided_1,51,guided_1,False,23,24
map_42_guided_2,42,guided_2,True,46,47
map_43_guided_2,43,guided_2,False,220,221
map_44_guided_2,44,guided_2,True,32,33
map_45_guided_2,45,guided_2,False,220,221
map_46_guided_2,46,guided_2,False,24,25
map_47_guided_2,47,guided_2,True,28,29
map_48_guided_2,48,guided_2,False,25,26
map_49_guided_2,49,guided_2,True,24,25
map_50_guided_2,50,guided_2,False,35,36
map_51_guided_2,51,guided_2,True,44,45
map_42_guided_3,42,guided_3,True,34,35
map_43_guided_3,43,guided_3,False,220,221
map_44_guided_3,44,guided_3,True,36,37
map_45_guided_3,45,guided_3,True,54,55
map_46_guided_3,46,guided_3,False,220,221
map_47_guided_3,47,guided_3,True,28,29
map_48_guided_3,48,guided_3,False,23,24
map_49_guided_3,49,guided_3,True,24,25
map_50_guided_3,50,guided_3,False,23,24
map_51_guided_3,51,guided_3,True,30,31
map_42_guided_4,42,guided_4,True,26,27
map_43_guided_4,43,guided_4,True,66,67
map_44_guided_4,44,guided_4,True,22,23
map_45_guided_4,45,guided_4,True,34,35
map_46_guided_4,46,guided_4,False,220,221
map_47_guided_4,47,guided_4,True,28,29
map_48_guided_4,48,guided_4,True,34,35
map_49_guided_4,49,guided_4,True,22,23
map_50_guided_4,50,guided_4,False,23,24
map_51_guided_4,51,guided_4,True,30,31
map_42_guided_5,42,guided_5,True,26,27
map_43_guided_5,43,guided_5,True,76,77
map_44_guided_5,44,guided_5,True,22,23
map_45_guided_5,45,guided_5,True,34,35
map_46_guided_5,46,guided_5,False,220,221
map_47_guided_5,47,guided_5,True,28,29
map_48_guided_5,48,guided_5,True,48,49
map_49_guided_5,49,guided_5,True,22,23
map_50_guided_5,50,guided_5,True,46,47
map_51_guided_5,51,guided_5,True,30,31
map_42_guided_6,42,guided_6,False,220,221
map_43_guided_6,43,guided_6,True,68,69
map_44_guided_6,44,guided_6,True,22,23
map_45_guided_6,45,guided_6,True,34,35
map_46_guided_6,46,guided_6,False,220,221
map_47_guided_6,47,guided_6,True,28,29
map_48_guided_6,48,guided_6,True,48,49
map_49_guided_6,49,guided_6,True,22,23
map_50_guided_6,50,guided_6,True,36,37
map_51_guided_6,51,guided_6,True,30,31
map_42_guided_7,42,guided_7,True,24,25
map_43_guided_7,43,guided_7,True,60,61
map_44_guided_7,44,guided_7,True,22,23
map_45_guided_7,45,guided_7,True,22,23
map_46_guided_7,46,guided_7,True,172,173
map_47_guided_7,47,guided_7,True,22,23
map_48_guided_7,48,guided_7,True,36,37
map_49_guided_7,49,guided_7,True,22,23
map_50_guided_7,50,guided_7,True,36,37
map_51_guided_7,51,guided_7,True,26,27
