size,sets,solution_size,depth,case,seed,success,status,decision_steps,forced_steps,score_calls,chosen_count
12,21,3,1,0,12142,True,SAT_FOUND,1,2,21,3
12,21,3,1,1,12143,True,SAT_FOUND,1,2,21,3
12,21,3,1,2,12144,True,SAT_FOUND,1,2,21,3
12,21,3,1,3,12145,True,SAT_FOUND,1,2,21,3
12,21,3,1,4,12146,True,SAT_FOUND,1,2,21,3
12,21,3,1,5,12147,True,SAT_FOUND,1,2,21,3
12,21,3,1,6,12148,True,SAT_FOUND,1,3,21,4
12,21,3,1,7,12149,True,SAT_FOUND,1,2,21,3
12,21,3,1,8,12150,True,SAT_FOUND,1,2,21,3
12,21,3,1,9,12151,True,SAT_FOUND,1,4,21,5
12,21,3,2,0,12242,True,SAT_FOUND,3,3,350,6
12,21,3,2,1,12243,True,SAT_FOUND,1,2,92,3
12,21,3,2,2,12244,True,SAT_FOUND,1,2,150,3
12,21,3,2,3,12245,True,SAT_FOUND,2,2,208,4
12,21,3,2,4,12246,True,SAT_FOUND,1,2,135,3
12,21,3,2,5,12247,True,SAT_FOUND,1,2,120,3
12,21,3,2,6,12248,True,SAT_FOUND,1,2,60,3
12,21,3,2,7,12249,True,SAT_FOUND,0,3,0,3
12,21,3,2,8,12250,True,SAT_FOUND,1,2,149,3
12,21,3,2,9,12251,True,SAT_FOUND,1,2,88,3
12,21,3,3,0,12342,True,SAT_FOUND,1,2,244,3
12,21,3,3,1,12343,True,SAT_FOUND,1,2,98,3
12,21,3,3,2,12344,True,SAT_FOUND,2,2,258,4
12,21,3,3,3,12345,True,SAT_FOUND,1,2,218,3
12,21,3,3,4,12346,True,SAT_FOUND,1,2,151,3
12,21,3,3,5,12347,True,SAT_FOUND,1,2,23,3
12,21,3,3,6,12348,True,SAT_FOUND,1,2,163,3
12,21,3,3,7,12349,True,SAT_FOUND,2,2,424,4
12,21,3,3,8,12350,True,SAT_FOUND,1,2,269,3
12,21,3,3,9,12351,True,SAT_FOUND,1,2,252,3
12,21,3,4,0,12442,True,SAT_FOUND,1,2,150,3
12,21,3,4,1,12443,True,SAT_FOUND,1,2,1266,3
12,21,3,4,2,12444,True,SAT_FOUND,2,2,1995,4
12,21,3,4,3,12445,True,SAT_FOUND,1,2,179,3
12,21,3,4,4,12446,True,SAT_FOUND,1,2,121,3
12,21,3,4,5,12447,True,SAT_FOUND,1,2,1811,3
12,21,3,4,6,12448,True,SAT_FOUND,1,2,106,3
12,21,3,4,7,12449,True,SAT_FOUND,1,2,108,3
12,21,3,4,8,12450,True,SAT_FOUND,2,1,164,3
12,21,3,4,9,12451,True,SAT_FOUND,1,4,157,5
