size,sets,solution_size,depth,success,total,success_rate,false_success,avg_decision_steps,avg_forced_steps,avg_score_calls
12,21,3,1,10,10,1.0,0,1.0,2.3,21.0
12,21,3,2,10,10,1.0,0,1.2,2.2,135.2
12,21,3,3,10,10,1.0,0,1.2,2.0,210.0
12,21,3,4,10,10,1.0,0,1.2,2.1,605.7
18,32,4,1,10,10,1.0,0,1.0,3.0,32.0
18,32,4,2,10,10,1.0,0,1.4,2.7,310.4
18,32,4,3,10,10,1.0,0,1.2,3.0,661.2
18,32,4,4,10,10,1.0,0,1.3,2.7,929.8
24,42,6,1,10,10,1.0,0,1.1,4.9,43.6
24,42,6,2,10,10,1.0,0,1.2,4.8,438.9
24,42,6,3,10,10,1.0,0,1.1,4.9,1183.9
24,42,6,4,10,10,1.0,0,1.5,4.5,2492.5
30,52,8,1,10,10,1.0,0,1.0,7.0,52.0
30,52,8,2,10,10,1.0,0,1.3,6.7,687.3
30,52,8,3,10,10,1.0,0,1.6,6.4,1899.5
30,52,8,4,10,10,1.0,0,1.4,6.6,4698.2
