size,sets,solution_size,depth,case,seed,success,status,decision_steps,forced_steps,score_calls,chosen_count
32,56,8,1,0,32142,True,SAT_FOUND,1,7,56,8
32,56,8,1,1,32143,True,SAT_FOUND,1,7,56,8
32,56,8,1,2,32144,True,SAT_FOUND,1,7,56,8
32,56,8,1,3,32145,True,SAT_FOUND,1,7,56,8
32,56,8,1,4,32146,True,SAT_FOUND,1,7,56,8
32,56,8,2,0,32242,True,SAT_FOUND,2,6,992,8
32,56,8,2,1,32243,True,SAT_FOUND,2,6,850,8
32,56,8,2,2,32244,True,SAT_FOUND,2,6,689,8
32,56,8,2,3,32245,True,SAT_FOUND,1,7,712,8
32,56,8,2,4,32246,True,SAT_FOUND,2,6,960,8
36,63,9,1,0,36142,True,SAT_FOUND,1,8,63,9
36,63,9,1,1,36143,True,SAT_FOUND,1,8,63,9
36,63,9,1,2,36144,True,SAT_FOUND,1,8,63,9
36,63,9,1,3,36145,True,SAT_FOUND,1,8,63,9
36,63,9,1,4,36146,True,SAT_FOUND,1,8,63,9
36,63,9,2,0,36242,True,SAT_FOUND,1,8,951,9
36,63,9,2,1,36243,True,SAT_FOUND,2,7,842,9
36,63,9,2,2,36244,True,SAT_FOUND,2,7,1171,9
36,63,9,2,3,36245,True,SAT_FOUND,1,8,657,9
36,63,9,2,4,36246,True,SAT_FOUND,2,7,1014,9
40,70,10,1,0,40142,True,SAT_FOUND,1,9,70,10
40,70,10,1,1,40143,True,SAT_FOUND,1,9,70,10
40,70,10,1,2,40144,True,SAT_FOUND,1,9,70,10
40,70,10,1,3,40145,True,SAT_FOUND,1,9,70,10
40,70,10,1,4,40146,True,SAT_FOUND,1,9,70,10
40,70,10,2,0,40242,True,SAT_FOUND,2,8,1061,10
40,70,10,2,1,40243,True,SAT_FOUND,1,9,1185,10
40,70,10,2,2,40244,True,SAT_FOUND,2,8,1355,10
40,70,10,2,3,40245,True,SAT_FOUND,2,8,1006,10
40,70,10,2,4,40246,True,SAT_FOUND,1,9,850,10
