size,depth,success,total,success_rate,false_success,avg_decision_steps,avg_forced_steps,avg_score_calls
18,1,10,10,1.0,0,2.0,16.0,101.2
18,2,10,10,1.0,0,2.7,15.3,4357.7
18,3,10,10,1.0,0,3.2,14.8,17096.7
18,4,10,10,1.0,0,3.4,14.6,47014.3
22,1,10,10,1.0,0,2.1,19.9,124.7
22,2,10,10,1.0,0,2.2,19.8,6336.6
22,3,10,10,1.0,0,3.0,19.0,24207.0
22,4,10,10,1.0,0,2.5,19.5,61957.1
26,1,10,10,1.0,0,2.0,24.0,148.1
26,2,10,10,1.0,0,2.4,23.6,9254.8
26,3,10,10,1.0,0,2.3,23.7,30370.4
26,4,10,10,1.0,0,2.5,23.5,94367.4
30,1,10,10,1.0,0,2.0,28.0,170.4
30,2,10,10,1.0,0,2.4,27.6,12448.5
30,3,10,10,1.0,0,2.6,27.4,45737.1
30,4,10,10,1.0,0,2.6,27.4,136008.2
