size,depth,case,seed,edge_count,mode,success,status,decision_steps,forced_steps,score_calls,colored
18,1,0,18142,30,greedy_LG,True,SOLUTION_FOUND,6,12,180,18
18,1,1,18143,27,greedy_LG,True,SOLUTION_FOUND,6,12,214,18
18,1,2,18144,27,greedy_LG,True,SOLUTION_FOUND,7,11,169,18
18,1,3,18145,27,greedy_LG,True,SOLUTION_FOUND,6,12,206,18
18,1,4,18146,29,greedy_LG,True,SOLUTION_FOUND,5,13,160,18
18,2,0,18242,24,lookahead_LG_2,True,SOLUTION_FOUND,9,9,11314,18
18,2,1,18243,22,lookahead_LG_2,True,SOLUTION_FOUND,8,10,7575,18
18,2,2,18244,28,lookahead_LG_2,True,SOLUTION_FOUND,6,12,5348,18
18,2,3,18245,26,lookahead_LG_2,True,SOLUTION_FOUND,8,10,7419,18
18,2,4,18246,24,lookahead_LG_2,True,SOLUTION_FOUND,8,10,8465,18
18,3,0,18342,20,lookahead_LG_3,True,SOLUTION_FOUND,12,6,26337,18
18,3,1,18343,20,lookahead_LG_3,True,SOLUTION_FOUND,11,7,24081,18
18,3,2,18344,31,lookahead_LG_3,True,SOLUTION_FOUND,6,12,16406,18
18,3,3,18345,22,lookahead_LG_3,True,SOLUTION_FOUND,9,9,23067,18
18,3,4,18346,26,lookahead_LG_3,True,SOLUTION_FOUND,9,9,24200,18
22,1,0,22142,38,greedy_LG,True,SOLUTION_FOUND,7,15,253,22
22,1,1,22143,29,greedy_LG,True,SOLUTION_FOUND,9,13,292,22
22,1,2,22144,44,greedy_LG,True,SOLUTION_FOUND,4,18,165,22
22,1,3,22145,42,greedy_LG,True,SOLUTION_FOUND,5,17,165,22
22,1,4,22146,43,greedy_LG,True,SOLUTION_FOUND,6,16,204,22
22,2,0,22242,47,lookahead_LG_2,True,SOLUTION_FOUND,5,17,11172,22
22,2,1,22243,39,lookahead_LG_2,True,SOLUTION_FOUND,8,14,11853,22
22,2,2,22244,37,lookahead_LG_2,True,SOLUTION_FOUND,8,14,15182,22
22,2,3,22245,31,lookahead_LG_2,True,SOLUTION_FOUND,8,14,9176,22
22,2,4,22246,41,lookahead_LG_2,True,SOLUTION_FOUND,5,17,7632,22
22,3,0,22342,41,lookahead_LG_3,True,SOLUTION_FOUND,8,14,35598,22
22,3,1,22343,46,lookahead_LG_3,True,SOLUTION_FOUND,7,15,24747,22
22,3,2,22344,42,lookahead_LG_3,True,SOLUTION_FOUND,10,12,40171,22
22,3,3,22345,37,lookahead_LG_3,True,SOLUTION_FOUND,10,12,32495,22
22,3,4,22346,44,lookahead_LG_3,True,SOLUTION_FOUND,9,13,43911,22
26,1,0,26142,58,greedy_LG,True,SOLUTION_FOUND,3,23,187,26
26,1,1,26143,63,greedy_LG,True,SOLUTION_FOUND,4,22,208,26
26,1,2,26144,58,greedy_LG,True,SOLUTION_FOUND,7,19,183,26
26,1,3,26145,49,greedy_LG,True,SOLUTION_FOUND,7,19,242,26
26,1,4,26146,48,greedy_LG,True,SOLUTION_FOUND,10,16,321,26
26,2,0,26242,66,lookahead_LG_2,True,SOLUTION_FOUND,3,23,12358,26
26,2,1,26243,57,lookahead_LG_2,True,SOLUTION_FOUND,5,21,16393,26
26,2,2,26244,64,lookahead_LG_2,True,SOLUTION_FOUND,5,21,16753,26
26,2,3,26245,58,lookahead_LG_2,True,SOLUTION_FOUND,6,20,15821,26
26,2,4,26246,56,lookahead_LG_2,True,SOLUTION_FOUND,7,19,19511,26
26,3,0,26342,52,lookahead_LG_3,True,SOLUTION_FOUND,7,19,36672,26
26,3,1,26343,56,lookahead_LG_3,True,SOLUTION_FOUND,7,19,45882,26
26,3,2,26344,55,lookahead_LG_3,True,SOLUTION_FOUND,5,21,33143,26
26,3,3,26345,62,lookahead_LG_3,True,SOLUTION_FOUND,5,21,33751,26
26,3,4,26346,55,lookahead_LG_3,True,SOLUTION_FOUND,8,18,57670,26
30,1,0,30142,79,greedy_LG,True,SOLUTION_FOUND,3,27,246,30
30,1,1,30143,64,greedy_LG,True,SOLUTION_FOUND,8,22,297,30
30,1,2,30144,74,greedy_LG,True,SOLUTION_FOUND,2,28,175,30
30,1,3,30145,68,greedy_LG,True,SOLUTION_FOUND,6,24,263,30
30,1,4,30146,78,greedy_LG,True,SOLUTION_FOUND,6,24,219,30
30,2,0,30242,84,lookahead_LG_2,True,SOLUTION_FOUND,6,24,21029,30
30,2,1,30243,82,lookahead_LG_2,True,SOLUTION_FOUND,4,26,18819,30
30,2,2,30244,67,lookahead_LG_2,True,SOLUTION_FOUND,7,23,13269,30
30,2,3,30245,82,lookahead_LG_2,True,SOLUTION_FOUND,6,24,23384,30
30,2,4,30246,63,lookahead_LG_2,True,SOLUTION_FOUND,5,25,22666,30
30,3,0,30342,76,lookahead_LG_3,True,SOLUTION_FOUND,4,26,53405,30
30,3,1,30343,72,lookahead_LG_3,True,SOLUTION_FOUND,6,24,63378,30
30,3,2,30344,66,lookahead_LG_3,True,SOLUTION_FOUND,7,23,46842,30
30,3,3,30345,71,lookahead_LG_3,True,SOLUTION_FOUND,9,21,52860,30
30,3,4,30346,74,lookahead_LG_3,True,SOLUTION_FOUND,5,25,52977,30
