n,depth,mode,success,status,decision_steps,forced_steps,score_calls
8,1,greedy_LG,False,FAILED_TO_FIND,4,0,20
8,2,lookahead_LG_2,True,SOLUTION_FOUND,4,4,129
8,3,lookahead_LG_3,True,SOLUTION_FOUND,4,4,267
8,4,lookahead_LG_4,True,SOLUTION_FOUND,4,4,436
9,1,greedy_LG,False,FAILED_TO_FIND,5,0,26
9,2,lookahead_LG_2,True,SOLUTION_FOUND,4,5,177
9,3,lookahead_LG_3,True,SOLUTION_FOUND,4,5,382
9,4,lookahead_LG_4,True,SOLUTION_FOUND,5,4,675
10,1,greedy_LG,True,SOLUTION_FOUND,6,4,33
10,2,lookahead_LG_2,False,FAILED_TO_FIND,6,0,235
10,3,lookahead_LG_3,True,SOLUTION_FOUND,7,3,495
10,4,lookahead_LG_4,True,SOLUTION_FOUND,8,2,969
11,1,greedy_LG,False,FAILED_TO_FIND,6,1,38
11,2,lookahead_LG_2,True,SOLUTION_FOUND,7,4,326
11,3,lookahead_LG_3,False,FAILED_TO_FIND,6,2,656
11,4,lookahead_LG_4,True,SOLUTION_FOUND,5,6,1244
12,1,greedy_LG,False,FAILED_TO_FIND,8,1,44
12,2,lookahead_LG_2,False,FAILED_TO_FIND,8,0,382
12,3,lookahead_LG_3,True,SOLUTION_FOUND,7,5,906
12,4,lookahead_LG_4,True,SOLUTION_FOUND,7,5,1674
