n,depth,success_rate,success,total,status,decision_steps,forced_steps,score_calls
8,1,0.0,0,1,FAILED_TO_FIND,4,0,20
8,2,1.0,1,1,SOLUTION_FOUND,4,4,129
8,3,1.0,1,1,SOLUTION_FOUND,4,4,267
8,4,1.0,1,1,SOLUTION_FOUND,4,4,436
9,1,0.0,0,1,FAILED_TO_FIND,5,0,26
9,2,1.0,1,1,SOLUTION_FOUND,4,5,177
9,3,1.0,1,1,SOLUTION_FOUND,4,5,382
9,4,1.0,1,1,SOLUTION_FOUND,5,4,675
10,1,1.0,1,1,SOLUTION_FOUND,6,4,33
10,2,0.0,0,1,FAILED_TO_FIND,6,0,235
10,3,1.0,1,1,SOLUTION_FOUND,7,3,495
10,4,1.0,1,1,SOLUTION_FOUND,8,2,969
11,1,0.0,0,1,FAILED_TO_FIND,6,1,38
11,2,1.0,1,1,SOLUTION_FOUND,7,4,326
11,3,0.0,0,1,FAILED_TO_FIND,6,2,656
11,4,1.0,1,1,SOLUTION_FOUND,5,6,1244
12,1,0.0,0,1,FAILED_TO_FIND,8,1,44
12,2,0.0,0,1,FAILED_TO_FIND,8,0,382
12,3,1.0,1,1,SOLUTION_FOUND,7,5,906
12,4,1.0,1,1,SOLUTION_FOUND,7,5,1674
