mode,total,success,fail,skipped,sat_found,unsat_proved,timeout,failed_to_find,success_rate,avg_steps_success_only,avg_steps_all,avg_steps_non_skipped,avg_decision_steps,avg_forced_steps,avg_score_calls,min_steps_success,max_steps_success
dpll_control,5,5,0,0,5,0,0,0,1.0,9.2,9.2,9.2,9.2,1.0,0.0,7,15
greedy_L,5,0,5,0,0,0,0,5,0.0,,19.8,19.8,19.8,0.0,419.6,,
greedy_LG,5,3,2,0,3,0,0,2,0.6,2.6666666666666665,7.6,7.6,5.2,12.4,136.4,2,3
lookahead_LG_1,5,3,2,0,3,0,0,2,0.6,2.6666666666666665,7.6,7.6,5.2,12.4,136.4,2,3
lookahead_LG_2,5,5,0,0,5,0,0,0,1.0,6.0,6.0,6.0,6.0,12.6,5707.2,3,9
lookahead_LG_3,5,5,0,0,5,0,0,0,1.0,5.6,5.6,5.6,5.6,13.2,20681.2,3,8
lookahead_L_1,5,0,5,0,0,0,0,5,0.0,,19.8,19.8,19.8,0.0,419.6,,
lookahead_L_2,5,0,5,0,0,0,0,5,0.0,,19.0,19.0,19.0,0.0,12308.0,,
lookahead_L_3,5,0,5,0,0,0,0,5,0.0,,18.2,18.2,18.2,0.0,45412.0,,
random,5,0,5,0,0,0,0,5,0.0,,20.0,20.0,20.0,0.0,0.0,,
