case_id,map_seed,mode,success,steps,path_len
map_42_trial_0,42,random,False,2,3
map_42_trial_1,42,random,False,2,3
map_42_guided_1,42,guided_1,False,2,3
map_42_guided_2,42,guided_2,True,20,21
map_42_guided_3,42,guided_3,True,20,21
map_43_trial_0,43,random,False,3,4
map_43_trial_1,43,random,False,3,4
map_43_guided_1,43,guided_1,False,3,4
map_43_guided_2,43,guided_2,False,100,101
map_43_guided_3,43,guided_3,True,16,17
map_44_trial_0,44,random,True,54,55
map_44_trial_1,44,random,True,30,31
map_44_guided_1,44,guided_1,False,13,14
map_44_guided_2,44,guided_2,False,100,101
map_44_guided_3,44,guided_3,True,18,19
map_45_trial_0,45,random,True,28,29
map_45_trial_1,45,random,True,46,47
map_45_guided_1,45,guided_1,True,14,15
map_45_guided_2,45,guided_2,True,14,15
map_45_guided_3,45,guided_3,True,14,15
map_46_trial_0,46,random,True,32,33
map_46_trial_1,46,random,False,10,11
map_46_guided_1,46,guided_1,False,7,8
map_46_guided_2,46,guided_2,False,7,8
map_46_guided_3,46,guided_3,False,7,8
map_47_trial_0,47,random,False,5,6
map_47_trial_1,47,random,True,28,29
map_47_guided_1,47,guided_1,False,7,8
map_47_guided_2,47,guided_2,False,100,101
map_47_guided_3,47,guided_3,True,34,35
