case_id,formula_seed,n_vars,n_clauses,mode,success,direct_verified,steps,assigned_count
sat_n6_seed_60042,60042,6,24,dpll_control,False,False,9,0
sat_n6_seed_60042,60042,6,24,random,False,False,6,6
sat_n6_seed_60042,60042,6,24,greedy_L,False,False,6,6
sat_n6_seed_60042,60042,6,24,greedy_LG,False,False,6,6
sat_n6_seed_60042,60042,6,24,lookahead_L_2,False,False,5,6
sat_n6_seed_60042,60042,6,24,lookahead_LG_2,False,False,5,6
sat_n6_seed_60043,60043,6,24,dpll_control,True,True,4,6
sat_n6_seed_60043,60043,6,24,random,False,False,6,6
sat_n6_seed_60043,60043,6,24,greedy_L,True,True,1,6
sat_n6_seed_60043,60043,6,24,greedy_LG,True,True,1,6
sat_n6_seed_60043,60043,6,24,lookahead_L_2,True,True,3,6
sat_n6_seed_60043,60043,6,24,lookahead_LG_2,True,True,2,6
sat_n6_seed_60044,60044,6,24,dpll_control,True,True,6,6
sat_n6_seed_60044,60044,6,24,random,False,False,6,6
sat_n6_seed_60044,60044,6,24,greedy_L,True,True,1,6
sat_n6_seed_60044,60044,6,24,greedy_LG,True,True,1,6
sat_n6_seed_60044,60044,6,24,lookahead_L_2,True,True,1,6
sat_n6_seed_60044,60044,6,24,lookahead_LG_2,True,True,1,6
sat_n6_seed_60045,60045,6,24,dpll_control,True,True,4,6
sat_n6_seed_60045,60045,6,24,random,False,False,6,6
sat_n6_seed_60045,60045,6,24,greedy_L,False,False,6,6
sat_n6_seed_60045,60045,6,24,greedy_LG,False,False,4,6
sat_n6_seed_60045,60045,6,24,lookahead_L_2,True,True,4,6
sat_n6_seed_60045,60045,6,24,lookahead_LG_2,True,True,2,6
sat_n6_seed_60046,60046,6,24,dpll_control,False,False,7,0
sat_n6_seed_60046,60046,6,24,random,False,False,6,6
sat_n6_seed_60046,60046,6,24,greedy_L,False,False,6,6
sat_n6_seed_60046,60046,6,24,greedy_LG,False,False,6,6
sat_n6_seed_60046,60046,6,24,lookahead_L_2,False,False,6,6
sat_n6_seed_60046,60046,6,24,lookahead_LG_2,False,False,6,6
sat_n6_seed_60047,60047,6,24,dpll_control,True,True,5,6
sat_n6_seed_60047,60047,6,24,random,False,False,6,6
sat_n6_seed_60047,60047,6,24,greedy_L,True,True,2,6
sat_n6_seed_60047,60047,6,24,greedy_LG,True,True,2,6
sat_n6_seed_60047,60047,6,24,lookahead_L_2,True,True,3,6
sat_n6_seed_60047,60047,6,24,lookahead_LG_2,True,True,2,6
sat_n6_seed_60048,60048,6,24,dpll_control,True,True,5,6
sat_n6_seed_60048,60048,6,24,random,False,False,6,6
sat_n6_seed_60048,60048,6,24,greedy_L,True,True,3,6
sat_n6_seed_60048,60048,6,24,greedy_LG,True,True,2,6
sat_n6_seed_60048,60048,6,24,lookahead_L_2,True,True,4,6
sat_n6_seed_60048,60048,6,24,lookahead_LG_2,True,True,2,6
sat_n6_seed_60049,60049,6,24,dpll_control,True,True,4,6
sat_n6_seed_60049,60049,6,24,random,False,False,6,6
sat_n6_seed_60049,60049,6,24,greedy_L,True,True,1,6
sat_n6_seed_60049,60049,6,24,greedy_LG,True,True,1,6
sat_n6_seed_60049,60049,6,24,lookahead_L_2,True,True,1,6
sat_n6_seed_60049,60049,6,24,lookahead_LG_2,True,True,1,6
sat_n8_seed_80042,80042,8,32,dpll_control,True,True,5,8
sat_n8_seed_80042,80042,8,32,random,False,False,8,8
sat_n8_seed_80042,80042,8,32,greedy_L,True,True,6,8
sat_n8_seed_80042,80042,8,32,greedy_LG,True,True,2,8
sat_n8_seed_80042,80042,8,32,lookahead_L_2,True,True,5,8
sat_n8_seed_80042,80042,8,32,lookahead_LG_2,True,True,5,8
sat_n8_seed_80043,80043,8,32,dpll_control,True,True,4,8
sat_n8_seed_80043,80043,8,32,random,False,False,8,8
sat_n8_seed_80043,80043,8,32,greedy_L,False,False,8,8
sat_n8_seed_80043,80043,8,32,greedy_LG,True,True,2,8
sat_n8_seed_80043,80043,8,32,lookahead_L_2,False,False,8,8
sat_n8_seed_80043,80043,8,32,lookahead_LG_2,True,True,4,8
sat_n8_seed_80044,80044,8,32,dpll_control,True,True,5,8
sat_n8_seed_80044,80044,8,32,random,False,False,8,8
sat_n8_seed_80044,80044,8,32,greedy_L,False,False,8,8
sat_n8_seed_80044,80044,8,32,greedy_LG,False,False,7,8
