case_id,map_seed,mode,success,steps,path_len
map_42_trial_0,42,random,True,84,85
map_42_trial_1,42,random,True,80,81
map_42_trial_2,42,random,True,56,57
map_42_guided_1,42,guided_1,False,19,20
map_42_guided_2,42,guided_2,False,150,151
map_42_guided_3,42,guided_3,True,20,21
map_43_trial_0,43,random,False,14,15
map_43_trial_1,43,random,False,47,48
map_43_trial_2,43,random,True,60,61
map_43_guided_1,43,guided_1,False,20,21
map_43_guided_2,43,guided_2,True,42,43
map_43_guided_3,43,guided_3,True,22,23
map_44_trial_0,44,random,False,15,16
map_44_trial_1,44,random,False,48,49
map_44_trial_2,44,random,False,21,22
map_44_guided_1,44,guided_1,False,5,6
map_44_guided_2,44,guided_2,False,150,151
map_44_guided_3,44,guided_3,True,40,41
map_45_trial_0,45,random,True,38,39
map_45_trial_1,45,random,True,66,67
map_45_trial_2,45,random,True,50,51
map_45_guided_1,45,guided_1,True,20,21
map_45_guided_2,45,guided_2,True,20,21
map_45_guided_3,45,guided_3,True,20,21
map_46_trial_0,46,random,True,66,67
map_46_trial_1,46,random,False,10,11
map_46_trial_2,46,random,False,8,9
map_46_guided_1,46,guided_1,False,8,9
map_46_guided_2,46,guided_2,False,150,151
map_46_guided_3,46,guided_3,True,56,57
map_47_trial_0,47,random,False,37,38
map_47_trial_1,47,random,True,62,63
map_47_trial_2,47,random,True,42,43
map_47_guided_1,47,guided_1,False,17,18
map_47_guided_2,47,guided_2,True,38,39
map_47_guided_3,47,guided_3,True,26,27
map_48_trial_0,48,random,False,25,26
map_48_trial_1,48,random,True,72,73
map_48_trial_2,48,random,True,64,65
map_48_guided_1,48,guided_1,False,13,14
map_48_guided_2,48,guided_2,False,13,14
map_48_guided_3,48,guided_3,False,150,151
map_49_trial_0,49,random,False,46,47
map_49_trial_1,49,random,False,14,15
map_49_trial_2,49,random,False,24,25
map_49_guided_1,49,guided_1,False,12,13
map_49_guided_2,49,guided_2,False,16,17
map_49_guided_3,49,guided_3,False,150,151
