case_id,formula_seed,n_vars,n_clauses,mode,success,direct_verified,steps,assigned_count
sat_n12_seed_120042,120042,12,48,dpll_control,True,True,9,12
sat_n12_seed_120042,120042,12,48,random,False,False,12,12
sat_n12_seed_120042,120042,12,48,greedy_L,True,True,9,12
sat_n12_seed_120042,120042,12,48,greedy_LG,True,True,3,12
sat_n12_seed_120042,120042,12,48,lookahead_L_2,True,True,12,12
sat_n12_seed_120042,120042,12,48,lookahead_LG_2,True,True,5,12
sat_n12_seed_120043,120043,12,48,dpll_control,False,False,9,0
sat_n12_seed_120043,120043,12,48,random,False,False,12,12
sat_n12_seed_120043,120043,12,48,greedy_L,False,False,12,12
sat_n12_seed_120043,120043,12,48,greedy_LG,False,False,10,12
sat_n12_seed_120043,120043,12,48,lookahead_L_2,False,False,12,12
sat_n12_seed_120043,120043,12,48,lookahead_LG_2,False,False,9,12
sat_n12_seed_120044,120044,12,48,dpll_control,True,True,4,12
sat_n12_seed_120044,120044,12,48,random,False,False,12,12
sat_n12_seed_120044,120044,12,48,greedy_L,True,True,11,12
sat_n12_seed_120044,120044,12,48,greedy_LG,True,True,3,12
sat_n12_seed_120044,120044,12,48,lookahead_L_2,True,True,12,12
sat_n12_seed_120044,120044,12,48,lookahead_LG_2,True,True,3,12
sat_n12_seed_120045,120045,12,48,dpll_control,False,False,15,0
sat_n12_seed_120045,120045,12,48,random,False,False,12,12
sat_n12_seed_120045,120045,12,48,greedy_L,False,False,12,12
sat_n12_seed_120045,120045,12,48,greedy_LG,False,False,10,12
sat_n12_seed_120045,120045,12,48,lookahead_L_2,False,False,11,12
sat_n12_seed_120045,120045,12,48,lookahead_LG_2,False,False,10,12
sat_n12_seed_120046,120046,12,48,dpll_control,True,True,9,12
sat_n12_seed_120046,120046,12,48,random,False,False,12,12
sat_n12_seed_120046,120046,12,48,greedy_L,True,True,10,12
sat_n12_seed_120046,120046,12,48,greedy_LG,True,True,3,12
sat_n12_seed_120046,120046,12,48,lookahead_L_2,True,True,8,12
sat_n12_seed_120046,120046,12,48,lookahead_LG_2,True,True,4,12
sat_n12_seed_120047,120047,12,48,dpll_control,True,True,9,12
sat_n12_seed_120047,120047,12,48,random,False,False,12,12
sat_n12_seed_120047,120047,12,48,greedy_L,False,False,12,12
sat_n12_seed_120047,120047,12,48,greedy_LG,True,True,2,12
sat_n12_seed_120047,120047,12,48,lookahead_L_2,False,False,12,12
sat_n12_seed_120047,120047,12,48,lookahead_LG_2,True,True,3,12
sat_n14_seed_140042,140042,14,56,dpll_control,True,True,5,14
sat_n14_seed_140042,140042,14,56,random,False,False,14,14
sat_n14_seed_140042,140042,14,56,greedy_L,True,True,11,14
sat_n14_seed_140042,140042,14,56,greedy_LG,True,True,3,14
sat_n14_seed_140042,140042,14,56,lookahead_L_2,True,True,12,14
sat_n14_seed_140042,140042,14,56,lookahead_LG_2,True,True,4,14
sat_n14_seed_140043,140043,14,56,dpll_control,True,True,5,14
sat_n14_seed_140043,140043,14,56,random,False,False,14,14
sat_n14_seed_140043,140043,14,56,greedy_L,False,False,14,14
sat_n14_seed_140043,140043,14,56,greedy_LG,True,True,3,14
sat_n14_seed_140043,140043,14,56,lookahead_L_2,True,True,8,14
sat_n14_seed_140043,140043,14,56,lookahead_LG_2,True,True,5,14
sat_n14_seed_140044,140044,14,56,dpll_control,True,True,6,14
sat_n14_seed_140044,140044,14,56,random,False,False,14,14
sat_n14_seed_140044,140044,14,56,greedy_L,True,True,9,14
sat_n14_seed_140044,140044,14,56,greedy_LG,True,True,2,14
sat_n14_seed_140044,140044,14,56,lookahead_L_2,False,False,14,14
sat_n14_seed_140044,140044,14,56,lookahead_LG_2,True,True,3,14
sat_n14_seed_140045,140045,14,56,dpll_control,False,False,13,0
sat_n14_seed_140045,140045,14,56,random,False,False,14,14
sat_n14_seed_140045,140045,14,56,greedy_L,False,False,14,14
sat_n14_seed_140045,140045,14,56,greedy_LG,False,False,13,14
sat_n14_seed_140045,140045,14,56,lookahead_L_2,False,False,13,14
sat_n14_seed_140045,140045,14,56,lookahead_LG_2,False,False,9,14
sat_n14_seed_140046,140046,14,56,dpll_control,True,True,8,14
sat_n14_seed_140046,140046,14,56,random,False,False,14,14
sat_n14_seed_140046,140046,14,56,greedy_L,False,False,13,14
sat_n14_seed_140046,140046,14,56,greedy_LG,True,True,2,14
sat_n14_seed_140046,140046,14,56,lookahead_L_2,False,False,12,14
sat_n14_seed_140046,140046,14,56,lookahead_LG_2,True,True,5,14
sat_n14_seed_140047,140047,14,56,dpll_control,True,True,9,14
sat_n14_seed_140047,140047,14,56,random,False,False,14,14
sat_n14_seed_140047,140047,14,56,greedy_L,True,True,1,14
sat_n14_seed_140047,140047,14,56,greedy_LG,True,True,1,14
sat_n14_seed_140047,140047,14,56,lookahead_L_2,True,True,1,14
sat_n14_seed_140047,140047,14,56,lookahead_LG_2,True,True,1,14
sat_n16_seed_160042,160042,16,64,dpll_control,True,True,11,16
sat_n16_seed_160042,160042,16,64,random,False,False,16,16
sat_n16_seed_160042,160042,16,64,greedy_L,True,True,12,16
sat_n16_seed_160042,160042,16,64,greedy_LG,True,True,3,16
sat_n16_seed_160042,160042,16,64,lookahead_L_2,True,True,16,16
sat_n16_seed_160042,160042,16,64,lookahead_LG_2,True,True,3,16
sat_n16_seed_160043,160043,16,64,dpll_control,True,True,10,16
sat_n16_seed_160043,160043,16,64,random,False,False,16,16
sat_n16_seed_160043,160043,16,64,greedy_L,True,True,10,16
sat_n16_seed_160043,160043,16,64,greedy_LG,True,True,3,16
sat_n16_seed_160043,160043,16,64,lookahead_L_2,True,True,16,16
sat_n16_seed_160043,160043,16,64,lookahead_LG_2,True,True,3,16
sat_n16_seed_160044,160044,16,64,dpll_control,True,True,15,16
sat_n16_seed_160044,160044,16,64,random,False,False,16,16
sat_n16_seed_160044,160044,16,64,greedy_L,True,True,12,16
sat_n16_seed_160044,160044,16,64,greedy_LG,True,True,3,16
sat_n16_seed_160044,160044,16,64,lookahead_L_2,True,True,12,16
sat_n16_seed_160044,160044,16,64,lookahead_LG_2,True,True,4,16
sat_n16_seed_160045,160045,16,64,dpll_control,True,True,15,16
sat_n16_seed_160045,160045,16,64,random,False,False,16,16
sat_n16_seed_160045,160045,16,64,greedy_L,False,False,16,16
sat_n16_seed_160045,160045,16,64,greedy_LG,True,True,4,16
sat_n16_seed_160045,160045,16,64,lookahead_L_2,False,False,15,16
sat_n16_seed_160045,160045,16,64,lookahead_LG_2,True,True,5,16
sat_n16_seed_160046,160046,16,64,dpll_control,False,False,7,0
sat_n16_seed_160046,160046,16,64,random,False,False,16,16
sat_n16_seed_160046,160046,16,64,greedy_L,False,False,16,16
sat_n16_seed_160046,160046,16,64,greedy_LG,False,False,16,16
sat_n16_seed_160046,160046,16,64,lookahead_L_2,False,False,15,16
sat_n16_seed_160046,160046,16,64,lookahead_LG_2,False,False,12,16
sat_n16_seed_160047,160047,16,64,dpll_control,False,False,17,0
sat_n16_seed_160047,160047,16,64,random,False,False,16,16
sat_n16_seed_160047,160047,16,64,greedy_L,False,False,15,16
sat_n16_seed_160047,160047,16,64,greedy_LG,False,False,12,16
sat_n16_seed_160047,160047,16,64,lookahead_L_2,False,False,14,16
sat_n16_seed_160047,160047,16,64,lookahead_LG_2,False,False,15,16
