case_id,map_seed,mode,success,steps,path_len
map_42_trial_0,42,random,False,3,4
map_42_trial_1,42,random,False,7,8
map_42_trial_2,42,random,False,7,8
map_42_guided_1,42,guided_1,False,3,4
map_42_guided_2,42,guided_2,True,46,47
map_42_guided_3,42,guided_3,True,34,35
map_43_trial_0,43,random,False,58,59
map_43_trial_1,43,random,False,37,38
map_43_trial_2,43,random,False,27,28
map_43_guided_1,43,guided_1,False,16,17
map_43_guided_2,43,guided_2,False,200,201
map_43_guided_3,43,guided_3,False,200,201
map_44_trial_0,44,random,False,36,37
map_44_trial_1,44,random,False,30,31
map_44_trial_2,44,random,True,54,55
map_44_guided_1,44,guided_1,False,4,5
map_44_guided_2,44,guided_2,True,32,33
map_44_guided_3,44,guided_3,True,36,37
map_45_trial_0,45,random,True,78,79
map_45_trial_1,45,random,False,10,11
map_45_trial_2,45,random,True,48,49
map_45_guided_1,45,guided_1,False,15,16
map_45_guided_2,45,guided_2,False,200,201
map_45_guided_3,45,guided_3,True,54,55
map_46_trial_0,46,random,False,73,74
map_46_trial_1,46,random,False,66,67
map_46_trial_2,46,random,False,6,7
map_46_guided_1,46,guided_1,False,15,16
map_46_guided_2,46,guided_2,False,24,25
map_46_guided_3,46,guided_3,False,200,201
map_47_trial_0,47,random,False,48,49
map_47_trial_1,47,random,True,104,105
map_47_trial_2,47,random,True,70,71
map_47_guided_1,47,guided_1,True,28,29
map_47_guided_2,47,guided_2,True,28,29
map_47_guided_3,47,guided_3,True,28,29
map_48_trial_0,48,random,False,37,38
map_48_trial_1,48,random,False,18,19
map_48_trial_2,48,random,False,46,47
map_48_guided_1,48,guided_1,False,25,26
map_48_guided_2,48,guided_2,False,25,26
map_48_guided_3,48,guided_3,False,23,24
map_49_trial_0,49,random,False,29,30
map_49_trial_1,49,random,False,49,50
map_49_trial_2,49,random,True,78,79
map_49_guided_1,49,guided_1,False,11,12
map_49_guided_2,49,guided_2,True,24,25
map_49_guided_3,49,guided_3,True,24,25
