case_id,formula_seed,n_vars,n_clauses,mode,success,direct_verified,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
sat_n18_seed_180042,180042,18,72,dpll_control,True,True,9,18,9,3,0,9
sat_n18_seed_180042,180042,18,72,random,False,False,18,18,18,0,0,
sat_n18_seed_180042,180042,18,72,greedy_L,True,True,13,18,13,0,311,
sat_n18_seed_180042,180042,18,72,greedy_LG,False,False,13,18,7,6,158,
sat_n18_seed_180042,180042,18,72,lookahead_L_2,True,True,17,18,17,0,9280,
sat_n18_seed_180042,180042,18,72,lookahead_LG_2,True,True,8,18,8,9,5764,
sat_n18_seed_180043,180043,18,72,dpll_control,True,True,12,18,12,1,0,12
sat_n18_seed_180043,180043,18,72,random,False,False,18,18,18,0,0,
sat_n18_seed_180043,180043,18,72,greedy_L,False,False,17,18,17,0,340,
sat_n18_seed_180043,180043,18,72,greedy_LG,False,False,16,18,9,7,156,
sat_n18_seed_180043,180043,18,72,lookahead_L_2,False,False,17,18,17,0,9444,
sat_n18_seed_180043,180043,18,72,lookahead_LG_2,True,True,5,18,5,12,4968,
sat_n18_seed_180044,180044,18,72,dpll_control,False,False,21,0,21,0,0,21
sat_n18_seed_180044,180044,18,72,random,False,False,18,18,18,0,0,
sat_n18_seed_180044,180044,18,72,greedy_L,False,False,18,18,18,0,342,
sat_n18_seed_180044,180044,18,72,greedy_LG,False,False,12,18,8,4,184,
sat_n18_seed_180044,180044,18,72,lookahead_L_2,False,False,17,18,17,0,9444,
sat_n18_seed_180044,180044,18,72,lookahead_LG_2,False,False,13,18,7,6,2806,
sat_n18_seed_180045,180045,18,72,dpll_control,True,True,8,18,8,2,0,8
sat_n18_seed_180045,180045,18,72,random,False,False,18,18,18,0,0,
sat_n18_seed_180045,180045,18,72,greedy_L,False,False,18,18,18,0,342,
sat_n18_seed_180045,180045,18,72,greedy_LG,False,False,16,18,7,9,134,
sat_n18_seed_180045,180045,18,72,lookahead_L_2,False,False,17,18,17,0,9444,
sat_n18_seed_180045,180045,18,72,lookahead_LG_2,True,True,9,18,9,9,6166,
sat_n18_seed_180046,180046,18,72,dpll_control,True,True,11,18,11,2,0,11
sat_n18_seed_180046,180046,18,72,random,False,False,18,18,18,0,0,
sat_n18_seed_180046,180046,18,72,greedy_L,True,True,13,18,13,0,311,
sat_n18_seed_180046,180046,18,72,greedy_LG,False,False,18,18,7,11,118,
sat_n18_seed_180046,180046,18,72,lookahead_L_2,True,True,13,18,13,0,9044,
sat_n18_seed_180046,180046,18,72,lookahead_LG_2,True,True,3,18,3,15,2922,
sat_n20_seed_200042,200042,20,80,dpll_control,False,False,23,0,23,0,0,23
sat_n20_seed_200042,200042,20,80,random,False,False,20,20,20,0,0,
sat_n20_seed_200042,200042,20,80,greedy_L,False,False,20,20,20,0,420,
sat_n20_seed_200042,200042,20,80,greedy_LG,False,False,17,20,13,4,278,
sat_n20_seed_200042,200042,20,80,lookahead_L_2,False,False,19,20,19,0,12722,
sat_n20_seed_200042,200042,20,80,lookahead_LG_2,False,False,15,20,8,7,5810,
sat_n20_seed_200043,200043,20,80,dpll_control,True,True,6,20,6,2,0,6
sat_n20_seed_200043,200043,20,80,random,False,False,20,20,20,0,0,
sat_n20_seed_200043,200043,20,80,greedy_L,False,False,20,20,20,0,420,
sat_n20_seed_200043,200043,20,80,greedy_LG,True,True,3,20,3,16,110,
sat_n20_seed_200043,200043,20,80,lookahead_L_2,False,False,19,20,19,0,12722,
sat_n20_seed_200043,200043,20,80,lookahead_LG_2,True,True,5,20,5,11,6184,
sat_n20_seed_200044,200044,20,80,dpll_control,True,True,24,20,24,1,0,24
sat_n20_seed_200044,200044,20,80,random,False,False,20,20,20,0,0,
sat_n20_seed_200044,200044,20,80,greedy_L,False,False,19,20,19,0,418,
sat_n20_seed_200044,200044,20,80,greedy_LG,False,False,13,20,7,6,178,
sat_n20_seed_200044,200044,20,80,lookahead_L_2,False,False,19,20,19,0,12722,
sat_n20_seed_200044,200044,20,80,lookahead_LG_2,True,True,3,20,3,16,4412,
sat_n20_seed_200045,200045,20,80,dpll_control,True,True,6,20,6,2,0,6
sat_n20_seed_200045,200045,20,80,random,False,False,20,20,20,0,0,
sat_n20_seed_200045,200045,20,80,greedy_L,True,True,12,20,12,0,347,
sat_n20_seed_200045,200045,20,80,greedy_LG,True,True,4,20,4,13,115,
sat_n20_seed_200045,200045,20,80,lookahead_L_2,True,True,20,20,20,0,12564,
sat_n20_seed_200045,200045,20,80,lookahead_LG_2,True,True,6,20,6,14,6134,
sat_n20_seed_200046,200046,20,80,dpll_control,True,True,13,20,13,2,0,13
sat_n20_seed_200046,200046,20,80,random,False,False,20,20,20,0,0,
sat_n20_seed_200046,200046,20,80,greedy_L,False,False,20,20,20,0,420,
sat_n20_seed_200046,200046,20,80,greedy_LG,True,True,4,20,4,15,126,
sat_n20_seed_200046,200046,20,80,lookahead_L_2,False,False,20,20,20,0,12724,
sat_n20_seed_200046,200046,20,80,lookahead_LG_2,True,True,4,20,4,16,5516,
