case_id,map_seed,mode,success,steps,path_len
map_42_trial_0,42,random,False,38,39
map_42_trial_1,42,random,False,50,51
map_43_trial_0,43,random,True,104,105
map_43_trial_1,43,random,False,6,7
map_44_trial_0,44,random,False,37,38
map_44_trial_1,44,random,True,64,65
map_45_trial_0,45,random,False,103,104
map_45_trial_1,45,random,False,87,88
map_46_trial_0,46,random,False,47,48
map_46_trial_1,46,random,True,56,57
map_47_trial_0,47,random,True,102,103
map_47_trial_1,47,random,False,8,9
map_48_trial_0,48,random,False,12,13
map_48_trial_1,48,random,False,57,58
map_49_trial_0,49,random,True,84,85
map_49_trial_1,49,random,False,27,28
map_42_guided_1,42,guided_1,False,23,24
map_43_guided_1,43,guided_1,False,4,5
map_44_guided_1,44,guided_1,False,20,21
map_45_guided_1,45,guided_1,False,34,35
map_46_guided_1,46,guided_1,False,20,21
map_47_guided_1,47,guided_1,False,14,15
map_48_guided_1,48,guided_1,False,20,21
map_49_guided_1,49,guided_1,False,21,22
map_42_guided_2,42,guided_2,False,260,261
map_43_guided_2,43,guided_2,False,260,261
map_44_guided_2,44,guided_2,False,20,21
map_45_guided_2,45,guided_2,False,260,261
map_46_guided_2,46,guided_2,False,260,261
map_47_guided_2,47,guided_2,False,18,19
map_48_guided_2,48,guided_2,False,260,261
map_49_guided_2,49,guided_2,False,260,261
map_42_guided_3,42,guided_3,False,260,261
map_43_guided_3,43,guided_3,True,42,43
map_44_guided_3,44,guided_3,True,36,37
map_45_guided_3,45,guided_3,True,50,51
map_46_guided_3,46,guided_3,True,38,39
map_47_guided_3,47,guided_3,False,260,261
map_48_guided_3,48,guided_3,False,260,261
map_49_guided_3,49,guided_3,False,260,261
map_42_guided_4,42,guided_4,True,118,119
map_43_guided_4,43,guided_4,True,32,33
map_44_guided_4,44,guided_4,True,26,27
map_45_guided_4,45,guided_4,True,46,47
map_46_guided_4,46,guided_4,True,28,29
map_47_guided_4,47,guided_4,False,260,261
map_48_guided_4,48,guided_4,False,260,261
map_49_guided_4,49,guided_4,True,64,65
map_42_guided_5,42,guided_5,True,108,109
map_43_guided_5,43,guided_5,True,30,31
map_44_guided_5,44,guided_5,True,26,27
map_45_guided_5,45,guided_5,True,36,37
map_46_guided_5,46,guided_5,True,28,29
map_47_guided_5,47,guided_5,True,52,53
map_48_guided_5,48,guided_5,False,260,261
map_49_guided_5,49,guided_5,False,260,261
map_42_guided_6,42,guided_6,True,102,103
map_43_guided_6,43,guided_6,True,30,31
map_44_guided_6,44,guided_6,True,26,27
map_45_guided_6,45,guided_6,True,36,37
map_46_guided_6,46,guided_6,True,26,27
map_47_guided_6,47,guided_6,True,46,47
map_48_guided_6,48,guided_6,False,260,261
map_49_guided_6,49,guided_6,False,260,261
map_42_guided_7,42,guided_7,True,100,101
map_43_guided_7,43,guided_7,True,30,31
map_44_guided_7,44,guided_7,True,26,27
map_45_guided_7,45,guided_7,True,28,29
map_46_guided_7,46,guided_7,True,26,27
map_47_guided_7,47,guided_7,True,28,29
map_48_guided_7,48,guided_7,False,260,261
map_49_guided_7,49,guided_7,False,260,261
map_42_guided_8,42,guided_8,False,260,261
map_43_guided_8,43,guided_8,True,30,31
map_44_guided_8,44,guided_8,True,26,27
map_45_guided_8,45,guided_8,True,28,29
map_46_guided_8,46,guided_8,True,26,27
map_47_guided_8,47,guided_8,True,28,29
map_48_guided_8,48,guided_8,False,260,261
map_49_guided_8,49,guided_8,False,260,261
