case_id,formula_seed,n_vars,n_clauses,mode,success,direct_verified,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
sat_n22_seed_220042,220042,22,88,dpll_control,True,True,12,22,12,3,0,12
sat_n22_seed_220042,220042,22,88,random,False,False,22,22,22,0,0,
sat_n22_seed_220042,220042,22,88,greedy_L,True,True,15,22,15,0,449,
sat_n22_seed_220042,220042,22,88,greedy_LG,True,True,3,22,3,17,122,
sat_n22_seed_220042,220042,22,88,lookahead_L_2,True,True,22,22,22,0,16543,
sat_n22_seed_220042,220042,22,88,lookahead_LG_2,True,True,5,22,5,17,6902,
sat_n22_seed_220043,220043,22,88,dpll_control,True,True,12,22,12,2,0,12
sat_n22_seed_220043,220043,22,88,random,False,False,22,22,22,0,0,
sat_n22_seed_220043,220043,22,88,greedy_L,True,True,18,22,18,0,485,
sat_n22_seed_220043,220043,22,88,greedy_LG,True,True,4,22,4,18,136,
sat_n22_seed_220043,220043,22,88,lookahead_L_2,True,True,22,22,22,0,16628,
sat_n22_seed_220043,220043,22,88,lookahead_LG_2,True,True,6,22,6,14,5926,
sat_n22_seed_220044,220044,22,88,dpll_control,True,True,5,22,5,1,0,5
sat_n22_seed_220044,220044,22,88,random,False,False,22,22,22,0,0,
sat_n22_seed_220044,220044,22,88,greedy_L,False,False,22,22,22,0,506,
sat_n22_seed_220044,220044,22,88,greedy_LG,True,True,2,22,2,20,86,
sat_n22_seed_220044,220044,22,88,lookahead_L_2,False,False,21,22,21,0,16680,
sat_n22_seed_220044,220044,22,88,lookahead_LG_2,True,True,8,22,8,14,10114,
sat_n22_seed_220045,220045,22,88,dpll_control,True,True,10,22,10,2,0,10
sat_n22_seed_220045,220045,22,88,random,False,False,22,22,22,0,0,
sat_n22_seed_220045,220045,22,88,greedy_L,True,True,13,22,13,0,415,
sat_n22_seed_220045,220045,22,88,greedy_LG,True,True,3,22,3,14,122,
sat_n22_seed_220045,220045,22,88,lookahead_L_2,True,True,13,22,13,0,15036,
sat_n22_seed_220045,220045,22,88,lookahead_LG_2,True,True,7,22,7,11,8376,
sat_n24_seed_240042,240042,24,96,dpll_control,True,True,21,24,21,2,0,21
sat_n24_seed_240042,240042,24,96,random,False,False,24,24,24,0,0,
sat_n24_seed_240042,240042,24,96,greedy_L,False,False,23,24,23,0,598,
sat_n24_seed_240042,240042,24,96,greedy_LG,False,False,22,24,11,11,242,
sat_n24_seed_240042,240042,24,96,lookahead_L_2,False,False,22,24,22,0,21362,
sat_n24_seed_240042,240042,24,96,lookahead_LG_2,True,True,6,24,6,17,9376,
sat_n24_seed_240043,240043,24,96,dpll_control,True,True,9,24,9,2,0,9
sat_n24_seed_240043,240043,24,96,random,False,False,24,24,24,0,0,
sat_n24_seed_240043,240043,24,96,greedy_L,False,False,24,24,24,0,600,
sat_n24_seed_240043,240043,24,96,greedy_LG,True,True,3,24,3,21,126,
sat_n24_seed_240043,240043,24,96,lookahead_L_2,False,False,23,24,23,0,21382,
sat_n24_seed_240043,240043,24,96,lookahead_LG_2,True,True,8,24,8,15,8682,
sat_n24_seed_240044,240044,24,96,dpll_control,True,True,8,24,8,2,0,8
sat_n24_seed_240044,240044,24,96,random,False,False,24,24,24,0,0,
sat_n24_seed_240044,240044,24,96,greedy_L,False,False,24,24,24,0,600,
sat_n24_seed_240044,240044,24,96,greedy_LG,False,False,14,24,7,7,224,
sat_n24_seed_240044,240044,24,96,lookahead_L_2,False,False,23,24,23,0,21382,
sat_n24_seed_240044,240044,24,96,lookahead_LG_2,True,True,9,24,9,14,12340,
sat_n24_seed_240045,240045,24,96,dpll_control,True,True,16,24,16,3,0,16
sat_n24_seed_240045,240045,24,96,random,False,False,24,24,24,0,0,
sat_n24_seed_240045,240045,24,96,greedy_L,False,False,24,24,24,0,600,
sat_n24_seed_240045,240045,24,96,greedy_LG,True,True,2,24,2,20,94,
sat_n24_seed_240045,240045,24,96,lookahead_L_2,False,False,23,24,23,0,21382,
sat_n24_seed_240045,240045,24,96,lookahead_LG_2,True,True,5,24,5,18,6926,
