task,mode,total,success,fail,success_rate,avg_decision_steps,avg_forced_steps,avg_score_calls
clique,greedy_L,60,3,57,0.05,2.55,0.0,25.933333333333334
clique,greedy_LG,60,15,45,0.25,2.7666666666666666,1.1,27.116666666666667
clique,lookahead_LG_2,60,60,0,1.0,2.8,3.2,221.81666666666666
clique,lookahead_LG_3,60,60,0,1.0,2.8,3.2,604.4833333333333
clique,lookahead_L_2,60,48,12,0.8,5.5,0.0,322.73333333333335
clique,lookahead_L_3,60,58,2,0.9666666666666667,5.95,0.0,854.1666666666666
independent_set,greedy_L,60,39,21,0.65,5.566666666666666,0.0,42.416666666666664
independent_set,greedy_LG,60,48,12,0.8,4.133333333333334,1.65,40.3
independent_set,lookahead_LG_2,60,60,0,1.0,5.216666666666667,0.7833333333333333,709.8666666666667
independent_set,lookahead_LG_3,60,59,1,0.9833333333333333,5.566666666666666,0.4166666666666667,2644.1833333333334
independent_set,lookahead_L_2,60,57,3,0.95,5.95,0.0,717.25
independent_set,lookahead_L_3,60,59,1,0.9833333333333333,5.983333333333333,0.0,2640.016666666667
