case,seed,planted_path,greedy_L_status,greedy_L_success,greedy_L_decision_steps,greedy_L_forced_steps,greedy_L_score_calls,greedy_LG_status,greedy_LG_success,greedy_LG_decision_steps,greedy_LG_forced_steps,greedy_LG_score_calls,lookahead_L_2_status,lookahead_L_2_success,lookahead_L_2_decision_steps,lookahead_L_2_forced_steps,lookahead_L_2_score_calls,lookahead_LG_2_status,lookahead_LG_2_success,lookahead_LG_2_decision_steps,lookahead_LG_2_forced_steps,lookahead_LG_2_score_calls,lookahead_L_3_status,lookahead_L_3_success,lookahead_L_3_decision_steps,lookahead_L_3_forced_steps,lookahead_L_3_score_calls,lookahead_LG_3_status,lookahead_LG_3_success,lookahead_LG_3_decision_steps,lookahead_LG_3_forced_steps,lookahead_LG_3_score_calls,adaptive_LG_1_2_status,adaptive_LG_1_2_success,adaptive_LG_1_2_decision_steps,adaptive_LG_1_2_forced_steps,adaptive_LG_1_2_score_calls,adaptive_LG_1_3_status,adaptive_LG_1_3_success,adaptive_LG_1_3_decision_steps,adaptive_LG_1_3_forced_steps,adaptive_LG_1_3_score_calls,adaptive_LG_1_4_status,adaptive_LG_1_4_success,adaptive_LG_1_4_decision_steps,adaptive_LG_1_4_forced_steps,adaptive_LG_1_4_score_calls
0,43,2 18 7 21 19 16 23 10 13 17 12 5 22 6 8 0 15 20 3 11 14 4 9 1,SAT_FOUND,True,24,0,51,SAT_FOUND,True,6,18,34,FAILED_TO_FIND,False,8,0,175,FAILED_TO_FIND,False,4,8,160,FAILED_TO_FIND,False,17,0,467,FAILED_TO_FIND,False,4,5,338,SAT_FOUND,True,24,0,51,SAT_FOUND,True,24,0,51,SAT_FOUND,True,24,0,51
1,44,11 10 18 21 14 6 19 4 8 2 23 15 22 1 20 0 9 7 12 5 3 17 16 13,FAILED_TO_FIND,False,17,0,47,FAILED_TO_FIND,False,8,9,38,FAILED_TO_FIND,False,23,0,254,FAILED_TO_FIND,False,8,13,199,FAILED_TO_FIND,False,19,0,535,FAILED_TO_FIND,False,8,8,441,FAILED_TO_FIND,False,17,0,47,FAILED_TO_FIND,False,17,0,47,FAILED_TO_FIND,False,17,0,47
2,45,20 3 5 18 6 21 14 17 22 11 12 4 1 16 7 19 0 10 9 2 23 15 13 8,FAILED_TO_FIND,False,21,0,51,FAILED_TO_FIND,False,4,8,31,FAILED_TO_FIND,False,21,0,241,FAILED_TO_FIND,False,3,5,158,FAILED_TO_FIND,False,21,0,535,FAILED_TO_FIND,False,5,5,395,FAILED_TO_FIND,False,12,0,39,FAILED_TO_FIND,False,21,0,51,FAILED_TO_FIND,False,21,0,51
3,46,13 8 3 11 6 19 17 23 9 14 10 5 22 15 0 21 4 16 7 20 18 1 12 2,SAT_FOUND,True,24,0,50,SAT_FOUND,True,5,19,32,FAILED_TO_FIND,False,13,0,201,FAILED_TO_FIND,False,4,6,164,FAILED_TO_FIND,False,14,0,441,FAILED_TO_FIND,False,4,6,288,SAT_FOUND,True,24,0,50,SAT_FOUND,True,24,0,50,SAT_FOUND,True,24,0,50
4,47,5 23 16 7 4 3 22 21 1 15 20 19 0 9 6 12 8 10 18 14 17 13 2 11,FAILED_TO_FIND,False,17,0,49,SAT_FOUND,True,7,17,38,FAILED_TO_FIND,False,18,0,257,FAILED_TO_FIND,False,5,4,199,FAILED_TO_FIND,False,17,0,593,FAILED_TO_FIND,False,7,11,502,SAT_FOUND,True,24,0,54,FAILED_TO_FIND,False,17,0,49,FAILED_TO_FIND,False,17,0,49
5,48,15 0 18 11 5 21 19 8 3 7 1 22 12 14 2 13 6 16 9 20 23 4 10 17,SAT_FOUND,True,24,0,53,FAILED_TO_FIND,False,6,14,37,FAILED_TO_FIND,False,9,0,210,FAILED_TO_FIND,False,4,5,178,FAILED_TO_FIND,False,9,0,494,FAILED_TO_FIND,False,5,6,422,FAILED_TO_FIND,False,20,0,51,FAILED_TO_FIND,False,21,0,52,FAILED_TO_FIND,False,21,0,52
6,49,19 9 15 5 21 14 6 20 8 0 7 23 4 22 12 18 1 16 17 10 3 13 11 2,SAT_FOUND,True,24,0,52,FAILED_TO_FIND,False,7,11,37,FAILED_TO_FIND,False,16,0,233,FAILED_TO_FIND,False,7,10,191,FAILED_TO_FIND,False,11,0,443,FAILED_TO_FIND,False,6,5,384,FAILED_TO_FIND,False,22,0,52,FAILED_TO_FIND,False,22,0,52,FAILED_TO_FIND,False,22,0,52
7,50,14 6 4 0 19 12 13 9 21 5 16 1 22 18 3 17 2 10 23 7 20 11 8 15,SAT_FOUND,True,24,0,58,SAT_FOUND,True,13,11,48,FAILED_TO_FIND,False,18,0,303,FAILED_TO_FIND,False,9,5,256,FAILED_TO_FIND,False,14,0,754,FAILED_TO_FIND,False,9,3,675,SAT_FOUND,True,24,0,58,SAT_FOUND,True,24,0,58,SAT_FOUND,True,24,0,58
8,51,1 13 4 0 6 2 3 9 20 10 14 15 11 18 22 12 8 21 19 23 5 17 16 7,SAT_FOUND,True,24,0,53,SAT_FOUND,True,7,17,37,FAILED_TO_FIND,False,18,0,236,FAILED_TO_FIND,False,6,12,195,FAILED_TO_FIND,False,22,0,561,FAILED_TO_FIND,False,7,9,446,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53
9,52,21 14 10 19 17 23 3 18 9 0 7 20 2 6 12 5 4 22 13 11 15 16 1 8,SAT_FOUND,True,24,0,52,SAT_FOUND,True,7,17,36,FAILED_TO_FIND,False,14,0,214,FAILED_TO_FIND,False,5,6,170,FAILED_TO_FIND,False,13,0,466,FAILED_TO_FIND,False,6,8,353,SAT_FOUND,True,24,0,52,SAT_FOUND,True,24,0,52,SAT_FOUND,True,24,0,52
10,53,9 17 22 3 1 7 8 10 18 4 12 5 2 23 13 0 21 11 20 15 16 14 6 19,SAT_FOUND,True,24,0,53,SAT_FOUND,True,7,17,37,FAILED_TO_FIND,False,19,0,252,FAILED_TO_FIND,False,7,10,202,FAILED_TO_FIND,False,19,0,560,FAILED_TO_FIND,False,6,6,439,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53
11,54,18 1 2 8 13 23 21 16 0 10 3 6 11 20 5 22 7 12 19 15 9 17 14 4,SAT_FOUND,True,24,0,53,SAT_FOUND,True,7,17,37,FAILED_TO_FIND,False,21,0,251,FAILED_TO_FIND,False,6,8,189,FAILED_TO_FIND,False,16,0,541,FAILED_TO_FIND,False,7,7,450,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53
12,55,21 1 13 0 3 18 16 12 17 22 8 7 10 15 14 11 19 20 5 23 9 4 6 2,SAT_FOUND,True,24,0,52,FAILED_TO_FIND,False,8,6,38,FAILED_TO_FIND,False,14,0,220,FAILED_TO_FIND,False,3,3,153,FAILED_TO_FIND,False,18,0,521,FAILED_TO_FIND,False,5,11,383,FAILED_TO_FIND,False,14,0,44,FAILED_TO_FIND,False,23,0,53,FAILED_TO_FIND,False,23,0,53
13,56,10 8 2 21 11 12 6 22 3 4 19 14 18 5 1 7 13 23 9 16 20 15 0 17,SAT_FOUND,True,24,0,57,SAT_FOUND,True,9,15,43,FAILED_TO_FIND,False,16,0,284,FAILED_TO_FIND,False,8,10,248,FAILED_TO_FIND,False,16,0,727,FAILED_TO_FIND,False,6,6,565,SAT_FOUND,True,24,0,57,SAT_FOUND,True,24,0,57,SAT_FOUND,True,24,0,57
14,57,14 23 9 21 12 22 3 5 8 2 20 13 17 6 4 15 10 16 7 0 19 18 11 1,SAT_FOUND,True,24,0,55,SAT_FOUND,True,9,15,41,FAILED_TO_FIND,False,18,0,271,FAILED_TO_FIND,False,4,3,188,FAILED_TO_FIND,False,10,0,547,FAILED_TO_FIND,False,7,9,504,SAT_FOUND,True,24,0,55,SAT_FOUND,True,24,0,55,SAT_FOUND,True,24,0,55
15,58,2 3 23 16 0 10 8 11 17 9 7 13 15 4 5 12 14 19 1 21 20 22 6 18,SAT_FOUND,True,24,0,50,SAT_FOUND,True,4,20,31,FAILED_TO_FIND,False,19,0,216,FAILED_TO_FIND,False,4,8,158,FAILED_TO_FIND,False,16,0,435,FAILED_TO_FIND,False,6,6,318,SAT_FOUND,True,24,0,50,SAT_FOUND,True,24,0,50,SAT_FOUND,True,24,0,50
16,59,3 15 11 1 10 17 5 22 18 8 12 6 23 13 21 16 19 9 4 0 14 20 2 7,SAT_FOUND,True,24,0,56,SAT_FOUND,True,9,15,42,FAILED_TO_FIND,False,16,0,270,FAILED_TO_FIND,False,8,10,241,FAILED_TO_FIND,False,10,0,624,FAILED_TO_FIND,False,7,5,546,SAT_FOUND,True,24,0,56,SAT_FOUND,True,24,0,56,SAT_FOUND,True,24,0,56
17,60,5 20 19 3 21 11 13 6 22 2 17 1 12 0 16 10 14 15 7 8 4 18 23 9,SAT_FOUND,True,24,0,55,SAT_FOUND,True,9,15,41,FAILED_TO_FIND,False,6,0,191,FAILED_TO_FIND,False,6,7,206,FAILED_TO_FIND,False,16,0,640,FAILED_TO_FIND,False,8,8,496,SAT_FOUND,True,24,0,55,SAT_FOUND,True,24,0,55,SAT_FOUND,True,24,0,55
18,61,12 3 8 11 4 16 21 18 2 13 7 20 1 14 22 23 0 19 9 10 6 17 5 15,SAT_FOUND,True,24,0,51,SAT_FOUND,True,5,19,33,FAILED_TO_FIND,False,14,0,215,FAILED_TO_FIND,False,6,9,179,FAILED_TO_FIND,False,8,0,399,FAILED_TO_FIND,False,6,4,341,SAT_FOUND,True,24,0,51,SAT_FOUND,True,24,0,51,SAT_FOUND,True,24,0,51
19,62,23 15 6 17 8 12 3 20 13 1 19 10 4 0 21 16 22 11 9 14 7 2 5 18,FAILED_TO_FIND,False,23,0,57,FAILED_TO_FIND,False,9,13,43,FAILED_TO_FIND,False,13,0,257,FAILED_TO_FIND,False,6,5,214,FAILED_TO_FIND,False,19,0,690,FAILED_TO_FIND,False,7,6,540,FAILED_TO_FIND,False,22,0,56,FAILED_TO_FIND,False,23,0,57,FAILED_TO_FIND,False,23,0,57
20,63,21 20 7 6 19 11 5 13 0 17 22 1 4 3 10 16 18 12 2 15 8 9 23 14,SAT_FOUND,True,24,0,51,FAILED_TO_FIND,False,5,10,33,FAILED_TO_FIND,False,17,0,219,FAILED_TO_FIND,False,5,9,165,FAILED_TO_FIND,False,21,0,483,FAILED_TO_FIND,False,5,10,351,FAILED_TO_FIND,False,16,0,44,FAILED_TO_FIND,False,16,0,44,SAT_FOUND,True,24,0,51
21,64,9 7 5 4 18 23 14 16 1 2 13 22 10 21 11 8 6 0 17 12 19 20 3 15,SAT_FOUND,True,24,0,57,SAT_FOUND,True,10,14,44,FAILED_TO_FIND,False,19,0,299,FAILED_TO_FIND,False,9,4,250,FAILED_TO_FIND,False,21,0,761,FAILED_TO_FIND,False,10,6,641,SAT_FOUND,True,24,0,57,SAT_FOUND,True,24,0,57,SAT_FOUND,True,24,0,57
22,65,11 4 23 0 12 21 2 19 15 1 3 6 10 5 8 17 20 18 14 7 16 22 9 13,FAILED_TO_FIND,False,21,0,52,FAILED_TO_FIND,False,6,10,36,FAILED_TO_FIND,False,20,0,248,FAILED_TO_FIND,False,7,11,200,FAILED_TO_FIND,False,13,0,523,FAILED_TO_FIND,False,7,8,432,FAILED_TO_FIND,False,19,0,49,FAILED_TO_FIND,False,21,0,52,FAILED_TO_FIND,False,21,0,52
23,66,10 4 12 0 16 21 18 6 11 5 1 19 17 20 23 15 3 8 22 14 7 13 9 2,FAILED_TO_FIND,False,14,0,45,FAILED_TO_FIND,False,8,14,40,FAILED_TO_FIND,False,21,0,265,FAILED_TO_FIND,False,7,7,211,FAILED_TO_FIND,False,15,0,599,FAILED_TO_FIND,False,7,7,460,FAILED_TO_FIND,False,22,0,54,FAILED_TO_FIND,False,14,0,45,FAILED_TO_FIND,False,14,0,45
24,67,16 5 9 7 6 17 1 11 4 23 12 0 10 22 20 18 15 19 8 21 14 13 3 2,SAT_FOUND,True,24,0,58,SAT_FOUND,True,10,14,45,FAILED_TO_FIND,False,18,0,306,FAILED_TO_FIND,False,9,5,253,FAILED_TO_FIND,False,15,0,756,FAILED_TO_FIND,False,8,2,608,SAT_FOUND,True,24,0,58,SAT_FOUND,True,24,0,58,SAT_FOUND,True,24,0,58
25,68,20 1 12 6 0 9 22 2 21 8 17 5 10 11 4 15 13 7 18 19 3 16 14 23,FAILED_TO_FIND,False,22,0,52,FAILED_TO_FIND,False,6,7,35,FAILED_TO_FIND,False,19,0,234,FAILED_TO_FIND,False,7,13,186,FAILED_TO_FIND,False,18,0,506,FAILED_TO_FIND,False,7,11,417,FAILED_TO_FIND,False,13,0,42,FAILED_TO_FIND,False,21,0,52,FAILED_TO_FIND,False,22,0,52
26,69,4 19 15 0 12 23 22 18 17 20 8 7 9 6 16 14 13 10 11 2 5 3 1 21,SAT_FOUND,True,24,0,51,SAT_FOUND,True,6,18,34,FAILED_TO_FIND,False,21,0,233,FAILED_TO_FIND,False,5,13,176,FAILED_TO_FIND,False,21,0,502,FAILED_TO_FIND,False,5,14,364,SAT_FOUND,True,24,0,51,SAT_FOUND,True,24,0,51,SAT_FOUND,True,24,0,51
27,70,8 7 0 16 13 2 22 5 1 20 17 12 15 18 11 6 19 23 10 4 21 14 9 3,SAT_FOUND,True,24,0,53,SAT_FOUND,True,5,19,35,FAILED_TO_FIND,False,10,0,196,FAILED_TO_FIND,False,6,13,196,FAILED_TO_FIND,False,9,0,440,FAILED_TO_FIND,False,4,6,389,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53,SAT_FOUND,True,24,0,53
28,71,18 11 7 15 1 23 17 5 12 13 14 9 20 22 3 2 21 6 4 8 0 19 16 10,FAILED_TO_FIND,False,23,0,55,FAILED_TO_FIND,False,8,12,40,FAILED_TO_FIND,False,16,0,260,FAILED_TO_FIND,False,6,5,206,FAILED_TO_FIND,False,13,0,602,FAILED_TO_FIND,False,7,7,457,FAILED_TO_FIND,False,23,0,55,FAILED_TO_FIND,False,23,0,55,FAILED_TO_FIND,False,23,0,55
29,72,13 1 16 21 12 8 22 18 7 14 0 15 23 6 3 10 4 9 20 17 11 5 19 2,SAT_FOUND,True,24,0,55,SAT_FOUND,True,8,16,40,FAILED_TO_FIND,False,23,0,280,SAT_FOUND,True,7,17,223,FAILED_TO_FIND,False,21,0,669,SAT_FOUND,True,8,16,548,SAT_FOUND,True,24,0,55,SAT_FOUND,True,24,0,55,SAT_FOUND,True,24,0,55
