task,n,seed,level,edge_or_state_count,chosen_unit_size,affected,dangerous,danger_rate,IG,forced,useful_IG,D,runtime_seconds
VertexCover,1000,1000042,4,2000,32,105,20,0.19047619047619047,52,20,42.095238095238095,23.755656108597286,0.2179490000125952
VertexCover,1000,1000042,5,2000,40,130,39,0.3,77,37,53.9,18.55287569573284,0.21795460005523637
SubsetSum,1000,1000042,4,15864,32,1000,0,0.0,32,0,32.0,31.25,0.21795650001149625
SubsetSum,1000,1000042,5,15864,39,1000,0,0.0,39,0,39.0,25.641025641025642,0.2179578000213951
VertexCover,1000,1000043,4,2000,29,109,35,0.3211009174311927,63,34,42.77064220183486,23.380523380523382,0.4322379000368528
VertexCover,1000,1000043,5,2000,40,129,27,0.20930232558139536,66,26,52.18604651162791,19.162210338680925,0.43224020005436614
SubsetSum,1000,1000043,4,15864,32,1000,0,0.0,32,0,32.0,31.25,0.4322415000060573
SubsetSum,1000,1000043,5,15864,39,1000,0,0.0,39,0,39.0,25.641025641025642,0.43224280001595616
VertexCover,1000,1000044,4,2000,32,118,15,0.1271186440677966,47,15,41.02542372881356,24.375129105556706,0.651652800035663
VertexCover,1000,1000044,5,2000,40,129,31,0.24031007751937986,70,30,53.17829457364341,18.80466472303207,0.6516556999995373
SubsetSum,1000,1000044,4,15864,32,1000,0,0.0,32,0,32.0,31.25,0.6516567000071518
SubsetSum,1000,1000044,5,15864,39,1000,0,0.0,39,0,39.0,25.641025641025642,0.6516579000162892
VertexCover,5000,5000042,4,10000,32,111,28,0.25225225225225223,60,28,44.86486486486486,111.44578313253012,2.1892594000091776
VertexCover,5000,5000042,5,10000,38,152,57,0.375,95,57,59.375,84.21052631578948,2.189262200030498
SubsetSum,5000,5000042,4,79864,32,5000,0,0.0,32,0,32.0,156.25,2.1892636000411585
SubsetSum,5000,5000042,5,79864,40,5000,0,0.0,40,0,40.0,125.0,2.189264800050296
VertexCover,5000,5000043,4,10000,32,146,23,0.15753424657534246,55,23,46.33561643835617,107.90835181079082,3.8400915000238456
VertexCover,5000,5000043,5,10000,40,138,46,0.3333333333333333,85,45,56.66666666666667,88.23529411764706,3.840095999999903
SubsetSum,5000,5000043,4,79864,32,5000,0,0.0,32,0,32.0,156.25,3.8400976000120863
SubsetSum,5000,5000043,5,79864,40,5000,0,0.0,40,0,40.0,125.0,3.8400990000227466
VertexCover,5000,5000044,4,10000,32,107,26,0.24299065420560748,58,26,43.90654205607476,113.87824606215412,5.3916655000066385
VertexCover,5000,5000044,5,10000,40,144,40,0.2777777777777778,80,40,57.77777777777778,86.53846153846153,5.391668000025675
SubsetSum,5000,5000044,4,79864,32,5000,0,0.0,32,0,32.0,156.25,5.391669400036335
SubsetSum,5000,5000044,5,79864,40,5000,0,0.0,40,0,40.0,125.0,5.391670600045472
