"task","pressure","danger_G4","danger_G5","IG_G4","IG_G5","forced_G4","forced_G5","freedom_G4","freedom_G5","pred_G4","pred_G5","actual_avg","pred_avg"
"Clique","0,08","0,301557341734154","0,282501539583399","967,666666666667","967,666666666667","29,6875","27,1262254901961","0,698442658265846","0,717498460416601","3,40042231368979","3,02453337384956","0,292029440658776","3,21247784376968"
"ExactCover","1,5","0","0","32","39","0","0","12,864","11,96","0","0","0","0"
"GraphColoring","4.0","0,0398058252427184","0,0528082260659694","35","44","0,09375","0,1","1,93954909111174","1,91787759679997","0,1933439074672","0,208563883674021","0,0463070256543439","0,200953895570611"
"HamiltonianPath","2","0,829002093866503","0,671410518129678","32","39","2,82291666666667","2,27004504504505","3,90564738292011","3,88693752163378","1,44555633926997","1,16803783565365","0,750206305998091","1,30679708746181"
"IndependentSet","2","0,20687748020085","0,240735209470048","27","35,6666666666667","0,6875","0,745614035087719","0,79312251979915","0,759264790529952","1,73365396351147","1,96404217444956","0,223806344835449","1,84884806898052"
"NQueens","1","0","0","32","40","0","0","936,661157024793","921,245833333333","0","0","0","0"
"SAT","4.27","0,035197112288156","0,040609384650457","51,6666666666667","67","0,614583333333333","0,675","1,89759744623656","1,88173524318523","1,38294391075302","1,53169794233178","0,0379032484693065","1,4573209265424"
"SetCover","1,5","0","0","32","40","0","0","13,156","11,9","0","0","0","0"
"SubsetSum","0,0983482028457521","0","0","32","39","0","0","2","2","0","0","0","0"
"VertexCover","4","0,212898583991727","0,249870801033592","54","71","0,755387931034483","0,775","1","1","3,02155172413793","3,1","0,231384692512659","3,06077586206897"
