task,n,seed,level,edge_or_state_count,chosen_unit_size,affected,dangerous,danger_rate,avg_freedom,IG,forced,avg_forced_per_assignment,useful_IG,D,runtime_seconds
VertexCover,1000,1000042,4,2000,32,105,20,0.19047619047619047,1.0,52,20,0.625,42.095238095238095,23.755656108597286,0.4534711000160314
VertexCover,1000,1000042,5,2000,40,130,39,0.3,1.0,77,37,0.925,53.9,18.55287569573284,0.45348299999022856
SubsetSum,1000,1000042,4,15864,32,1000,0,0.0,2.0,32,0,0.0,32.0,31.25,0.4534884999739006
SubsetSum,1000,1000042,5,15864,39,1000,0,0.0,2.0,39,0,0.0,39.0,25.641025641025642,0.45349179999902844
VertexCover,1000,1000043,4,2000,29,109,35,0.3211009174311927,1.0,63,34,1.1724137931034482,42.77064220183486,23.380523380523382,0.8159893999691121
VertexCover,1000,1000043,5,2000,40,129,27,0.20930232558139536,1.0,66,26,0.65,52.18604651162791,19.162210338680925,0.815991599985864
SubsetSum,1000,1000043,4,15864,32,1000,0,0.0,2.0,32,0,0.0,32.0,31.25,0.8159930999972858
SubsetSum,1000,1000043,5,15864,39,1000,0,0.0,2.0,39,0,0.0,39.0,25.641025641025642,0.8159942000056617
VertexCover,1000,1000044,4,2000,32,118,15,0.1271186440677966,1.0,47,15,0.46875,41.02542372881356,24.375129105556706,1.083815899968613
VertexCover,1000,1000044,5,2000,40,129,31,0.24031007751937986,1.0,70,30,0.75,53.17829457364341,18.80466472303207,1.0838195999967866
SubsetSum,1000,1000044,4,15864,32,1000,0,0.0,2.0,32,0,0.0,32.0,31.25,1.0838219000143
SubsetSum,1000,1000044,5,15864,39,1000,0,0.0,2.0,39,0,0.0,39.0,25.641025641025642,1.0838245999766514
