task,n,seed,level,constraint_pressure,avg_degree_or_density,danger_rate,IG,forced,avg_forced_per_assignment,avg_freedom,useful_IG
IndependentSet,1000,1000042,4,2.0,2.0,0.2636363636363636,35,29,0.90625,0.7363636363636363,25.772727272727273
IndependentSet,1000,1000042,5,2.0,2.0,0.2595419847328244,39,34,0.85,0.7404580152671756,28.87786259541985
Clique,1000,1000042,4,0.08,41.066,0.30149158997143766,968,950,29.6875,0.6985084100285623,676.1561409076484
Clique,1000,1000042,5,0.08,41.066,0.30149158997143766,968,950,29.6875,0.6985084100285623,676.1561409076484
HamiltonianPath,1000,1000042,4,2.0,2.0,0.7383177570093458,32,79,2.46875,3.9111570247933884,8.373831775700936
HamiltonianPath,1000,1000042,5,2.0,2.0,0.5851851851851851,37,79,2.135135135135135,3.87331256490135,15.34814814814815
SetCover,1000,1000042,4,1.5,1.5,0.0,32,0,0.0,13.5,32.0
SetCover,1000,1000042,5,1.5,1.5,0.0,40,0,0.0,11.88,40.0
ExactCover,1000,1000119,4,1.5,1.5,0.0,32,0,0.0,12.864,32.0
ExactCover,1000,1000119,5,1.5,1.5,0.0,37,0,0.0,12.468,37.0
NQueens,1000,1000042,4,1.0,1.0,0.0,32,0,0.0,936.6611570247934,32.0
NQueens,1000,1000042,5,1.0,1.0,0.0,40,0,0.0,921.23125,40.0
IndependentSet,1000,1000043,4,2.0,2.0,0.18867924528301888,25,20,0.625,0.8113207547169812,20.28301886792453
IndependentSet,1000,1000043,5,2.0,2.0,0.21487603305785125,33,26,0.65,0.7851239669421488,25.90909090909091
Clique,1000,1000043,4,0.08,41.103,0.3092447916666667,966,950,29.6875,0.6907552083333333,667.2695312499999
Clique,1000,1000043,5,0.08,41.103,0.26243093922651933,966,950,23.75,0.7375690607734806,712.4917127071823
HamiltonianPath,1000,1000043,4,2.0,2.0,0.97,32,97,3.03125,3.925619834710744,0.9600000000000009
HamiltonianPath,1000,1000043,5,2.0,2.0,0.7401574803149606,40,94,2.35,3.902083333333333,10.393700787401574
SetCover,1000,1000043,4,1.5,1.5,0.0,32,0,0.0,13.02,32.0
SetCover,1000,1000043,5,1.5,1.5,0.0,40,0,0.0,11.832,40.0
ExactCover,1000,1000120,4,1.5,1.5,0.0,32,0,0.0,12.684,32.0
ExactCover,1000,1000120,5,1.5,1.5,0.0,40,0,0.0,11.868,40.0
NQueens,1000,1000043,4,1.0,1.0,0.0,32,0,0.0,936.6611570247934,32.0
NQueens,1000,1000043,5,1.0,1.0,0.0,40,0,0.0,921.2552083333334,40.0
IndependentSet,1000,1000044,4,2.0,2.0,0.16831683168316833,21,17,0.53125,0.8316831683168316,17.465346534653463
IndependentSet,1000,1000044,5,2.0,2.0,0.24778761061946902,35,28,0.7368421052631579,0.752212389380531,26.327433628318587
Clique,1000,1000044,4,0.08,41.084,0.2939356435643564,969,950,29.6875,0.7060643564356436,684.1763613861386
Clique,1000,1000044,5,0.08,41.084,0.2835820895522388,969,950,27.941176470588236,0.7164179104477613,694.2089552238807
HamiltonianPath,1000,1000044,4,2.0,2.0,0.7786885245901639,32,95,2.96875,3.8801652892561984,7.081967213114755
HamiltonianPath,1000,1000044,5,2.0,2.0,0.6888888888888889,40,93,2.325,3.8854166666666665,12.444444444444445
SetCover,1000,1000044,4,1.5,1.5,0.0,32,0,0.0,12.948,32.0
SetCover,1000,1000044,5,1.5,1.5,0.0,40,0,0.0,11.988,40.0
ExactCover,1000,1000121,4,1.5,1.5,0.0,32,0,0.0,13.044,32.0
ExactCover,1000,1000121,5,1.5,1.5,0.0,40,0,0.0,11.544,40.0
NQueens,1000,1000044,4,1.0,1.0,0.0,32,0,0.0,936.6611570247934,32.0
NQueens,1000,1000044,5,1.0,1.0,0.0,40,0,0.0,921.2510416666667,40.0
