task,constraint_pressure,avg_degree_or_density,level,danger_rate,IG,avg_forced_per_assignment,avg_freedom
Clique,0.08,41.08433333333334,4,0.30155734173415355,967.6666666666666,29.6875,0.6984426582658464
Clique,0.08,41.08433333333334,5,0.2825015395833986,967.6666666666666,27.126225490196077,0.7174984604166014
ExactCover,1.5,1.5,4,0.0,32.0,0.0,12.863999999999999
ExactCover,1.5,1.5,5,0.0,39.0,0.0,11.96
HamiltonianPath,2.0,2.0,4,0.8290020938665031,32.0,2.8229166666666665,3.9056473829201104
HamiltonianPath,2.0,2.0,5,0.6714105181296782,39.0,2.270045045045045,3.886937521633783
IndependentSet,2.0,2.0,4,0.20687748020085028,27.0,0.6875,0.7931225197991497
IndependentSet,2.0,2.0,5,0.24073520947004823,35.666666666666664,0.7456140350877193,0.7592647905299518
NQueens,1.0,1.0,4,0.0,32.0,0.0,936.6611570247934
NQueens,1.0,1.0,5,0.0,40.0,0.0,921.2458333333334
SetCover,1.5,1.5,4,0.0,32.0,0.0,13.156
SetCover,1.5,1.5,5,0.0,40.0,0.0,11.9
