task,n,seed,level,constraint_pressure,avg_degree_or_density,danger_rate,IG,forced,avg_forced_per_assignment,avg_freedom,useful_IG
IndependentSet,100,100042,4,2.0,2.0,0.265625,22,17,0.8095238095238095,0.734375,16.15625
IndependentSet,100,100042,5,2.0,2.0,0.16666666666666666,22,17,0.4358974358974359,0.8333333333333334,18.333333333333336
Clique,100,100042,4,0.08,4.05,0.48223350253807107,98,95,2.96875,0.5177664974619289,50.74111675126903
Clique,100,100042,5,0.08,4.05,0.41232227488151657,88,87,2.3513513513513513,0.5876777251184835,51.715639810426545
HamiltonianPath,100,100042,4,2.0,2.0,0.07936507936507936,24,5,0.20833333333333334,3.6052631578947367,22.095238095238095
HamiltonianPath,100,100042,5,2.0,2.0,0.08421052631578947,38,8,0.21052631578947367,3.3870967741935485,34.8
SetCover,100,100042,4,1.5,1.5,0.08053691275167785,32,12,0.375,0.12,29.42281879194631
SetCover,100,100042,5,1.5,1.5,0.08053691275167785,32,12,0.375,0.12,29.42281879194631
ExactCover,100,100119,4,1.5,1.5,0.16783216783216784,32,24,0.75,0.84,26.62937062937063
ExactCover,100,100119,5,1.5,1.5,0.10810810810810811,36,16,0.4444444444444444,0.24,32.108108108108105
NQueens,100,100042,4,1.0,1.0,0.0,32,0,0.0,47.911764705882355,32.0
NQueens,100,100042,5,1.0,1.0,0.0,36,0,0.0,43.078125,36.0
