task,constraint_pressure,avg_degree_or_density,level,danger_rate,IG,avg_forced_per_assignment,avg_freedom
Clique,0.08,4.05,4,0.48223350253807107,98.0,2.96875,0.5177664974619289
Clique,0.08,4.05,5,0.41232227488151657,88.0,2.3513513513513513,0.5876777251184835
ExactCover,1.5,1.5,4,0.16783216783216784,32.0,0.75,0.84
ExactCover,1.5,1.5,5,0.10810810810810811,36.0,0.4444444444444444,0.24
HamiltonianPath,2.0,2.0,4,0.07936507936507936,24.0,0.20833333333333334,3.6052631578947367
HamiltonianPath,2.0,2.0,5,0.08421052631578947,38.0,0.21052631578947367,3.3870967741935485
IndependentSet,2.0,2.0,4,0.265625,22.0,0.8095238095238095,0.734375
IndependentSet,2.0,2.0,5,0.16666666666666666,22.0,0.4358974358974359,0.8333333333333334
NQueens,1.0,1.0,4,0.0,32.0,0.0,47.911764705882355
NQueens,1.0,1.0,5,0.0,36.0,0.0,43.078125
SetCover,1.5,1.5,4,0.08053691275167785,32.0,0.375,0.12
SetCover,1.5,1.5,5,0.08053691275167785,32.0,0.375,0.12
