"task","constraint_pressure","avg_degree_or_density","danger_G4","danger_G5","IG_G4","IG_G5"
"Clique","0,08","41,0843333333333","0,301557341734154","0,282501539583399","967,666666666667","967,666666666667"
"ExactCover","1,5","1,5","0","0","32","39"
"GraphColoring","4","4","0,05","0,0564850663716814","35","44,5"
"HamiltonianPath","2","2","0,829002093866503","0,671410518129678","32","39"
"IndependentSet","2","2","0,20687748020085","0,240735209470048","27","35,6666666666667"
"NQueens","1","1","0","0","32","40"
"SAT","4,27","4,27","0,035197112288156","0,040609384650457","51,6666666666667","67"
"SetCover","1,5","1,5","0","0","32","40"
"SubsetSum","target/sum","target/sum","0","0","32","39"
"VertexCover","4","4","0,212898583991727","0,249870801033592","54","71"
