task,n,seed,level,constraint_pressure,avg_degree_or_density,danger_rate,IG,useful_IG
IndependentSet,1000,1000042,4,2.0,2.0,0.2636363636363636,35,25.772727272727273
IndependentSet,1000,1000042,5,2.0,2.0,0.2595419847328244,39,28.87786259541985
Clique,1000,1000042,4,0.08,41.066,0.30149158997143766,968,676.1561409076484
Clique,1000,1000042,5,0.08,41.066,0.30149158997143766,968,676.1561409076484
HamiltonianPath,1000,1000042,4,2.0,2.0,0.7383177570093458,32,8.373831775700936
HamiltonianPath,1000,1000042,5,2.0,2.0,0.5851851851851851,37,15.34814814814815
SetCover,1000,1000042,4,1.5,1.5,0.0,32,32.0
SetCover,1000,1000042,5,1.5,1.5,0.0,40,40.0
ExactCover,1000,1000119,4,1.5,1.5,0.0,32,32.0
ExactCover,1000,1000119,5,1.5,1.5,0.0,37,37.0
NQueens,1000,1000042,4,1.0,1.0,0.0,32,32.0
NQueens,1000,1000042,5,1.0,1.0,0.0,40,40.0
IndependentSet,1000,1000043,4,2.0,2.0,0.18867924528301888,25,20.28301886792453
IndependentSet,1000,1000043,5,2.0,2.0,0.21487603305785125,33,25.90909090909091
Clique,1000,1000043,4,0.08,41.103,0.3092447916666667,966,667.2695312499999
Clique,1000,1000043,5,0.08,41.103,0.26243093922651933,966,712.4917127071823
HamiltonianPath,1000,1000043,4,2.0,2.0,0.97,32,0.9600000000000009
HamiltonianPath,1000,1000043,5,2.0,2.0,0.7401574803149606,40,10.393700787401574
SetCover,1000,1000043,4,1.5,1.5,0.0,32,32.0
SetCover,1000,1000043,5,1.5,1.5,0.0,40,40.0
ExactCover,1000,1000120,4,1.5,1.5,0.0,32,32.0
ExactCover,1000,1000120,5,1.5,1.5,0.0,40,40.0
NQueens,1000,1000043,4,1.0,1.0,0.0,32,32.0
NQueens,1000,1000043,5,1.0,1.0,0.0,40,40.0
IndependentSet,1000,1000044,4,2.0,2.0,0.16831683168316833,21,17.465346534653463
IndependentSet,1000,1000044,5,2.0,2.0,0.24778761061946902,35,26.327433628318587
Clique,1000,1000044,4,0.08,41.084,0.2939356435643564,969,684.1763613861386
Clique,1000,1000044,5,0.08,41.084,0.2835820895522388,969,694.2089552238807
HamiltonianPath,1000,1000044,4,2.0,2.0,0.7786885245901639,32,7.081967213114755
HamiltonianPath,1000,1000044,5,2.0,2.0,0.6888888888888889,40,12.444444444444445
SetCover,1000,1000044,4,1.5,1.5,0.0,32,32.0
SetCover,1000,1000044,5,1.5,1.5,0.0,40,40.0
ExactCover,1000,1000121,4,1.5,1.5,0.0,32,32.0
ExactCover,1000,1000121,5,1.5,1.5,0.0,40,40.0
NQueens,1000,1000044,4,1.0,1.0,0.0,32,32.0
NQueens,1000,1000044,5,1.0,1.0,0.0,40,40.0
