task,constraint_pressure,avg_degree_or_density,level,danger_rate,IG
Clique,0.08,41.08433333333334,4,0.30155734173415355,967.6666666666666
Clique,0.08,41.08433333333334,5,0.2825015395833986,967.6666666666666
ExactCover,1.5,1.5,4,0.0,32.0
ExactCover,1.5,1.5,5,0.0,39.0
HamiltonianPath,2.0,2.0,4,0.8290020938665031,32.0
HamiltonianPath,2.0,2.0,5,0.6714105181296782,39.0
IndependentSet,2.0,2.0,4,0.20687748020085028,27.0
IndependentSet,2.0,2.0,5,0.24073520947004823,35.666666666666664
NQueens,1.0,1.0,4,0.0,32.0
NQueens,1.0,1.0,5,0.0,40.0
SetCover,1.5,1.5,4,0.0,32.0
SetCover,1.5,1.5,5,0.0,40.0
