task,n,seed,level,constraint_pressure,avg_degree_or_density,danger_rate,IG,useful_IG
IndependentSet,100,100042,4,2.0,2.0,0.265625,22,16.15625
IndependentSet,100,100042,5,2.0,2.0,0.16666666666666666,22,18.333333333333336
Clique,100,100042,4,0.08,4.05,0.48223350253807107,98,50.74111675126903
Clique,100,100042,5,0.08,4.05,0.41232227488151657,88,51.715639810426545
HamiltonianPath,100,100042,4,2.0,2.0,0.07936507936507936,24,22.095238095238095
HamiltonianPath,100,100042,5,2.0,2.0,0.08421052631578947,38,34.8
SetCover,100,100042,4,1.5,1.5,0.08053691275167785,32,29.42281879194631
SetCover,100,100042,5,1.5,1.5,0.08053691275167785,32,29.42281879194631
ExactCover,100,100119,4,1.5,1.5,0.16783216783216784,32,26.62937062937063
ExactCover,100,100119,5,1.5,1.5,0.10810810810810811,36,32.108108108108105
NQueens,100,100042,4,1.0,1.0,0.0,32,32.0
NQueens,100,100042,5,1.0,1.0,0.0,36,36.0
