task,constraint_pressure,avg_degree_or_density,level,danger_rate,IG
Clique,0.08,4.05,4,0.48223350253807107,98.0
Clique,0.08,4.05,5,0.41232227488151657,88.0
ExactCover,1.5,1.5,4,0.16783216783216784,32.0
ExactCover,1.5,1.5,5,0.10810810810810811,36.0
HamiltonianPath,2.0,2.0,4,0.07936507936507936,24.0
HamiltonianPath,2.0,2.0,5,0.08421052631578947,38.0
IndependentSet,2.0,2.0,4,0.265625,22.0
IndependentSet,2.0,2.0,5,0.16666666666666666,22.0
NQueens,1.0,1.0,4,0.0,32.0
NQueens,1.0,1.0,5,0.0,36.0
SetCover,1.5,1.5,4,0.08053691275167785,32.0
SetCover,1.5,1.5,5,0.08053691275167785,32.0
