seed,n_vars,n_clauses,ratio,cluster_count,sampled_clusters,chosen_cluster_size,IG,R_est_survival,stability_score,R_est,useful_IG,D_pred,forced,sat_clauses,unknown_clauses,unsat_clauses,dangerous_clauses,pre_dangerous_clauses,conflict
100042,100,427,4.27,36,36,8,17,1.0,0.990632318501171,0.990632318501171,16.840749414519905,5.9379780280906695,9,108,319,0,0,4,False
100043,100,427,4.27,32,32,8,19,1.0,0.9953161592505855,0.9953161592505855,18.911007025761123,5.287925696594428,11,109,318,0,0,2,False
100044,100,427,4.27,34,34,8,17,1.0,0.9953161592505855,0.9953161592505855,16.920374707259953,5.9100346020761245,9,101,326,0,0,2,False
100045,100,427,4.27,32,32,8,25,1.0,0.990632318501171,0.990632318501171,24.765807962529273,4.037825059101655,17,146,281,0,0,4,False
100046,100,427,4.27,34,34,8,27,1.0,0.9882903981264637,0.9882903981264637,26.683840749414518,3.74758644900825,19,164,263,0,0,5,False
200042,200,854,4.27,71,71,8,18,1.0,0.9964871194379391,0.9964871194379391,17.936768149882905,11.150280715498106,10,123,731,0,0,3,False
200043,200,854,4.27,68,68,8,14,1.0,0.9988290398126464,0.9988290398126464,13.98360655737705,14.302461899179367,6,92,762,0,0,1,False
200044,200,854,4.27,70,70,8,20,1.0,0.9988290398126464,0.9988290398126464,19.97658079625293,10.011723329425557,12,116,738,0,0,1,False
200045,200,854,4.27,67,67,8,18,1.0,0.9988290398126464,0.9988290398126464,17.978922716627636,11.124137032695062,10,115,739,0,0,1,False
200046,200,854,4.27,67,67,8,13,1.0,0.9976580796252927,0.9976580796252927,12.969555035128806,15.420729505236547,5,80,774,0,0,2,False
500042,500,2135,4.27,167,167,8,11,1.0,0.9990632318501171,0.9990632318501171,10.98969555035129,45.4971657503303,3,72,2063,0,0,2,False
500043,500,2135,4.27,170,170,6,11,1.0,0.9995316159250586,0.9995316159250586,10.994847775175645,45.47584561642668,5,66,2069,0,0,1,False
500044,500,2135,4.27,166,166,8,12,1.0,0.9990632318501171,0.9990632318501171,11.988758782201405,41.70573527113611,4,69,2066,0,0,2,False
500045,500,2135,4.27,170,170,8,10,1.0,0.9995316159250586,0.9995316159250586,9.995316159250585,50.023430178069354,2,65,2070,0,0,1,False
500046,500,2135,4.27,169,169,8,12,1.0,0.9990632318501171,0.9990632318501171,11.988758782201405,41.70573527113611,4,72,2063,0,0,2,False
