seed,n_vars,n_clauses,ratio,cluster_count,sampled_clusters,chosen_cluster_size,IG,R_est_survival,stability_score,R_est,useful_IG,D_pred,forced,sat_clauses,unknown_clauses,unsat_clauses,dangerous_clauses,conflict
100042,100,427,4.27,36,36,8,17,1.0,1.0,1.0,17.0,5.882352941176471,9,108,319,0,0,False
100043,100,427,4.27,32,32,8,19,1.0,1.0,1.0,19.0,5.2631578947368425,11,109,318,0,0,False
100044,100,427,4.27,34,34,8,17,1.0,1.0,1.0,17.0,5.882352941176471,9,100,327,0,0,False
100045,100,427,4.27,32,32,8,25,1.0,1.0,1.0,25.0,4.0,17,146,281,0,0,False
100046,100,427,4.27,34,34,8,27,1.0,1.0,1.0,27.0,3.7037037037037037,19,164,263,0,0,False
200042,200,854,4.27,71,71,8,18,1.0,1.0,1.0,18.0,11.11111111111111,10,123,731,0,0,False
200043,200,854,4.27,68,68,8,14,1.0,1.0,1.0,14.0,14.285714285714286,6,92,762,0,0,False
200044,200,854,4.27,70,70,8,20,1.0,1.0,1.0,20.0,10.0,12,116,738,0,0,False
200045,200,854,4.27,67,67,8,18,1.0,1.0,1.0,18.0,11.11111111111111,10,115,739,0,0,False
200046,200,854,4.27,67,67,8,13,1.0,1.0,1.0,13.0,15.384615384615385,5,80,774,0,0,False
500042,500,2135,4.27,167,167,8,11,1.0,1.0,1.0,11.0,45.45454545454545,3,72,2063,0,0,False
500043,500,2135,4.27,170,170,8,11,1.0,1.0,1.0,11.0,45.45454545454545,3,76,2059,0,0,False
500044,500,2135,4.27,166,166,8,12,1.0,1.0,1.0,12.0,41.666666666666664,4,69,2066,0,0,False
500045,500,2135,4.27,170,170,8,10,1.0,1.0,1.0,10.0,50.0,2,65,2070,0,0,False
500046,500,2135,4.27,169,169,8,12,1.0,1.0,1.0,12.0,41.666666666666664,4,72,2063,0,0,False
