seed,n_vars,n_clauses,cluster_count,max_cluster_size_seen,avg_cluster_size,chosen_cluster_size,IG,forced,R_choice_fraction,R_choice_all_match,R_propagated_fraction,R_propagated_all_match,useful_IG_choice,useful_IG_propagated,D_pred_IG,D_pred_useful_choice,D_pred_useful_propagated,conflict
100042,100,427,35,8,5.714285714285714,8,27,19,0.625,False,0.7037037037037037,False,16.875,19.0,3.7037037037037037,5.925925925925926,5.2631578947368425,False
100043,100,427,37,8,5.405405405405405,8,21,13,0.5,False,0.6190476190476191,False,10.5,13.0,4.761904761904762,9.523809523809524,7.6923076923076925,False
100044,100,427,34,8,5.882352941176471,8,23,15,0.625,False,0.5217391304347826,False,14.375,12.0,4.3478260869565215,6.956521739130435,8.333333333333334,False
200042,200,854,64,8,6.25,8,17,9,0.625,False,0.47058823529411764,False,10.625,8.0,11.764705882352942,18.823529411764707,25.0,False
200043,200,854,70,8,5.714285714285714,8,13,5,0.375,False,0.23076923076923078,False,4.875,3.0,15.384615384615385,41.02564102564103,66.66666666666667,False
200044,200,854,69,8,5.797101449275362,8,15,7,0.5,False,0.5333333333333333,False,7.5,8.0,13.333333333333334,26.666666666666668,25.0,False
500042,500,2135,167,8,5.9880239520958085,8,11,3,0.375,False,0.36363636363636365,False,4.125,4.0,45.45454545454545,121.21212121212122,125.0,False
500043,500,2135,174,8,5.747126436781609,8,11,3,0.5,False,0.5454545454545454,False,5.5,6.0,45.45454545454545,90.9090909090909,83.33333333333333,False
500044,500,2135,176,8,5.681818181818182,8,12,4,0.625,False,0.6666666666666666,False,7.5,8.0,41.666666666666664,66.66666666666667,62.5,False
1000042,1000,4270,356,8,5.617977528089888,8,12,4,0.5,False,0.5833333333333334,False,6.0,7.0,83.33333333333333,166.66666666666666,142.85714285714286,False
1000043,1000,4270,352,8,5.681818181818182,8,10,2,0.625,False,0.7,False,6.25,7.0,100.0,160.0,142.85714285714286,False
1000044,1000,4270,342,8,5.847953216374269,8,10,2,0.625,False,0.7,False,6.25,7.0,100.0,160.0,142.85714285714286,False
