n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
10000,10000042,1,4,0.02127659574468085,3.9148936170212765,2554.3478260869565,,,,,500,250,16,1.05,2.0,47,1,1,3,False,False,,,1.0,1.2006147540983605,4.919354838709678,5.90625,5.90625,2554.3478260869565,,,1.751322900003288
10000,10000042,2,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,1.05,2.0,62,1,1,4,False,False,,,1.0,1.2006147540983605,4.919354838709678,5.90625,5.90625,2032.7868852459014,,,1.751322900003288
10000,10000042,3,5,0.016129032258064516,4.919354838709678,2032.7868852459014,,,,,500,250,16,1.05,2.0,62,1,1,4,False,False,,,1.0,1.2006147540983605,4.919354838709678,5.90625,5.90625,2032.7868852459014,,,1.751322900003288
10000,10000042,4,6,0.015625,5.90625,1693.1216931216932,5,0.016129032258064516,4.919354838709678,2032.7868852459014,500,250,16,1.05,2.0,64,1,1,5,True,True,4,weak_growth,1.0,1.2006147540983605,4.919354838709678,5.90625,5.90625,1693.1216931216932,2032.7868852459014,0.8329066393582524,1.751322900003288
10000,10000042,5,6,0.015625,5.90625,1693.1216931216932,5,0.016129032258064516,4.919354838709678,2032.7868852459014,500,250,16,1.05,2.0,64,1,1,5,True,True,4,weak_growth,1.0,1.2006147540983605,4.919354838709678,5.90625,5.90625,1693.1216931216932,2032.7868852459014,0.8329066393582524,1.751322900003288
10000,10000043,1,6,0.038461538461538464,5.769230769230769,1733.3333333333333,,,,,500,250,16,1.05,2.0,52,2,2,4,False,False,,,1.0,1.0,5.769230769230769,5.769230769230769,5.769230769230769,1733.3333333333333,,,1.6617745999828912
10000,10000043,2,6,0.038461538461538464,5.769230769230769,1733.3333333333333,,,,,500,250,16,1.05,2.0,52,2,2,4,False,False,,,1.0,1.0,5.769230769230769,5.769230769230769,5.769230769230769,1733.3333333333333,,,1.6617745999828912
10000,10000043,3,6,0.038461538461538464,5.769230769230769,1733.3333333333333,,,,,500,250,16,1.05,2.0,52,2,2,4,False,False,,,1.0,1.0,5.769230769230769,5.769230769230769,5.769230769230769,1733.3333333333333,,,1.6617745999828912
10000,10000043,4,6,0.038461538461538464,5.769230769230769,1733.3333333333333,35,0.006993006993006993,34.75524475524475,287.7263581488934,500,250,16,1.05,2.0,52,2,2,4,True,True,4,weak_growth,1.0,1.0,5.769230769230769,5.769230769230769,5.769230769230769,1733.3333333333333,287.7263581488934,6.0242424242424235,1.6617745999828912
10000,10000043,5,6,0.038461538461538464,5.769230769230769,1733.3333333333333,44,0.007677543186180422,43.66218809980806,229.03112361526289,500,250,16,1.05,2.0,52,2,2,4,True,True,4,weak_growth,1.0,1.0,5.769230769230769,5.769230769230769,5.769230769230769,1733.3333333333333,229.03112361526289,7.56811260396673,1.6617745999828912
