ratio_field,C,cases,improved_count,worsened_count,improved_rate,harm_rate,median_improvement_ratio,median_log_improvement
ratio_54,1.05,108,54,54,0.5,0.5,4.2833815381507065,1.011296635750339
ratio_54,1.1,108,54,54,0.5,0.5,4.2833815381507065,1.011296635750339
ratio_54,1.2,108,54,54,0.5,0.5,4.2833815381507065,1.011296635750339
ratio_54,1.5,108,54,54,0.5,0.5,4.2833815381507065,1.011296635750339
ratio_54,2.0,108,54,54,0.5,0.5,4.2833815381507065,1.011296635750339
ratio_43,1.05,102,54,48,0.5294117647058824,0.47058823529411764,7.56811260396673,2.0239437105985494
ratio_43,1.1,102,54,48,0.5294117647058824,0.47058823529411764,7.56811260396673,2.0239437105985494
ratio_43,1.2,102,54,48,0.5294117647058824,0.47058823529411764,7.56811260396673,2.0239437105985494
ratio_43,1.5,108,54,54,0.5,0.5,4.2833815381507065,1.011296635750339
ratio_43,2.0,108,54,54,0.5,0.5,4.2833815381507065,1.011296635750339
