n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_reason,baseline_D,after_D,improvement_ratio,runtime_seconds
10000,10000042,1,4,0.02127659574468085,3.9148936170212765,2554.3478260869565,,,,,500,250,16,47,1,1,3,False,True,weak_growth,2554.3478260869565,,,2.0506444000056945
10000,10000042,2,5,0.016129032258064516,4.919354838709678,2032.7868852459014,18,0.010050251256281407,17.819095477386934,561.1957134799775,500,250,16,62,1,1,4,True,True,weak_growth,2032.7868852459014,561.1957134799775,3.622242359337671,2.0506444000056945
10000,10000042,3,5,0.016129032258064516,4.919354838709678,2032.7868852459014,29,0.016722408026755852,28.515050167224082,350.6920009383063,500,250,16,62,1,1,4,True,True,weak_growth,2032.7868852459014,350.6920009383063,5.796502001206207,2.0506444000056945
10000,10000042,4,6,0.015625,5.90625,1693.1216931216932,,,,,500,250,16,64,1,1,5,False,True,weak_growth,1693.1216931216932,,,2.0506444000056945
10000,10000042,5,6,0.015625,5.90625,1693.1216931216932,,,,,500,250,16,64,1,1,5,False,True,weak_growth,1693.1216931216932,,,2.0506444000056945
10000,10000043,1,6,0.038461538461538464,5.769230769230769,1733.3333333333333,9,0.009433962264150943,8.915094339622641,1121.6931216931218,500,250,16,52,2,2,4,True,True,weak_growth,1733.3333333333333,1121.6931216931218,1.5452830188679243,2.170388200029265
10000,10000043,2,6,0.038461538461538464,5.769230769230769,1733.3333333333333,20,0.020512820512820513,19.589743589743588,510.47120418848175,500,250,16,52,2,2,4,True,True,weak_growth,1733.3333333333333,510.47120418848175,3.3955555555555548,2.170388200029265
10000,10000043,3,6,0.038461538461538464,5.769230769230769,1733.3333333333333,,,,,500,250,16,52,2,2,4,False,True,weak_growth,1733.3333333333333,,,2.170388200029265
10000,10000043,4,6,0.038461538461538464,5.769230769230769,1733.3333333333333,,,,,500,250,16,52,2,2,4,False,True,weak_growth,1733.3333333333333,,,2.170388200029265
10000,10000043,5,6,0.038461538461538464,5.769230769230769,1733.3333333333333,,,,,500,250,16,52,2,2,4,False,True,weak_growth,1733.3333333333333,,,2.170388200029265
