n,seed,level,IG,danger_rate,useful_IG,D,IG_after_rebuild,danger_rate_after_rebuild,useful_IG_after_rebuild,D_after_rebuild,sample_units,candidate_cap,top_neighbors,min_useful_growth,topdown_bias,affected_clauses,dangerous_clauses,forced,chosen_unit_size,rebuilt,rebuild_triggered,trigger_level,trigger_reason,ratio_54,ratio_43,useful_IG_G3,useful_IG_G4,useful_IG_G5,baseline_D,after_D,improvement_ratio,runtime_seconds
50000,50000042,1,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,1.05,5.0,37,1,1,3,False,False,,,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,,,8.953439599950798
50000,50000042,2,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,1.05,5.0,37,1,1,3,False,False,,,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,,,8.953439599950798
50000,50000042,3,4,0.02702702702702703,3.891891891891892,12847.22222222222,,,,,500,250,16,1.05,5.0,37,1,1,3,False,False,,,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,,,8.953439599950798
50000,50000042,4,4,0.02702702702702703,3.891891891891892,12847.22222222222,33,0.0028089887640449437,32.907303370786515,1519.4195475885617,500,250,16,1.05,5.0,37,1,1,3,True,True,4,weak_growth,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,1519.4195475885617,8.455348782771534,8.953439599950798
50000,50000042,5,4,0.02702702702702703,3.891891891891892,12847.22222222222,44,0.008528784648187633,43.624733475479744,1146.13880742913,500,250,16,1.05,5.0,37,1,1,3,True,True,4,weak_growth,1.0,1.0,3.891891891891892,3.891891891891892,3.891891891891892,12847.22222222222,1146.13880742913,11.209132906894098,8.953439599950798
50000,50000043,1,4,0.05405405405405406,3.7837837837837838,13214.285714285714,,,,,500,250,16,1.05,5.0,37,2,2,2,False,False,,,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,13214.285714285714,,,8.908190499991179
50000,50000043,2,5,0.046511627906976744,4.767441860465117,10487.804878048779,,,,,500,250,16,1.05,5.0,43,2,2,3,False,False,,,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,,,8.908190499991179
50000,50000043,3,5,0.046511627906976744,4.767441860465117,10487.804878048779,,,,,500,250,16,1.05,5.0,43,2,2,3,False,False,,,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,,,8.908190499991179
50000,50000043,4,5,0.046511627906976744,4.767441860465117,10487.804878048779,37,0.012048192771084338,36.554216867469876,1367.8312458800265,500,250,16,1.05,5.0,43,2,2,3,True,True,4,weak_growth,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,1367.8312458800265,7.6674698795180705,8.908190499991179
50000,50000043,5,5,0.046511627906976744,4.767441860465117,10487.804878048779,48,0.015473887814313346,47.25725338491296,1058.0386378519975,500,250,16,1.05,5.0,43,2,2,3,True,True,4,weak_growth,1.0,1.0,4.767441860465117,4.767441860465117,4.767441860465117,10487.804878048779,1058.0386378519975,9.912497051469545,8.908190499991179
100000,100000042,1,4,0.0625,3.75,26666.666666666668,,,,,500,250,16,1.05,5.0,32,2,2,2,False,False,,,1.0,1.0,4.0,4.0,4.0,26666.666666666668,,,19.392559700005222
100000,100000042,2,4,0.021739130434782608,3.9130434782608696,25555.555555555555,,,,,500,250,16,1.05,5.0,46,1,1,3,False,False,,,1.0,1.0,4.0,4.0,4.0,25555.555555555555,,,19.392559700005222
100000,100000042,3,4,0.0,4.0,25000.0,,,,,500,250,16,1.05,5.0,42,0,0,4,False,False,,,1.0,1.0,4.0,4.0,4.0,25000.0,,,19.392559700005222
100000,100000042,4,4,0.0,4.0,25000.0,4,0.021739130434782608,3.9130434782608696,25555.555555555555,500,250,16,1.05,5.0,42,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,25000.0,25555.555555555555,0.9782608695652174,19.392559700005222
100000,100000042,5,4,0.0,4.0,25000.0,4,0.021739130434782608,3.9130434782608696,25555.555555555555,500,250,16,1.05,5.0,42,0,0,4,True,True,4,weak_growth,1.0,1.0,4.0,4.0,4.0,25000.0,25555.555555555555,0.9782608695652174,19.392559700005222
100000,100000043,1,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,1.05,5.0,27,2,2,2,False,False,,,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,,,21.448586599959526
100000,100000043,2,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,1.05,5.0,27,2,2,2,False,False,,,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,,,21.448586599959526
100000,100000043,3,4,0.07407407407407407,3.7037037037037037,27000.0,,,,,500,250,16,1.05,5.0,27,2,2,2,False,False,,,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,,,21.448586599959526
100000,100000043,4,4,0.07407407407407407,3.7037037037037037,27000.0,4,0.07692307692307693,3.6923076923076925,27083.333333333332,500,250,16,1.05,5.0,27,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,27083.333333333332,0.996923076923077,21.448586599959526
100000,100000043,5,4,0.07407407407407407,3.7037037037037037,27000.0,4,0.07692307692307693,3.6923076923076925,27083.333333333332,500,250,16,1.05,5.0,27,2,2,2,True,True,4,weak_growth,1.0,1.0,3.7037037037037037,3.7037037037037037,3.7037037037037037,27000.0,27083.333333333332,0.996923076923077,21.448586599959526
200000,200000042,1,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,1.05,5.0,38,1,1,2,False,False,,,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,,,40.156750400026795
200000,200000042,2,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,1.05,5.0,38,1,1,2,False,False,,,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,,,40.156750400026795
200000,200000042,3,3,0.02631578947368421,2.9210526315789473,68468.46846846848,,,,,500,250,16,1.05,5.0,38,1,1,2,False,False,,,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,,,40.156750400026795
200000,200000042,4,3,0.02631578947368421,2.9210526315789473,68468.46846846848,35,0.0066518847006651885,34.76718403547672,5752.551020408164,500,250,16,1.05,5.0,38,1,1,2,True,True,4,weak_growth,1.0,1.0,2.9210526315789473,2.9210526315789473,2.9210526315789473,68468.46846846848,5752.551020408164,11.90227921935239,40.156750400026795
