seed,mode,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,useful_IG,D_pred,memory_edges,memory_chains,conflict
1000042,baseline,1000,4270,1,813,4,8,4,4,63,0.06349206349206349,7.492063492063492,133.47457627118644,0,0,False
1000042,baseline,1000,4270,2,586,16,24,8,8,210,0.0380952380952381,23.085714285714285,43.31683168316832,0,0,False
1000042,baseline,1000,4270,3,523,24,34,10,9,319,0.02821316614420063,33.040752351097176,30.26565464895636,0,0,False
1000042,baseline,1000,4270,4,364,32,43,11,10,389,0.02570694087403599,41.89460154241645,23.86942382033503,0,0,False
1000042,baseline,1000,4270,5,198,40,55,15,10,470,0.02127659574468085,53.82978723404255,18.57707509881423,0,0,False
1000042,filtered_memory,1000,4270,1,813,4,8,4,4,63,0.06349206349206349,7.492063492063492,133.47457627118644,16,5,False
1000042,filtered_memory,1000,4270,2,573,16,22,6,6,212,0.02830188679245283,21.37735849056604,46.77846425419241,124,13,False
1000042,filtered_memory,1000,4270,3,508,24,31,7,7,295,0.023728813559322035,30.26440677966102,33.0421146953405,342,15,False
1000042,filtered_memory,1000,4270,4,349,32,45,13,11,365,0.030136986301369864,43.64383561643836,22.9127432517263,760,17,False
1000042,filtered_memory,1000,4270,5,181,40,58,18,11,475,0.023157894736842106,56.65684210526315,17.65011890606421,1489,19,False
1000043,baseline,1000,4270,1,842,8,9,1,1,118,0.00847457627118644,8.923728813559322,112.0607787274454,0,0,False
1000043,baseline,1000,4270,2,626,16,23,7,6,220,0.02727272727272727,22.372727272727275,44.69727752945956,0,0,False
1000043,baseline,1000,4270,3,558,24,34,10,8,308,0.025974025974025976,33.116883116883116,30.19607843137255,0,0,False
1000043,baseline,1000,4270,4,411,32,43,11,9,372,0.024193548387096774,41.95967741935484,23.832404382087258,0,0,False
1000043,baseline,1000,4270,5,259,40,58,18,14,442,0.03167420814479638,56.16289592760181,17.80534966161779,0,0,False
1000043,filtered_memory,1000,4270,1,842,7,10,3,3,90,0.03333333333333333,9.666666666666666,103.44827586206897,21,4,False
1000043,filtered_memory,1000,4270,2,631,16,23,7,6,201,0.029850746268656716,22.313432835820898,44.81605351170568,158,13,False
1000043,filtered_memory,1000,4270,3,554,24,34,10,6,302,0.019867549668874173,33.324503311258276,30.007949125596188,543,15,False
1000043,filtered_memory,1000,4270,4,407,32,42,10,8,413,0.01937046004842615,41.186440677966104,24.279835390946502,865,17,False
1000043,filtered_memory,1000,4270,5,259,40,52,12,9,442,0.020361990950226245,50.94117647058823,19.630484988452658,1349,19,False
1000044,baseline,1000,4270,1,842,7,9,2,2,83,0.024096385542168676,8.783132530120483,113.85459533607681,0,0,False
1000044,baseline,1000,4270,2,646,16,21,5,4,222,0.018018018018018018,20.62162162162162,48.492791612057665,0,0,False
1000044,baseline,1000,4270,3,565,24,30,6,5,313,0.01597444089456869,29.52076677316294,33.874458874458874,0,0,False
1000044,baseline,1000,4270,4,442,32,43,11,10,396,0.025252525252525252,41.91414141414141,23.858296180262684,0,0,False
1000044,baseline,1000,4270,5,298,40,56,16,13,436,0.02981651376146789,54.330275229357795,18.405943937858833,0,0,False
1000044,filtered_memory,1000,4270,1,842,8,9,1,1,104,0.009615384615384616,8.913461538461538,112.1898597626753,8,2,False
1000044,filtered_memory,1000,4270,2,646,16,21,5,4,222,0.018018018018018018,20.62162162162162,48.492791612057665,117,9,False
1000044,filtered_memory,1000,4270,3,568,24,30,6,5,313,0.01597444089456869,29.52076677316294,33.874458874458874,391,11,False
1000044,filtered_memory,1000,4270,4,442,32,43,11,10,398,0.02512562814070352,41.91959798994975,23.855190601774154,743,13,False
1000044,filtered_memory,1000,4270,5,298,40,55,15,10,463,0.02159827213822894,53.81209503239741,18.583182821593418,1349,15,False
2000042,baseline,2000,8540,1,1842,4,5,1,1,60,0.016666666666666666,4.916666666666666,406.7796610169492,0,0,False
2000042,baseline,2000,8540,2,1546,16,18,2,2,219,0.0091324200913242,17.835616438356166,112.13517665130567,0,0,False
2000042,baseline,2000,8540,3,1438,24,27,3,3,308,0.00974025974025974,26.73701298701299,74.802671523983,0,0,False
2000042,baseline,2000,8540,4,1332,32,36,4,3,407,0.007371007371007371,35.73464373464373,55.96809680968097,0,0,False
2000042,baseline,2000,8540,5,1161,40,47,7,6,467,0.01284796573875803,46.396145610278374,43.10702912262888,0,0,False
2000042,filtered_memory,2000,8540,1,1842,4,4,0,0,59,0.0,4.0,500.0,0,0,False
2000042,filtered_memory,2000,8540,2,1546,16,16,0,0,189,0.0,16.0,125.0,0,0,False
2000042,filtered_memory,2000,8540,3,1438,8,10,2,1,99,0.010101010101010102,9.8989898989899,202.0408163265306,17,3,False
2000042,filtered_memory,2000,8540,4,1332,32,38,6,4,394,0.01015228426395939,37.61421319796954,53.171390013495284,239,4,False
2000042,filtered_memory,2000,8540,5,1161,40,50,10,8,501,0.015968063872255488,49.20159680638723,40.64908722109533,641,5,False
2000043,baseline,2000,8540,1,1825,5,7,2,2,85,0.023529411764705882,6.8352941176470585,292.5989672977625,0,0,False
2000043,baseline,2000,8540,2,1529,16,17,1,1,201,0.004975124378109453,16.91542288557214,118.23529411764704,0,0,False
2000043,baseline,2000,8540,3,1411,24,27,3,3,320,0.009375,26.746875,74.77509054796121,0,0,False
2000043,baseline,2000,8540,4,1290,32,41,9,9,419,0.021479713603818614,40.11933174224344,49.85127900059488,0,0,False
2000043,baseline,2000,8540,5,1103,40,51,11,11,495,0.022222222222222223,49.86666666666667,40.106951871657756,0,0,False
2000043,filtered_memory,2000,8540,1,1825,5,5,0,0,66,0.0,5.0,400.0,0,0,False
2000043,filtered_memory,2000,8540,2,1529,16,18,2,2,238,0.008403361344537815,17.84873949579832,112.05273069679849,32,3,False
2000043,filtered_memory,2000,8540,3,1407,24,28,4,3,294,0.01020408163265306,27.714285714285715,72.16494845360825,250,4,False
2000043,filtered_memory,2000,8540,4,1292,32,36,4,4,411,0.009732360097323601,35.64963503649635,56.101556101556106,378,5,False
2000043,filtered_memory,2000,8540,5,1103,40,48,8,8,503,0.015904572564612324,47.23658051689861,42.340067340067336,698,6,False
2000044,baseline,2000,8540,1,1842,4,6,2,2,72,0.027777777777777776,5.833333333333333,342.8571428571429,0,0,False
2000044,baseline,2000,8540,2,1539,16,21,5,4,218,0.01834862385321101,20.61467889908257,97.01824655095683,0,0,False
2000044,baseline,2000,8540,3,1423,24,30,6,4,320,0.0125,29.625,67.51054852320675,0,0,False
2000044,baseline,2000,8540,4,1296,32,38,6,5,430,0.011627906976744186,37.55813953488372,53.250773993808046,0,0,False
2000044,baseline,2000,8540,5,1103,40,47,7,7,497,0.014084507042253521,46.33802816901409,43.16109422492401,0,0,False
2000044,filtered_memory,2000,8540,1,1842,4,4,0,0,47,0.0,4.0,500.0,0,0,False
2000044,filtered_memory,2000,8540,2,1539,16,19,3,3,225,0.013333333333333334,18.746666666666666,106.68563300142247,48,4,False
2000044,filtered_memory,2000,8540,3,1424,24,28,4,4,331,0.012084592145015106,27.661631419939578,72.30231542158147,267,5,False
2000044,filtered_memory,2000,8540,4,1287,32,40,8,6,431,0.013921113689095127,39.443155452436194,50.705882352941174,525,6,False
2000044,filtered_memory,2000,8540,5,1103,40,46,6,5,471,0.010615711252653927,45.51167728237792,43.94476581451764,766,7,False
