mode,n_vars,level,samples,avg_unit_count,avg_chosen_unit_size,avg_IG,avg_forced,avg_danger_rate,avg_useful_IG,avg_memory_edges,avg_memory_chains,D_pred,conflicts
baseline,1000,1,3,832.3333333333334,6.333333333333333,8.666666666666666,2.3333333333333335,0.03202100843513953,8.399641611914433,0.0,0.0,119.05269846055748,0
baseline,1000,2,3,619.3333333333334,16.0,22.666666666666668,6.666666666666667,0.027795327795327795,22.026687726687726,0.0,0.0,45.39947233139331,0
baseline,1000,3,3,548.6666666666666,24.0,32.666666666666664,8.666666666666666,0.023387211004265097,31.892800747047744,0.0,0.0,31.355038647478086,0
baseline,1000,4,3,405.6666666666667,32.0,43.0,11.0,0.02505100483788601,41.922806791970906,0.0,0.0,23.853364708193176,0
baseline,1000,5,3,251.66666666666666,40.0,56.333333333333336,16.333333333333332,0.027589105883648376,54.77431946366738,0.0,0.0,18.25673070503988,0
baseline,2000,1,3,1836.3333333333333,4.333333333333333,6.0,1.6666666666666667,0.022657952069716773,5.861764705882353,0.0,0.0,341.1941796287004,0
baseline,2000,2,3,1538.0,16.0,18.666666666666668,2.6666666666666665,0.010818722774214888,18.45523940767029,0.0,0.0,108.37030914748081,0
baseline,2000,3,3,1424.0,24.0,28.0,4.0,0.010538419913419915,27.702962662337665,0.0,0.0,72.19444448513846,0
baseline,2000,4,3,1306.0,32.0,38.333333333333336,6.333333333333333,0.013492875983856725,37.80403833725696,0.0,0.0,52.904400904411915,0
baseline,2000,5,3,1122.3333333333333,40.0,48.333333333333336,8.333333333333334,0.016384898334411258,47.53361348198638,0.0,0.0,42.07548834379974,0
filtered_memory,1000,1,3,832.3333333333334,6.333333333333333,9.0,2.6666666666666665,0.03548026048026048,8.690730565730567,15.0,3.6666666666666665,115.06512512805502,0
filtered_memory,1000,2,3,616.6666666666666,16.0,22.0,6.0,0.025390217026375856,21.43747098266952,133.0,11.666666666666666,46.647293461454474,0
filtered_memory,1000,3,3,543.3333333333334,24.0,31.666666666666668,7.666666666666667,0.0198569347075883,31.036558954694076,425.3333333333333,13.666666666666666,32.22006671099589,0
filtered_memory,1000,4,3,399.3333333333333,32.0,43.333333333333336,11.333333333333334,0.02487769149683318,42.24995809478474,789.3333333333334,15.666666666666666,23.668662528766824,0
filtered_memory,1000,5,3,246.0,40.0,55.0,15.0,0.02170605260843243,53.803371202749595,1395.6666666666667,17.666666666666668,18.586195951024262,0
filtered_memory,2000,1,3,1836.3333333333333,4.333333333333333,4.333333333333333,0.0,0.0,4.333333333333333,0.0,0.0,461.53846153846155,0
filtered_memory,2000,2,3,1538.0,16.0,17.666666666666668,1.6666666666666667,0.007245564892623717,17.531802054154994,26.666666666666668,2.3333333333333335,114.07840413792516,0
filtered_memory,2000,3,3,1423.0,18.666666666666668,22.0,3.3333333333333335,0.010796561292892757,21.758302344405063,178.0,4.0,91.91893596948204,0
filtered_memory,2000,4,3,1303.6666666666667,32.0,38.0,6.0,0.011268586016792705,37.56900122896736,380.6666666666667,5.0,53.23537849225312,0
filtered_memory,2000,5,3,1122.3333333333333,40.0,48.0,8.0,0.014162782563173914,47.31661820188791,701.6666666666666,6.0,42.268447661802696,0
