seed,n_vars,n_clauses,H_start,H_after_action,H_after_G1,H_after_G2,H_after_G3,IG_action,IG_G1_only,IG_G2_only,IG_G3_only,IG_total_G1,IG_total_G2,IG_total_G3,forced_g1,forced_g2_probe,forced_g3_probe,probe_conflicts_g2,probe_conflicts_g3,conflict
22042,22,94,22,21,21,21,21,1,0,0,0,1,1,1,0,0,0,0,0,False
22043,22,94,22,21,21,21,21,1,0,0,0,1,1,1,0,0,0,0,0,False
22044,22,94,22,21,21,20,17,1,0,1,3,1,2,5,0,1,3,1,3,False
50042,50,213,50,49,49,48,48,1,0,1,0,1,2,2,0,1,0,1,0,False
50043,50,213,50,49,49,49,49,1,0,0,0,1,1,1,0,0,0,0,0,False
50044,50,213,50,49,49,49,49,1,0,0,0,1,1,1,0,0,0,0,0,False
100042,100,427,100,99,99,99,99,1,0,0,0,1,1,1,0,0,0,0,0,False
100043,100,427,100,99,99,99,99,1,0,0,0,1,1,1,0,0,0,0,0,False
100044,100,427,100,99,99,99,99,1,0,0,0,1,1,1,0,0,0,0,0,False
200042,200,854,200,199,199,199,199,1,0,0,0,1,1,1,0,0,0,0,0,False
200043,200,854,200,199,199,199,199,1,0,0,0,1,1,1,0,0,0,0,0,False
200044,200,854,200,199,199,199,199,1,0,0,0,1,1,1,0,0,0,0,0,False
