seed,step,n_vars,n_clauses,ratio,H_before,H_after,IG_total,IG_G_only,forced_count,conflict,assigned_after
22042,1,22,94,4.2727272727272725,22,21,1,0,0,False,1
22042,2,22,94,4.2727272727272725,21,4,17,16,16,False,18
22042,3,22,94,4.2727272727272725,4,0,4,3,3,False,22
22043,1,22,94,4.2727272727272725,22,21,1,0,0,False,1
22043,2,22,94,4.2727272727272725,21,14,7,6,6,False,8
22043,3,22,94,4.2727272727272725,14,10,4,3,3,False,12
22043,4,22,94,4.2727272727272725,10,8,2,1,1,False,14
22043,5,22,94,4.2727272727272725,8,7,1,0,0,False,15
22044,1,22,94,4.2727272727272725,22,21,1,0,0,False,1
22044,2,22,94,4.2727272727272725,21,11,10,9,9,False,11
22044,3,22,94,4.2727272727272725,11,1,10,9,9,False,21
22044,4,22,94,4.2727272727272725,1,0,1,0,0,False,22
22045,1,22,94,4.2727272727272725,22,21,1,0,0,False,1
22045,2,22,94,4.2727272727272725,21,17,4,3,3,False,5
22045,3,22,94,4.2727272727272725,17,15,2,1,1,False,7
22045,4,22,94,4.2727272727272725,15,14,1,0,0,False,8
22045,5,22,94,4.2727272727272725,14,13,1,0,0,False,9
22046,1,22,94,4.2727272727272725,22,21,1,0,0,False,1
22046,2,22,94,4.2727272727272725,21,19,2,1,1,False,3
22046,3,22,94,4.2727272727272725,19,14,5,4,4,False,8
22046,4,22,94,4.2727272727272725,14,12,2,1,1,False,10
22046,5,22,94,4.2727272727272725,12,11,1,0,0,False,11
50042,1,50,213,4.26,50,49,1,0,0,False,1
50042,2,50,213,4.26,49,44,5,4,4,False,6
50042,3,50,213,4.26,44,22,22,21,21,False,28
50042,4,50,213,4.26,22,20,2,1,1,False,30
50042,5,50,213,4.26,20,19,1,0,0,False,31
50043,1,50,213,4.26,50,49,1,0,0,False,1
50043,2,50,213,4.26,49,45,4,3,3,False,5
50043,3,50,213,4.26,45,42,3,2,2,False,8
50043,4,50,213,4.26,42,23,19,18,18,False,27
50043,5,50,213,4.26,23,3,20,19,19,False,47
50044,1,50,213,4.26,50,49,1,0,0,False,1
50044,2,50,213,4.26,49,40,9,8,8,False,10
50044,3,50,213,4.26,40,32,8,7,7,False,18
50044,4,50,213,4.26,32,26,6,5,5,False,24
50044,5,50,213,4.26,26,23,3,2,2,False,27
50045,1,50,213,4.26,50,49,1,0,0,False,1
50045,2,50,213,4.26,49,46,3,2,2,False,4
50045,3,50,213,4.26,46,38,8,7,7,False,12
50045,4,50,213,4.26,38,29,9,8,8,False,21
50045,5,50,213,4.26,29,25,4,3,3,False,25
50046,1,50,213,4.26,50,49,1,0,0,False,1
50046,2,50,213,4.26,49,45,4,3,3,False,5
50046,3,50,213,4.26,45,0,45,44,44,False,50
100042,1,100,427,4.27,100,99,1,0,0,False,1
100042,2,100,427,4.27,99,96,3,2,2,False,4
100042,3,100,427,4.27,96,89,7,6,6,False,11
100042,4,100,427,4.27,89,65,24,23,23,False,35
100042,5,100,427,4.27,65,53,12,11,11,False,47
100043,1,100,427,4.27,100,99,1,0,0,False,1
100043,2,100,427,4.27,99,97,2,1,1,False,3
100043,3,100,427,4.27,97,91,6,5,5,False,9
100043,4,100,427,4.27,91,81,10,9,9,False,19
100043,5,100,427,4.27,81,61,20,19,19,False,39
100044,1,100,427,4.27,100,99,1,0,0,False,1
100044,2,100,427,4.27,99,97,2,1,1,False,3
100044,3,100,427,4.27,97,79,18,17,17,False,21
100044,4,100,427,4.27,79,68,11,10,10,False,32
100044,5,100,427,4.27,68,65,3,2,2,False,35
100045,1,100,427,4.27,100,99,1,0,0,False,1
100045,2,100,427,4.27,99,97,2,1,1,False,3
100045,3,100,427,4.27,97,93,4,3,3,False,7
100045,4,100,427,4.27,93,78,15,14,14,False,22
100045,5,100,427,4.27,78,66,12,11,11,False,34
100046,1,100,427,4.27,100,99,1,0,0,False,1
100046,2,100,427,4.27,99,97,2,1,1,False,3
100046,3,100,427,4.27,97,93,4,3,3,False,7
100046,4,100,427,4.27,93,84,9,8,8,False,16
100046,5,100,427,4.27,84,66,18,17,17,False,34
