formula_seed,mode,success,steps,assigned_count
42,dpll_control,True,15,30
42,greedy_L,False,29,30
42,greedy_LG,True,3,30
42,lookahead_LG_3,True,7,30
42,lookahead_L_3,False,27,30
43,dpll_control,True,6,30
43,greedy_L,False,30,30
43,greedy_LG,True,3,30
43,lookahead_LG_3,True,5,30
43,lookahead_L_3,False,30,30
44,dpll_control,True,27,30
44,greedy_L,False,29,30
44,greedy_LG,False,17,30
44,lookahead_LG_3,True,10,30
44,lookahead_L_3,False,28,30
45,dpll_control,True,13,30
45,greedy_L,False,30,30
45,greedy_LG,True,3,30
45,lookahead_LG_3,True,9,30
45,lookahead_L_3,False,30,30
46,dpll_control,False,41,0
46,greedy_L,False,0,0
46,greedy_LG,False,0,0
46,lookahead_LG_3,False,0,0
46,lookahead_L_3,False,0,0
46,random,False,0,0
47,dpll_control,True,28,30
47,greedy_L,False,28,30
47,greedy_LG,False,27,30
47,lookahead_LG_3,True,8,30
47,lookahead_L_3,False,28,30
48,dpll_control,True,12,30
48,greedy_L,False,28,30
48,greedy_LG,True,3,30
48,lookahead_LG_3,True,10,30
48,lookahead_L_3,False,26,30
49,dpll_control,True,46,30
49,greedy_L,False,30,30
49,greedy_LG,False,28,30
49,lookahead_LG_3,True,12,30
49,lookahead_L_3,False,28,30
50,dpll_control,True,20,30
50,greedy_L,False,29,30
50,greedy_LG,False,19,30
50,lookahead_LG_3,True,8,30
50,lookahead_L_3,False,27,30
51,dpll_control,True,21,30
51,greedy_L,False,29,30
51,greedy_LG,False,22,30
51,lookahead_LG_3,True,9,30
51,lookahead_L_3,False,27,30
52,dpll_control,True,14,30
52,greedy_L,False,30,30
52,greedy_LG,True,3,30
52,lookahead_LG_3,True,11,30
52,lookahead_L_3,False,28,30
53,dpll_control,True,46,30
53,greedy_L,False,28,30
53,greedy_LG,True,3,30
53,lookahead_LG_3,True,6,30
53,lookahead_L_3,False,26,30
54,dpll_control,True,10,30
54,greedy_L,False,30,30
54,greedy_LG,True,4,30
54,lookahead_LG_3,True,11,30
54,lookahead_L_3,False,28,30
55,dpll_control,True,17,30
55,greedy_L,True,22,30
55,greedy_LG,False,22,30
55,lookahead_LG_3,True,5,30
55,lookahead_L_3,True,30,30
56,dpll_control,True,18,30
56,greedy_L,False,30,30
56,greedy_LG,False,23,30
56,lookahead_LG_3,True,10,30
56,lookahead_L_3,False,28,30
57,dpll_control,True,24,30
57,greedy_L,False,30,30
57,greedy_LG,False,26,30
57,lookahead_LG_3,True,8,30
57,lookahead_L_3,False,28,30
58,dpll_control,True,4,30
58,greedy_L,False,30,30
58,greedy_LG,False,20,30
58,lookahead_LG_3,True,7,30
58,lookahead_L_3,False,27,30
59,dpll_control,True,11,30
59,greedy_L,False,30,30
59,greedy_LG,True,2,30
59,lookahead_LG_3,True,4,30
59,lookahead_L_3,False,28,30
60,dpll_control,True,14,30
60,greedy_L,True,26,30
60,greedy_LG,True,3,30
60,lookahead_LG_3,True,7,30
60,lookahead_L_3,False,28,30
61,dpll_control,False,39,0
61,greedy_L,False,0,0
61,greedy_LG,False,0,0
61,lookahead_LG_3,False,0,0
61,lookahead_L_3,False,0,0
61,random,False,0,0
62,dpll_control,True,31,30
62,greedy_L,False,28,30
62,greedy_LG,True,3,30
62,lookahead_LG_3,True,10,30
62,lookahead_L_3,False,27,30
63,dpll_control,True,8,30
63,greedy_L,False,30,30
63,greedy_LG,False,22,30
63,lookahead_LG_3,True,6,30
63,lookahead_L_3,False,28,30
64,dpll_control,True,12,30
64,greedy_L,True,27,30
64,greedy_LG,False,26,30
64,lookahead_LG_3,True,5,30
64,lookahead_L_3,True,30,30
65,dpll_control,False,25,0
65,greedy_L,False,0,0
65,greedy_LG,False,0,0
65,lookahead_LG_3,False,0,0
65,lookahead_L_3,False,0,0
65,random,False,0,0
66,dpll_control,True,8,30
66,greedy_L,True,28,30
66,greedy_LG,False,26,30
66,lookahead_LG_3,True,9,30
66,lookahead_L_3,True,30,30
67,dpll_control,True,27,30
67,greedy_L,False,29,30
67,greedy_LG,False,27,30
67,lookahead_LG_3,True,12,30
67,lookahead_L_3,False,27,30
68,dpll_control,True,9,30
68,greedy_L,False,28,30
68,greedy_LG,True,3,30
68,lookahead_LG_3,True,11,30
68,lookahead_L_3,False,26,30
69,dpll_control,True,13,30
69,greedy_L,False,30,30
69,greedy_LG,False,19,30
69,lookahead_LG_3,True,7,30
69,lookahead_L_3,False,28,30
70,dpll_control,True,22,30
70,greedy_L,False,30,30
70,greedy_LG,True,4,30
70,lookahead_LG_3,True,8,30
70,lookahead_L_3,False,29,30
71,dpll_control,False,59,0
71,greedy_L,False,0,0
71,greedy_LG,False,0,0
71,lookahead_LG_3,False,0,0
71,lookahead_L_3,False,0,0
71,random,False,0,0
72,dpll_control,True,16,30
72,greedy_L,False,27,30
72,greedy_LG,True,3,30
72,lookahead_LG_3,True,8,30
72,lookahead_L_3,False,27,30
73,dpll_control,True,11,30
73,greedy_L,False,30,30
73,greedy_LG,True,4,30
73,lookahead_LG_3,True,9,30
73,lookahead_L_3,False,28,30
74,dpll_control,True,14,30
74,greedy_L,False,30,30
74,greedy_LG,True,3,30
74,lookahead_LG_3,True,11,30
74,lookahead_L_3,False,28,30
75,dpll_control,True,16,30
75,greedy_L,False,29,30
75,greedy_LG,False,21,30
75,lookahead_LG_3,True,5,30
75,lookahead_L_3,False,30,30
76,dpll_control,True,11,30
76,greedy_L,True,20,30
76,greedy_LG,True,3,30
76,lookahead_LG_3,True,12,30
76,lookahead_L_3,True,27,30
77,dpll_control,False,67,0
77,greedy_L,False,0,0
77,greedy_LG,False,0,0
77,lookahead_LG_3,False,0,0
77,lookahead_L_3,False,0,0
77,random,False,0,0
78,dpll_control,True,21,30
78,greedy_L,False,29,30
78,greedy_LG,True,2,30
78,lookahead_LG_3,True,10,30
78,lookahead_L_3,False,28,30
79,dpll_control,False,41,0
79,greedy_L,False,0,0
79,greedy_LG,False,0,0
79,lookahead_LG_3,False,0,0
79,lookahead_L_3,False,0,0
79,random,False,0,0
80,dpll_control,True,13,30
80,greedy_L,False,30,30
80,greedy_LG,True,3,30
80,lookahead_LG_3,True,6,30
80,lookahead_L_3,True,26,30
81,dpll_control,True,9,30
81,greedy_L,True,22,30
81,greedy_LG,True,3,30
81,lookahead_LG_3,True,9,30
81,lookahead_L_3,True,29,30
82,dpll_control,True,21,30
82,greedy_L,False,30,30
82,greedy_LG,True,3,30
82,lookahead_LG_3,True,10,30
82,lookahead_L_3,False,28,30
83,dpll_control,True,23,30
83,greedy_L,False,30,30
83,greedy_LG,False,25,30
83,lookahead_LG_3,True,10,30
83,lookahead_L_3,False,28,30
84,dpll_control,True,11,30
84,greedy_L,False,29,30
