mode,total,success,fail,skipped,sat_found,unsat_proved,timeout,failed_to_find,success_rate,avg_steps_success_only,avg_steps_all,avg_steps_non_skipped,avg_decision_steps,avg_forced_steps,avg_score_calls,min_steps_success,max_steps_success
dpll_control,20,16,4,0,16,4,0,0,0.8,6.25,7.5,7.5,7.5,0.7,0.0,3,12
greedy_L,20,10,10,0,10,0,0,10,0.5,8.0,9.9,9.9,9.9,0.0,142.55,2,11
greedy_LG,20,13,7,0,13,0,0,7,0.65,2.3846153846153846,4.95,4.95,4.25,6.25,71.3,2,4
lookahead_LG_1,20,13,7,0,13,0,0,7,0.65,2.3846153846153846,4.95,4.95,4.25,6.25,71.3,2,4
lookahead_LG_2,20,16,4,0,16,0,0,4,0.8,4.1875,5.25,5.25,4.6,6.15,1525.35,2,7
lookahead_LG_3,20,16,4,0,16,0,0,4,0.8,4.625,5.55,5.55,5.05,5.95,7077.15,3,8
lookahead_LG_4,20,16,4,0,16,0,0,4,0.8,4.5,5.45,5.45,5.05,5.65,25960.75,3,8
lookahead_L_1,20,10,10,0,10,0,0,10,0.5,8.0,9.9,9.9,9.9,0.0,142.55,2,11
lookahead_L_2,20,10,10,0,10,0,0,10,0.5,8.6,9.75,9.75,9.75,0.0,2848.75,2,12
lookahead_L_3,20,10,10,0,10,0,0,10,0.5,9.3,9.8,9.8,9.8,0.0,12673.25,4,12
lookahead_L_4,20,14,6,0,14,0,0,6,0.7,9.857142857142858,9.75,9.75,9.75,0.0,46299.8,4,12
random,20,0,20,0,0,0,0,20,0.0,,12.0,12.0,12.0,0.0,0.0,,
