mode,total,success,fail,skipped,sat_found,unsat_proved,timeout,failed_to_find,success_rate,avg_steps_success_only,avg_steps_all,avg_steps_non_skipped,avg_decision_steps,avg_forced_steps,avg_score_calls,min_steps_success,max_steps_success
dpll_control,10,9,1,0,9,1,0,0,0.9,5.777777777777778,5.9,5.9,5.9,0.7,0.0,3,9
greedy_L,10,7,3,0,7,0,0,3,0.7,11.142857142857142,12.0,12.0,12.0,0.0,198.9,7,14
greedy_LG,10,9,1,0,9,0,0,1,0.9,2.3333333333333335,3.1,3.1,2.8,10.0,65.9,2,3
lookahead_LG_1,10,9,1,0,9,0,0,1,0.9,2.3333333333333335,3.1,3.1,2.8,10.0,65.9,2,3
lookahead_LG_2,10,9,1,0,9,0,0,1,0.9,5.0,5.7,5.7,5.1,8.6,2285.8,3,7
lookahead_LG_3,10,9,1,0,9,0,0,1,0.9,5.0,5.7,5.7,5.5,8.2,10251.0,2,8
lookahead_L_1,10,7,3,0,7,0,0,3,0.7,11.142857142857142,12.0,12.0,12.0,0.0,198.9,7,14
lookahead_L_2,10,7,3,0,7,0,0,3,0.7,12.285714285714286,12.6,12.6,12.6,0.0,4608.1,11,14
lookahead_L_3,10,5,5,0,5,0,0,5,0.5,12.0,12.5,12.5,12.5,0.0,20523.2,11,14
random,10,0,10,0,0,0,0,10,0.0,,14.0,14.0,14.0,0.0,0.0,,
