"clause_ratio","n","danger_rate_G4","danger_rate_G5","IG_G4","IG_G5"
"3","1000","0,038675851608287","0,0387094952798938","44,3333333333333","56"
"3,5","1000","0,0354991622911231","0,0421719318101803","46","58,6666666666667"
"4","1000","0,0315238755238755","0,0381201183126346","47,3333333333333","64"
"4,27","1000","0,035197112288156","0,040609384650457","51,6666666666667","67"
"4,5","1000","0,0386633526650097","0,0390694419614776","53,3333333333333","68"
"5","1000","0,0324448507088652","0,0398336037487931","57","77,3333333333333"
"3","5000","0,0346245340247739","0,032555058784567","6,66666666666667","7"
"3,5","5000","0,0285229138677415","0,0295970884493787","11,3333333333333","13,3333333333333"
"4","5000","0,0345576225699419","0,0320574348460846","15","21,3333333333333"
"4,27","5000","0,0201486233203981","0,0183707042614307","20","30,3333333333333"
"4,5","5000","0,0198183857861864","0,0206685843676922","22,3333333333333","43"
"5","5000","0,0196477825762825","0,0240631651976402","29,6666666666667","47,6666666666667"
