seed,n_vars,n_clauses,level,unit_count,previous_unit_count,avg_unit_size,max_unit_size,non_singleton_units,sample_best_IG,sample_max_size,sample_avg_size,sample_non_singleton,D_pred_by_best_IG,above_threshold,edge_count_between_units
100042,100,427,1,33,100,3.0303030303030303,8,14,8,8,3.0303030303030303,14,12.5,True,1143
100042,100,427,2,24,33,4.166666666666667,16,6,16,16,4.166666666666667,6,6.25,True,299
100042,100,427,3,5,24,20.0,22,5,22,22,20.0,5,4.545454545454546,True,142
100042,100,427,4,5,5,20.0,22,5,22,22,20.0,5,4.545454545454546,True,10
100042,100,427,5,3,5,33.333333333333336,40,3,40,40,33.333333333333336,3,2.5,True,10
100043,100,427,1,29,100,3.4482758620689653,8,13,8,8,3.4482758620689653,13,12.5,True,1103
100043,100,427,2,15,29,6.666666666666667,16,6,16,16,6.666666666666667,6,6.25,True,228
100043,100,427,3,6,15,16.666666666666668,20,6,20,20,16.666666666666668,6,5.0,True,70
100043,100,427,4,5,6,20.0,27,5,27,27,20.0,5,3.7037037037037037,True,15
100043,100,427,5,3,5,33.333333333333336,39,3,39,39,33.333333333333336,3,2.5641025641025643,True,10
200042,200,854,1,95,200,2.1052631578947367,8,31,8,8,2.1052631578947367,31,25.0,True,2420
200042,200,854,2,60,95,3.3333333333333335,16,12,16,16,3.3333333333333335,12,12.5,True,1294
200042,200,854,3,12,60,16.666666666666668,24,9,24,24,16.666666666666668,9,8.333333333333334,True,563
200042,200,854,4,9,12,22.22222222222222,25,9,25,25,22.22222222222222,9,8.0,True,54
200042,200,854,5,8,9,25.0,35,8,35,35,25.0,8,5.714285714285714,True,36
200043,200,854,1,89,200,2.247191011235955,8,30,8,8,2.247191011235955,30,25.0,True,2417
200043,200,854,2,57,89,3.508771929824561,16,10,16,16,3.508771929824561,10,12.5,True,1142
200043,200,854,3,10,57,20.0,24,10,24,24,20.0,10,8.333333333333334,True,497
200043,200,854,4,9,10,22.22222222222222,32,9,32,32,22.22222222222222,9,6.25,True,45
200043,200,854,5,7,9,28.571428571428573,39,7,39,39,28.571428571428573,7,5.128205128205129,True,36
500042,500,2135,1,354,500,1.4124293785310735,8,73,8,8,1.4133333333333333,66,62.5,True,6253
500042,500,2135,2,280,354,1.7857142857142858,16,35,16,16,1.7857142857142858,35,31.25,True,5351
500042,500,2135,3,219,280,2.2831050228310503,24,17,24,24,2.2831050228310503,17,20.833333333333332,True,3877
500042,500,2135,4,128,219,3.90625,32,12,32,32,3.90625,12,15.625,True,2627
500042,500,2135,5,35,128,14.285714285714286,40,12,40,40,14.285714285714286,12,12.5,True,1329
500043,500,2135,1,328,500,1.524390243902439,8,81,8,8,1.5466666666666666,76,62.5,True,6226
500043,500,2135,2,244,328,2.0491803278688523,16,36,16,16,2.0491803278688523,36,31.25,True,5184
500043,500,2135,3,176,244,2.840909090909091,24,16,24,24,2.840909090909091,16,20.833333333333332,True,3399
500043,500,2135,4,67,176,7.462686567164179,32,14,32,32,7.462686567164179,14,15.625,True,2058
500043,500,2135,5,16,67,31.25,40,14,40,40,31.25,14,12.5,True,637
1000042,1000,4270,1,813,1000,1.2300123001230012,6,126,4,4,1.1933333333333334,40,250.0,True,12618
1000042,1000,4270,2,697,813,1.4347202295552368,16,77,16,16,1.39,30,62.5,True,11859
1000042,1000,4270,3,659,697,1.5174506828528074,24,51,24,24,1.5566666666666666,25,41.666666666666664,True,10483
1000042,1000,4270,4,608,659,1.644736842105263,32,31,32,32,1.4366666666666668,11,31.25,True,9402
1000042,1000,4270,5,527,608,1.8975332068311195,40,17,40,40,1.9266666666666667,12,25.0,True,8155
1000043,1000,4270,1,842,1000,1.187648456057007,8,102,6,6,1.1566666666666667,29,166.66666666666666,True,12651
1000043,1000,4270,2,753,842,1.3280212483399734,16,68,16,16,1.3,27,62.5,True,11989
1000043,1000,4270,3,719,753,1.3908205841446453,24,49,24,24,1.3766666666666667,22,41.666666666666664,True,10955
1000043,1000,4270,4,672,719,1.4880952380952381,32,27,32,32,1.3433333333333333,13,31.25,True,9980
1000043,1000,4270,5,604,672,1.6556291390728477,40,16,40,40,1.7933333333333332,10,25.0,True,8900
