n_vars,level,samples,avg_unit_count,avg_unit_size,avg_max_unit_size,avg_sample_best_IG,avg_D_pred,above_threshold_count
100,1,2,31.0,3.239289446185998,8.0,8.0,12.5,2
100,2,2,19.5,5.416666666666667,16.0,16.0,6.25,2
100,3,2,5.5,18.333333333333336,21.0,21.0,4.772727272727273,2
100,4,2,5.0,20.0,24.5,24.5,4.124579124579125,2
100,5,2,3.0,33.333333333333336,39.5,39.5,2.532051282051282,2
200,1,2,92.0,2.1762270845653457,8.0,8.0,25.0,2
200,2,2,58.5,3.4210526315789473,16.0,16.0,12.5,2
200,3,2,11.0,18.333333333333336,24.0,24.0,8.333333333333334,2
200,4,2,9.0,22.22222222222222,28.5,28.5,7.125,2
200,5,2,7.5,26.785714285714285,37.0,37.0,5.4212454212454215,2
500,1,2,341.0,1.4684098112167563,8.0,8.0,62.5,2
500,2,2,262.0,1.9174473067915692,16.0,16.0,31.25,2
500,3,2,197.5,2.562007056870071,24.0,24.0,20.833333333333332,2
500,4,2,97.5,5.68446828358209,32.0,32.0,15.625,2
500,5,2,25.5,22.767857142857142,40.0,40.0,12.5,2
1000,1,2,827.5,1.208830378090004,7.0,5.0,208.33333333333331,2
1000,2,2,725.0,1.381370738947605,16.0,16.0,62.5,2
1000,3,2,689.0,1.4541356334987263,24.0,24.0,41.666666666666664,2
1000,4,2,640.0,1.5664160401002505,32.0,32.0,31.25,2
1000,5,2,565.5,1.7765811729519836,40.0,40.0,25.0,2
