n_vars,level,samples,avg_unit_count,avg_chosen_unit_size,avg_IG_total,avg_forced,R_choice_success_rate,R_propagated_success_rate,avg_choice_R_fraction,avg_propagated_R_fraction,conflicts,avg_D_pred
100,1,3,32.0,8.0,19.0,11.0,0.3333333333333333,0.3333333333333333,0.7916666666666666,0.7676767676767676,0,5.742204655248134
100,2,3,20.0,16.0,25.666666666666668,9.666666666666666,0.0,0.0,0.7291666666666666,0.6634615384615384,0,3.905508072174739
100,3,3,5.333333333333333,20.0,26.0,6.0,0.0,0.0,0.6481481481481481,0.6158730158730159,1,3.932980599647266
100,4,3,5.0,20.0,26.0,6.0,0.0,0.0,0.6481481481481481,0.6158730158730159,1,3.932980599647266
100,5,3,3.0,38.333333333333336,40.0,1.6666666666666667,0.0,0.0,0.7292735042735042,0.7265634771732333,3,2.501042318115489
200,1,3,99.66666666666667,8.0,18.0,10.0,0.0,0.0,0.7083333333333334,0.6720938375350141,0,11.262838468720823
200,2,3,73.0,16.0,34.0,18.0,0.0,0.0,0.6875,0.7217656252743971,0,6.025323569183218
200,3,3,23.333333333333332,24.0,39.666666666666664,15.666666666666666,0.0,0.0,0.7222222222222222,0.733781512605042,0,5.1988795518207285
200,4,3,8.333333333333334,25.666666666666668,42.666666666666664,17.0,0.0,0.0,0.751904761904762,0.7731660231660231,0,4.897039897039897
200,5,3,8.0,25.666666666666668,42.666666666666664,17.0,0.0,0.0,0.751904761904762,0.7731660231660231,0,4.897039897039897
500,1,3,340.0,8.0,11.333333333333334,3.3333333333333335,0.0,0.0,0.7083333333333334,0.7065268065268064,0,44.63869463869464
500,2,3,262.0,16.0,26.333333333333332,10.333333333333334,0.0,0.0,0.6458333333333334,0.6958024691358023,0,19.012345679012345
500,3,3,191.0,24.0,41.666666666666664,17.666666666666668,0.0,0.0,0.7638888888888888,0.7010025062656641,0,12.057922584238375
500,4,3,89.33333333333333,32.0,52.333333333333336,20.333333333333332,0.0,0.0,0.71875,0.7135431235431234,0,9.56876456876457
500,5,3,23.0,38.0,66.33333333333333,28.333333333333332,0.0,0.0,0.7132352941176471,0.6848440545808967,0,7.619743803954331
1000,1,3,847.6666666666666,5.666666666666667,7.666666666666667,2.0,0.0,0.0,0.6857142857142856,0.671957671957672,0,132.27513227513228
1000,2,3,749.3333333333334,16.0,21.666666666666668,5.666666666666667,0.0,0.0,0.6875,0.6460818713450293,0,46.75020885547201
1000,3,3,703.0,24.0,34.666666666666664,10.666666666666666,0.0,0.0,0.6666666666666666,0.648005148005148,0,28.9494851994852
1000,4,3,645.0,32.0,46.333333333333336,14.333333333333334,0.0,0.0,0.6666666666666666,0.6751826778422524,0,21.612400601762303
1000,5,3,564.3333333333334,40.0,61.333333333333336,21.333333333333332,0.0,0.0,0.6333333333333333,0.678021978021978,0,16.37159137159137
