seed,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,useful_IG,D_pred,conflict,affected_clauses,pre_danger,pre_unsat,pre_unknown,pre_sat,danger_rate,stability
100042,100,427,1,33,8,12,4,11.529411764705882,8.673469387755102,False,102,4,0,40,62,0.0392156862745098,0.9607843137254902
100042,100,427,2,24,16,27,11,25.93820224719101,3.855317305609703,False,178,7,0,61,117,0.03932584269662921,0.9606741573033708
100042,100,427,3,5,20,31,11,29.898477157360407,3.3446519524617995,False,197,7,0,63,134,0.03553299492385787,0.9644670050761421
100043,100,427,1,29,8,11,3,10.597560975609756,9.436133486766398,False,82,3,0,26,56,0.036585365853658534,0.9634146341463414
100043,100,427,2,15,16,18,2,17.775000000000002,5.625879043600562,False,160,2,0,51,109,0.0125,0.9875
100043,100,427,3,6,19,27,8,26.084745762711865,3.833658219623132,False,177,6,0,54,123,0.03389830508474576,0.9661016949152542
100044,100,427,1,32,8,12,4,11.586206896551724,8.630952380952381,False,87,3,0,25,62,0.034482758620689655,0.9655172413793104
100044,100,427,2,18,16,21,5,20.497005988023954,4.878761320479112,False,167,4,0,44,123,0.023952095808383235,0.9760479041916168
100044,100,427,3,5,16,54,38,0.0,,True,145,6,0,46,99,0.041379310344827586,0.9586206896551724
100045,100,427,1,35,8,15,7,14.117647058823529,7.083333333333334,False,68,4,0,24,44,0.058823529411764705,0.9411764705882353
100045,100,427,2,24,16,21,5,20.428571428571427,4.895104895104896,False,147,4,0,41,106,0.027210884353741496,0.9727891156462585
100045,100,427,3,5,19,57,38,0.0,,True,164,5,0,41,123,0.03048780487804878,0.9695121951219512
100046,100,427,1,29,8,17,9,15.975903614457831,6.259426847662142,False,83,5,0,29,54,0.060240963855421686,0.9397590361445783
100046,100,427,2,18,16,31,15,29.73469387755102,3.3630748112560056,False,147,6,0,47,100,0.04081632653061224,0.9591836734693877
100046,100,427,3,5,18,32,14,31.006211180124225,3.2251602564102564,False,161,5,0,51,110,0.031055900621118012,0.968944099378882
200042,200,854,1,95,8,12,4,11.675675675675677,17.129629629629626,False,111,3,0,44,67,0.02702702702702703,0.972972972972973
200042,200,854,2,60,16,28,12,26.853801169590643,7.447735191637631,False,171,7,0,52,119,0.04093567251461988,0.9590643274853801
200042,200,854,3,12,24,38,14,36.980842911877396,5.408205553253212,False,261,7,0,87,174,0.02681992337164751,0.9731800766283525
200043,200,854,1,89,8,15,7,14.278846153846153,14.006734006734007,False,104,5,0,37,67,0.04807692307692308,0.9519230769230769
200043,200,854,2,57,16,34,18,31.818181818181817,6.2857142857142865,False,187,12,0,58,129,0.06417112299465241,0.9358288770053476
200043,200,854,3,10,22,36,14,34.53061224489796,5.791962174940898,False,196,8,0,69,127,0.04081632653061224,0.9591836734693877
200044,200,854,1,105,8,17,9,16.52777777777778,12.100840336134453,False,108,3,0,41,67,0.027777777777777776,0.9722222222222222
200044,200,854,2,75,16,30,14,29.032258064516128,6.888888888888889,False,186,6,0,64,122,0.03225806451612903,0.967741935483871
200044,200,854,3,21,24,60,36,57.45173745173745,3.481182795698925,False,259,11,0,86,173,0.04247104247104247,0.9575289575289575
200045,200,854,1,87,8,14,6,13.445544554455445,14.874815905743741,False,101,4,0,36,65,0.039603960396039604,0.9603960396039604
200045,200,854,2,56,16,28,12,26.76243093922652,7.473162675474814,False,181,8,0,60,121,0.04419889502762431,0.9558011049723757
200045,200,854,3,13,20,38,18,36.386792452830186,5.49649987036557,False,212,9,0,77,135,0.04245283018867924,0.9575471698113207
200046,200,854,1,90,8,13,5,12.522935779816514,15.97069597069597,False,109,4,0,36,73,0.03669724770642202,0.963302752293578
200046,200,854,2,58,16,29,13,27.73913043478261,7.210031347962382,False,184,8,0,66,118,0.043478260869565216,0.9565217391304348
200046,200,854,3,15,24,40,16,38.31223628691983,5.220264317180617,False,237,10,0,73,164,0.04219409282700422,0.9578059071729957
500042,500,2135,1,354,8,9,1,8.916666666666666,56.07476635514019,False,108,1,0,40,68,0.009259259259259259,0.9907407407407407
500042,500,2135,2,280,13,22,9,20.85549132947977,23.974501108647452,False,173,9,0,65,108,0.05202312138728324,0.9479768786127167
500042,500,2135,3,219,24,39,15,37.16304347826087,13.454226381983037,False,276,13,0,98,178,0.04710144927536232,0.9528985507246377
500043,500,2135,1,328,8,12,4,11.567567567567568,43.22429906542056,False,111,4,0,40,71,0.036036036036036036,0.963963963963964
500043,500,2135,2,244,16,25,9,24.285714285714285,20.58823529411765,False,210,6,0,77,133,0.02857142857142857,0.9714285714285714
500043,500,2135,3,176,24,47,23,45.12,11.081560283687944,False,275,11,0,86,189,0.04,0.96
500044,500,2135,1,348,8,11,3,10.666666666666668,46.87499999999999,False,99,3,0,36,63,0.030303030303030304,0.9696969696969697
500044,500,2135,2,280,16,27,11,26.1,19.157088122605362,False,210,7,0,63,147,0.03333333333333333,0.9666666666666667
500044,500,2135,3,252,24,38,14,36.82876712328767,13.5763436860703,False,292,9,0,93,199,0.030821917808219176,0.9691780821917808
500045,500,2135,1,340,8,14,6,13.263157894736842,37.698412698412696,False,95,5,0,36,59,0.05263157894736842,0.9473684210526316
500045,500,2135,2,264,16,27,11,26.055,19.190174630589137,False,200,7,0,74,126,0.035,0.965
500045,500,2135,3,199,24,44,20,41.957142857142856,11.916922029281581,False,280,13,0,99,181,0.04642857142857143,0.9535714285714285
500046,500,2135,1,349,8,12,4,11.58974358974359,43.141592920353986,False,117,4,0,49,68,0.03418803418803419,0.9658119658119658
500046,500,2135,2,274,16,28,12,26.685446009389672,18.736805066854327,False,213,10,0,87,126,0.046948356807511735,0.9530516431924883
500046,500,2135,3,240,24,42,18,40.2555910543131,12.420634920634921,False,313,13,0,124,189,0.04153354632587859,0.9584664536741214
