seed,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,useful_IG,D_pred,conflict,affected_clauses,pre_danger,pre_unsat,pre_unknown,pre_sat,danger_rate,stability
1000042,1000,4270,1,813,4,8,4,7.492063492063492,133.47457627118644,False,63,4,0,23,40,0.06349206349206349,0.9365079365079365
1000042,1000,4270,2,697,16,23,7,22.284444444444446,44.87435181491823,False,225,7,0,89,136,0.03111111111111111,0.9688888888888889
1000042,1000,4270,3,659,24,38,14,36.45945945945946,27.42772424017791,False,296,12,0,102,194,0.04054054054054054,0.9594594594594594
1000043,1000,4270,1,842,7,10,3,9.666666666666666,103.44827586206897,False,90,3,0,38,52,0.03333333333333333,0.9666666666666667
1000043,1000,4270,2,753,16,23,7,22.35813953488372,44.72644060744748,False,215,6,0,82,133,0.027906976744186046,0.9720930232558139
1000043,1000,4270,3,719,24,41,17,39.26384364820847,25.46872407499585,False,307,13,0,115,192,0.04234527687296417,0.9576547231270358
1000044,1000,4270,1,842,7,9,2,8.783132530120483,113.85459533607681,False,83,2,0,36,47,0.024096385542168676,0.9759036144578314
1000044,1000,4270,2,753,16,22,6,21.365384615384617,46.804680468046804,False,208,6,0,75,133,0.028846153846153848,0.9711538461538461
1000044,1000,4270,3,714,24,38,14,36.8445945945946,27.141023289932146,False,296,9,0,94,202,0.030405405405405407,0.9695945945945946
2000042,2000,8540,1,1842,4,7,3,6.631578947368421,301.58730158730157,False,57,3,0,19,38,0.05263157894736842,0.9473684210526316
2000042,2000,8540,2,1777,9,13,4,12.721428571428572,157.21504772599664,False,140,3,0,58,82,0.02142857142857143,0.9785714285714285
2000042,2000,8540,3,1722,24,32,8,31.202492211838006,64.09744408945687,False,321,8,0,108,213,0.024922118380062305,0.9750778816199377
2000043,2000,8540,1,1825,5,5,0,5.0,400.0,False,66,0,0,27,39,0.0,1.0
2000043,2000,8540,2,1767,10,13,3,12.727272727272728,157.14285714285714,False,143,3,0,50,93,0.02097902097902098,0.9790209790209791
2000043,2000,8540,3,1733,24,32,8,31.258278145695364,63.983050847457626,False,302,7,0,113,189,0.023178807947019868,0.9768211920529801
2000044,2000,8540,1,1842,4,6,2,5.833333333333333,342.8571428571429,False,72,2,0,33,39,0.027777777777777776,0.9722222222222222
2000044,2000,8540,2,1776,10,15,5,14.482758620689657,138.09523809523807,False,145,5,0,59,86,0.034482758620689655,0.9655172413793104
2000044,2000,8540,3,1734,24,30,6,29.430379746835442,67.95698924731182,False,316,6,0,111,205,0.0189873417721519,0.9810126582278481
