seed,mode,n_vars,n_clauses,level,unit_count,chosen_unit_size,IG,forced,danger,affected,danger_rate,useful_IG,D_pred,memory_edges,conflict
1000042,baseline,1000,4270,1,813,4,8,4,4,60,0.06666666666666667,7.466666666666667,133.92857142857142,0,False
1000042,baseline,1000,4270,2,586,16,24,8,8,210,0.0380952380952381,23.085714285714285,43.31683168316832,0,False
1000042,baseline,1000,4270,3,523,24,34,10,9,319,0.02821316614420063,33.040752351097176,30.26565464895636,0,False
1000042,baseline,1000,4270,4,364,32,43,11,10,389,0.02570694087403599,41.89460154241645,23.86942382033503,0,False
1000042,baseline,1000,4270,5,198,40,55,15,10,470,0.02127659574468085,53.82978723404255,18.57707509881423,0,False
1000042,memory,1000,4270,1,813,4,8,4,4,60,0.06666666666666667,7.466666666666667,133.92857142857142,16,False
1000042,memory,1000,4270,2,584,16,22,6,6,220,0.02727272727272727,21.400000000000002,46.72897196261682,112,False
1000042,memory,1000,4270,3,518,24,31,7,6,326,0.018404907975460124,30.429447852760735,32.862903225806456,217,False
1000042,memory,1000,4270,4,352,32,43,11,11,374,0.029411764705882353,41.73529411764706,23.960535588442564,569,False
1000042,memory,1000,4270,5,181,40,51,11,7,434,0.016129032258064516,50.17741935483871,19.92928318868531,1013,False
1000043,baseline,1000,4270,1,842,7,10,3,3,90,0.03333333333333333,9.666666666666666,103.44827586206897,0,False
1000043,baseline,1000,4270,2,626,16,23,7,6,220,0.02727272727272727,22.372727272727275,44.69727752945956,0,False
1000043,baseline,1000,4270,3,558,24,34,10,8,308,0.025974025974025976,33.116883116883116,30.19607843137255,0,False
1000043,baseline,1000,4270,4,411,32,43,11,9,372,0.024193548387096774,41.95967741935484,23.832404382087258,0,False
1000043,baseline,1000,4270,5,259,40,58,18,14,442,0.03167420814479638,56.16289592760181,17.80534966161779,0,False
1000043,memory,1000,4270,1,842,7,10,3,3,90,0.03333333333333333,9.666666666666666,103.44827586206897,21,False
1000043,memory,1000,4270,2,631,16,23,7,6,201,0.029850746268656716,22.313432835820898,44.81605351170568,134,False
1000043,memory,1000,4270,3,554,24,34,10,6,302,0.019867549668874173,33.324503311258276,30.007949125596188,379,False
1000043,memory,1000,4270,4,407,32,42,10,8,413,0.01937046004842615,41.186440677966104,24.279835390946502,701,False
1000043,memory,1000,4270,5,259,40,52,12,9,442,0.020361990950226245,50.94117647058823,19.630484988452658,1185,False
1000044,baseline,1000,4270,1,842,7,9,2,2,83,0.024096385542168676,8.783132530120483,113.85459533607681,0,False
1000044,baseline,1000,4270,2,646,16,21,5,4,222,0.018018018018018018,20.62162162162162,48.492791612057665,0,False
1000044,baseline,1000,4270,3,565,24,32,8,7,272,0.025735294117647058,31.176470588235293,32.075471698113205,0,False
1000044,baseline,1000,4270,4,442,32,43,11,10,396,0.025252525252525252,41.91414141414141,23.858296180262684,0,False
1000044,baseline,1000,4270,5,298,40,56,16,13,436,0.02981651376146789,54.330275229357795,18.405943937858833,0,False
1000044,memory,1000,4270,1,842,7,9,2,2,83,0.024096385542168676,8.783132530120483,113.85459533607681,14,False
1000044,memory,1000,4270,2,643,16,21,5,4,222,0.018018018018018018,20.62162162162162,48.492791612057665,95,False
1000044,memory,1000,4270,3,567,24,30,6,4,306,0.013071895424836602,29.607843137254903,33.77483443708609,241,False
1000044,memory,1000,4270,4,442,32,43,11,10,398,0.02512562814070352,41.91959798994975,23.855190601774154,594,False
1000044,memory,1000,4270,5,298,40,55,15,13,474,0.027426160337552744,53.4915611814346,18.69453756655492,1195,False
2000042,baseline,2000,8540,1,1842,4,7,3,3,57,0.05263157894736842,6.631578947368421,301.58730158730157,0,False
2000042,baseline,2000,8540,2,1546,16,18,2,2,199,0.010050251256281407,17.819095477386934,112.2391426959955,0,False
2000042,baseline,2000,8540,3,1438,24,27,3,2,313,0.006389776357827476,26.82747603833866,74.55043467905205,0,False
2000042,baseline,2000,8540,4,1332,32,36,4,3,407,0.007371007371007371,35.73464373464373,55.96809680968097,0,False
2000042,baseline,2000,8540,5,1161,40,47,7,6,467,0.01284796573875803,46.396145610278374,43.10702912262888,0,False
2000042,memory,2000,8540,1,1842,4,5,1,1,60,0.016666666666666666,4.916666666666666,406.7796610169492,4,False
2000042,memory,2000,8540,2,1546,16,18,2,2,219,0.0091324200913242,17.835616438356166,112.13517665130567,36,False
2000042,memory,2000,8540,3,1435,24,27,3,3,308,0.00974025974025974,26.73701298701299,74.802671523983,108,False
2000042,memory,2000,8540,4,1339,32,36,4,3,407,0.007371007371007371,35.73464373464373,55.96809680968097,237,False
2000042,memory,2000,8540,5,1161,40,47,7,6,476,0.012605042016806723,46.40756302521009,43.09642372114078,518,False
2000043,baseline,2000,8540,1,1825,5,5,0,0,66,0.0,5.0,400.0,0,False
2000043,baseline,2000,8540,2,1529,16,18,2,2,238,0.008403361344537815,17.84873949579832,112.05273069679849,0,False
2000043,baseline,2000,8540,3,1411,24,28,4,3,294,0.01020408163265306,27.714285714285715,72.16494845360825,0,False
2000043,baseline,2000,8540,4,1290,32,41,9,9,419,0.021479713603818614,40.11933174224344,49.85127900059488,0,False
2000043,baseline,2000,8540,5,1103,40,48,8,8,503,0.015904572564612324,47.23658051689861,42.340067340067336,0,False
2000043,memory,2000,8540,1,1825,5,7,2,2,85,0.023529411764705882,6.8352941176470585,292.5989672977625,10,False
