mode,n_vars,level,samples,avg_unit_count,avg_chosen_unit_size,avg_IG,avg_forced,avg_danger,avg_affected,avg_danger_rate,avg_useful_IG,avg_memory_edges,D_pred,conflicts
baseline,1000,1,3,832.3333333333334,6.0,9.0,3.0,3.0,77.66666666666667,0.04136546184738956,8.638821954484605,0.0,115.7565238951218,0
baseline,1000,2,3,619.3333333333334,16.0,22.666666666666668,6.666666666666667,6.0,217.33333333333334,0.027795327795327795,22.026687726687726,0.0,45.39947233139331,0
baseline,1000,3,3,548.6666666666666,24.0,33.333333333333336,9.333333333333334,8.0,299.6666666666667,0.026640828745291223,32.44470201873853,0.0,30.821673116999104,0
baseline,1000,4,3,405.6666666666667,32.0,43.0,11.0,9.666666666666666,385.6666666666667,0.02505100483788601,41.922806791970906,0.0,23.853364708193176,0
baseline,1000,5,3,251.66666666666666,40.0,56.333333333333336,16.333333333333332,12.333333333333334,449.3333333333333,0.027589105883648376,54.77431946366738,0.0,18.25673070503988,0
baseline,2000,1,3,1836.3333333333333,4.333333333333333,5.333333333333333,1.0,1.0,56.666666666666664,0.017543859649122806,5.2105263157894735,0.0,383.83838383838383,0
baseline,2000,2,3,1538.0,16.0,18.0,2.0,2.0,220.0,0.00914074082209669,17.835466665202258,0.0,112.13611830533617,0
baseline,2000,3,3,1424.0,24.0,28.0,4.0,3.3333333333333335,297.6666666666667,0.011358791824332673,27.67825624854379,0.0,72.2588873388736,0
baseline,2000,4,3,1306.0,32.0,38.333333333333336,6.333333333333333,5.666666666666667,418.6666666666667,0.013492875983856725,37.80403833725696,0.0,52.904400904411915,0
baseline,2000,5,3,1122.3333333333333,40.0,47.333333333333336,7.333333333333333,6.666666666666667,477.6666666666667,0.013903833862102574,46.674551617626314,0.0,42.849902798952954,0
memory,1000,1,3,832.3333333333334,6.0,9.0,3.0,3.0,77.66666666666667,0.04136546184738956,8.638821954484605,17.0,115.7565238951218,0
memory,1000,2,3,619.3333333333334,16.0,22.0,6.0,5.333333333333333,214.33333333333334,0.025047163853134,21.44501815248084,113.66666666666667,46.630876826015474,0
memory,1000,3,3,546.3333333333334,24.0,31.666666666666668,7.666666666666667,5.333333333333333,311.3333333333333,0.0171147843563903,31.12059810042464,279.0,32.13305852198114,0
memory,1000,4,3,400.3333333333333,32.0,42.666666666666664,10.666666666666666,9.666666666666666,395.0,0.024635950965004007,41.613777595187635,621.3333333333334,24.03050282355629,0
memory,1000,5,3,246.0,40.0,52.666666666666664,12.666666666666666,9.666666666666666,450.0,0.021305727848614498,51.53671900228718,1131.0,19.40364111956022,0
memory,2000,1,3,1836.3333333333333,4.333333333333333,6.0,1.6666666666666667,1.6666666666666667,70.0,0.023655103066867772,5.855781799899447,7.333333333333333,341.5427808519681,0
memory,2000,2,3,1537.6666666666667,16.0,18.0,2.0,2.0,218.0,0.009075886062187432,17.833776908023484,39.333333333333336,112.14674324540823,0
memory,2000,3,3,1424.6666666666667,24.0,28.0,4.0,3.3333333333333335,306.6666666666667,0.010840985908371353,27.695506275694953,136.0,72.2138812011955,0
memory,2000,4,3,1308.3333333333333,32.0,37.333333333333336,5.333333333333333,4.666666666666667,399.0,0.01169221724360509,36.88925387650068,307.3333333333333,54.216331040353374,0
memory,2000,5,3,1128.6666666666667,40.0,47.666666666666664,7.666666666666667,5.666666666666667,464.0,0.012234633112292127,47.081694334739076,616.3333333333334,42.479354837582946,0
