mode,n_vars,level,samples,avg_IG,avg_danger_rate,avg_base_useful_IG,avg_loss,avg_reserve_total,avg_reserve_score,avg_overlap,avg_recovered,avg_useful_IG,avg_chosen_unit_size,D_pred,conflicts
baseline,5000,1,1,5.0,0.0425531914893617,4.787234042553192,0.2127659574468085,0.0,0.0,0.0,0.0,4.787234042553192,3.0,1044.4444444444443,0
baseline,5000,2,1,5.0,0.0425531914893617,4.787234042553192,0.2127659574468085,0.0,0.0,0.0,0.0,4.787234042553192,3.0,1044.4444444444443,0
baseline,5000,3,1,7.0,0.01282051282051282,6.910256410256411,0.08974358974358974,0.0,0.0,0.0,0.0,6.910256410256411,6.0,723.5621521335806,0
baseline,5000,4,1,18.0,0.01092896174863388,17.80327868852459,0.19672131147540983,0.0,0.0,0.0,0.0,17.80327868852459,16.0,280.84714548802947,0
baseline,5000,5,1,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1666.6666666666667,0
baseline,10000,1,1,3.0,0.03571428571428571,2.892857142857143,0.10714285714285714,0.0,0.0,0.0,0.0,2.892857142857143,2.0,3456.7901234567903,0
baseline,10000,2,1,3.0,0.03571428571428571,2.892857142857143,0.10714285714285714,0.0,0.0,0.0,0.0,2.892857142857143,2.0,3456.7901234567903,0
baseline,10000,3,1,5.0,0.05405405405405406,4.72972972972973,0.2702702702702703,0.0,0.0,0.0,0.0,4.72972972972973,3.0,2114.285714285714,0
baseline,10000,4,1,5.0,0.016129032258064516,4.919354838709678,0.08064516129032258,0.0,0.0,0.0,0.0,4.919354838709678,4.0,2032.7868852459014,0
baseline,10000,5,1,3.0,0.03125,2.90625,0.09375,0.0,0.0,0.0,0.0,2.90625,2.0,3440.8602150537636,0
reserve,5000,1,1,5.0,0.021739130434782608,4.891304347826087,0.10869565217391304,0.10869565217391305,0.0,0.0,0.0,4.891304347826087,4.0,1022.2222222222223,0
reserve,5000,2,1,7.0,0.011235955056179775,6.921348314606742,0.07865168539325842,0.18734733756717148,0.0,0.0,0.0,6.921348314606742,6.0,722.4025974025974,0
reserve,5000,3,1,13.0,0.007042253521126761,12.908450704225352,0.09154929577464789,0.27889663334181936,0.0,0.0,0.0,12.908450704225352,12.0,387.34315330060014,0
reserve,5000,4,1,18.0,0.01092896174863388,17.80327868852459,0.19672131147540983,0.4756179448172292,0.06103286384976526,0.125,0.0004768192488262911,17.803755507773417,16.0,280.839623854468,0
reserve,5000,5,1,24.0,0.010676156583629894,23.743772241992882,0.25622775800711745,0.7318457028243467,0.0,0.0,0.0,23.743772241992882,21.0,210.58153477218227,0
reserve,10000,1,1,4.0,0.02127659574468085,3.9148936170212765,0.0851063829787234,0.0851063829787234,0.0,0.0,0.0,3.9148936170212765,3.0,2554.3478260869565,0
reserve,10000,2,1,5.0,0.016129032258064516,4.919354838709678,0.08064516129032258,0.16575154426904598,0.0,0.0,0.0,4.919354838709678,4.0,2032.7868852459014,0
reserve,10000,3,1,5.0,0.016129032258064516,4.919354838709678,0.08064516129032258,0.24639670555936857,0.053763440860215055,0.5,0.003360215053763441,4.922715053763441,4.0,2031.3993174061434,0
reserve,10000,4,1,6.0,0.015625,5.90625,0.09375,0.34014670555936855,0.0,0.0,0.0,5.90625,5.0,1693.1216931216932,0
reserve,10000,5,1,6.0,0.015625,5.90625,0.09375,0.43389670555936855,0.0625,0.4,0.00078125,5.90703125,5.0,1692.8977648459197,0
