seed,n_vars,n_clauses,level,baseline_useful_IG,reserve_useful_IG,delta_useful_IG,baseline_D_pred,reserve_D_pred,delta_D_pred,baseline_recovered,reserve_recovered,delta_recovered,baseline_reserve_total,reserve_reserve_total,delta_reserve_total
5000042,5000,21350,1,4.787234042553192,4.891304347826087,0.10407030527289507,1044.4444444444443,1022.2222222222223,-22.222222222222058,0.0,0.0,0.0,0,0.10869565217391305,0.10869565217391305
5000042,5000,21350,2,4.787234042553192,6.921348314606742,2.1341142720535498,1044.4444444444443,722.4025974025974,-322.04184704184695,0.0,0.0,0.0,0,0.18734733756717148,0.18734733756717148
5000042,5000,21350,3,6.910256410256411,12.908450704225352,5.998194293968941,723.5621521335806,387.34315330060014,-336.2189988329805,0.0,0.0,0.0,0,0.27889663334181936,0.27889663334181936
5000042,5000,21350,4,17.80327868852459,17.803755507773417,0.0004768192488278089,280.84714548802947,280.839623854468,-0.007521633561452745,0.0,0.0004768192488262911,0.0004768192488262911,0,0.4756179448172292,0.4756179448172292
5000042,5000,21350,5,3.0,23.743772241992882,20.743772241992882,1666.6666666666667,210.58153477218227,-1456.0851318944844,0.0,0.0,0.0,0,0.7318457028243467,0.7318457028243467
10000042,10000,42700,1,2.892857142857143,3.9148936170212765,1.0220364741641337,3456.7901234567903,2554.3478260869565,-902.4422973698338,0.0,0.0,0.0,0,0.0851063829787234,0.0851063829787234
10000042,10000,42700,2,2.892857142857143,4.919354838709678,2.026497695852535,3456.7901234567903,2032.7868852459014,-1424.0032382108889,0.0,0.0,0.0,0,0.16575154426904598,0.16575154426904598
10000042,10000,42700,3,4.72972972972973,4.922715053763441,0.19298532403371116,2114.285714285714,2031.3993174061434,-82.88639687957084,0.0,0.003360215053763441,0.003360215053763441,0,0.24639670555936857,0.24639670555936857
10000042,10000,42700,4,4.919354838709678,5.90625,0.9868951612903221,2032.7868852459014,1693.1216931216932,-339.66519212420826,0.0,0.0,0.0,0,0.34014670555936855,0.34014670555936855
10000042,10000,42700,5,2.90625,5.90703125,3.00078125,3440.8602150537636,1692.8977648459197,-1747.9624502078439,0.0,0.00078125,0.00078125,0,0.43389670555936855,0.43389670555936855
