formula_seed,mode,status,success,steps,assigned_count,decision_steps,forced_steps,score_calls,dpll_nodes
42,dpll_control,SAT_FOUND,True,4,8,4,1,0,4
42,greedy_L,SAT_FOUND,True,6,8,6,0,65,
42,greedy_LG,SAT_FOUND,True,2,8,2,6,30,
42,lookahead_LG_3,SAT_FOUND,True,2,8,2,6,1904,
42,lookahead_L_3,SAT_FOUND,True,8,8,8,0,4050,
43,dpll_control,SAT_FOUND,True,5,8,5,1,0,5
43,greedy_L,SAT_FOUND,True,1,8,1,0,15,
43,greedy_LG,SAT_FOUND,True,1,8,1,0,15,
43,lookahead_LG_3,SAT_FOUND,True,4,8,4,0,2334,
43,lookahead_L_3,SAT_FOUND,True,4,8,4,0,3171,
44,dpll_control,SAT_FOUND,True,4,8,4,0,0,4
44,greedy_L,FAILED_TO_FIND,False,8,8,8,0,72,
44,greedy_LG,SAT_FOUND,True,3,8,3,5,38,
44,lookahead_LG_3,SAT_FOUND,True,3,8,3,5,2278,
44,lookahead_L_3,SAT_FOUND,True,8,8,8,0,4125,
45,dpll_control,SAT_FOUND,True,5,8,5,1,0,5
45,greedy_L,SAT_FOUND,True,5,8,5,0,59,
45,greedy_LG,SAT_FOUND,True,2,8,2,4,30,
45,lookahead_LG_3,SAT_FOUND,True,5,8,5,3,3202,
45,lookahead_L_3,SAT_FOUND,True,7,8,7,0,4025,
