task,case,seed,mode,w_g,success,verified,decision_steps,forced_steps,score_calls
Set Cover,0,43,L_depth2,0.0,False,False,6,0,3480
Set Cover,0,43,weighted_G_0.1_depth2,0.1,False,False,6,0,6354
Set Cover,0,43,weighted_G_0.2_depth2,0.2,False,False,6,0,6354
Set Cover,0,43,weighted_G_0.4_depth2,0.4,False,False,6,0,6354
Set Cover,0,43,LG_depth2,1.0,True,True,6,0,5224
Set Cover,1,44,L_depth2,0.0,True,True,6,0,10086
Set Cover,1,44,weighted_G_0.1_depth2,0.1,False,False,6,0,9082
Set Cover,1,44,weighted_G_0.2_depth2,0.2,False,False,6,0,9082
Set Cover,1,44,weighted_G_0.4_depth2,0.4,False,False,6,0,9082
Set Cover,1,44,LG_depth2,1.0,False,False,6,0,7494
Set Cover,2,45,L_depth2,0.0,True,True,6,0,6550
Set Cover,2,45,weighted_G_0.1_depth2,0.1,True,True,6,0,6120
Set Cover,2,45,weighted_G_0.2_depth2,0.2,True,True,6,0,6120
Set Cover,2,45,weighted_G_0.4_depth2,0.4,True,True,6,0,6120
Set Cover,2,45,LG_depth2,1.0,True,True,6,0,6174
Set Cover,3,46,L_depth2,0.0,True,True,5,0,6292
Set Cover,3,46,weighted_G_0.1_depth2,0.1,True,True,5,0,6292
Set Cover,3,46,weighted_G_0.2_depth2,0.2,True,True,5,0,6292
Set Cover,3,46,weighted_G_0.4_depth2,0.4,True,True,5,0,6292
Set Cover,3,46,LG_depth2,1.0,True,True,5,0,5692
Set Cover,4,47,L_depth2,0.0,True,True,6,0,3534
Set Cover,4,47,weighted_G_0.1_depth2,0.1,True,True,6,0,4076
Set Cover,4,47,weighted_G_0.2_depth2,0.2,True,True,6,0,4076
Set Cover,4,47,weighted_G_0.4_depth2,0.4,True,True,6,0,4076
Set Cover,4,47,LG_depth2,1.0,True,True,6,0,3690
Set Cover,5,48,L_depth2,0.0,True,True,6,0,4584
Set Cover,5,48,weighted_G_0.1_depth2,0.1,True,True,6,0,4584
Set Cover,5,48,weighted_G_0.2_depth2,0.2,True,True,6,0,4584
Set Cover,5,48,weighted_G_0.4_depth2,0.4,True,True,6,0,4584
Set Cover,5,48,LG_depth2,1.0,True,True,6,0,4296
Set Cover,6,49,L_depth2,0.0,True,True,6,0,6828
Set Cover,6,49,weighted_G_0.1_depth2,0.1,True,True,6,0,6680
Set Cover,6,49,weighted_G_0.2_depth2,0.2,True,True,6,0,6680
Set Cover,6,49,weighted_G_0.4_depth2,0.4,True,True,6,0,6680
Set Cover,6,49,LG_depth2,1.0,True,True,6,0,6152
Set Cover,7,50,L_depth2,0.0,True,True,6,0,4674
Set Cover,7,50,weighted_G_0.1_depth2,0.1,True,True,6,0,5676
Set Cover,7,50,weighted_G_0.2_depth2,0.2,True,True,6,0,5676
Set Cover,7,50,weighted_G_0.4_depth2,0.4,True,True,6,0,5676
Set Cover,7,50,LG_depth2,1.0,True,True,6,0,5274
Set Cover,8,51,L_depth2,0.0,True,True,5,0,4692
Set Cover,8,51,weighted_G_0.1_depth2,0.1,True,True,5,0,4692
Set Cover,8,51,weighted_G_0.2_depth2,0.2,True,True,5,0,4692
Set Cover,8,51,weighted_G_0.4_depth2,0.4,True,True,5,0,4692
Set Cover,8,51,LG_depth2,1.0,True,True,5,0,4692
Set Cover,9,52,L_depth2,0.0,True,True,6,0,4320
Set Cover,9,52,weighted_G_0.1_depth2,0.1,True,True,6,0,4320
